time,lat,long,light,temp
"Jul 6 2009 14:18:21",0.0,0.0,75.00,35.52
"Jul 6 2009 14:18:22",0.0,0.0,75.00,35.52
"Jul 6 2009 14:18:23",0.0,0.0,73.00,34.13
"Jul 6 2009 14:18:24",0.0,0.0,75.00,34.13
"Jul 6 2009 14:18:25",0.0,0.0,73.00,34.13
"Jul 6 2009 14:18:27",0.0,0.0,75.00,34.13
"Jul 6 2009 14:18:28",0.0,0.0,75.00,34.13
"Jul 6 2009 14:18:29",0.0,0.0,75.00,34.13
"Jul 6 2009 14:18:30",0.0,0.0,75.00,34.13
"Jul 6 2009 14:18:31",0.0,0.0,75.00,34.13
"Jul 6 2009 14:18:32",0.0,0.0,75.00,34.13
"Jul 6 2009 14:18:33",0.0,0.0,74.00,34.13
"Jul 6 2009 14:18:34",0.0,0.0,73.00,34.13
"Jul 6 2009 14:18:35",0.0,0.0,73.00,34.13
"Jul 6 2009 14:18:36",0.0,0.0,73.00,34.13
"Jul 6 2009 14:18:37",0.0,0.0,73.00,34.13
"Jul 6 2009 14:18:38",0.0,0.0,72.00,34.13
"Jul 6 2009 14:18:39",0.0,0.0,75.00,34.13
"Jul 6 2009 14:18:41",0.0,0.0,75.00,34.13
"Jul 6 2009 14:18:42",0.0,0.0,74.00,34.13
"Jul 6 2009 14:18:43",0.0,0.0,74.00,34.13
"Jul 6 2009 14:18:44",0.0,0.0,75.00,34.13
"Jul 6 2009 14:18:45",0.0,0.0,73.00,34.13
"Jul 6 2009 14:18:46",0.0,0.0,74.00,34.13
"Jul 6 2009 14:18:47",0.0,0.0,74.00,34.13
"Jul 6 2009 14:18:48",0.0,0.0,74.00,34.13
"Jul 6 2009 14:18:49",0.0,0.0,74.00,34.13
"Jul 6 2009 14:18:50",0.0,0.0,74.00,34.13
"Jul 6 2009 14:18:51",42.31398,-71.03951,74.00,34.13
"Jul 6 2009 14:18:52",42.313972,-71.03948,74.00,34.13
"Jul 6 2009 14:18:54",42.313965,-71.03946,74.00,34.13
"Jul 6 2009 14:18:55",42.313957,-71.03946,74.00,34.13
"Jul 6 2009 14:18:56",42.313957,-71.03945,73.00,34.13
"Jul 6 2009 14:18:57",42.313957,-71.03945,73.00,34.13
"Jul 6 2009 14:18:58",42.31395,-71.039444,72.00,34.13
"Jul 6 2009 14:18:59",42.31395,-71.039444,73.00,34.13
"Jul 6 2009 14:19:00",42.313957,-71.039444,73.00,34.13
"Jul 6 2009 14:19:01",42.313965,-71.03945,74.00,34.13
"Jul 6 2009 14:19:02",42.313965,-71.039444,73.00,34.13
"Jul 6 2009 14:19:03",42.31398,-71.03944,74.00,34.13
"Jul 6 2009 14:19:04",42.314,-71.03942,74.00,34.13
"Jul 6 2009 14:19:05",42.314007,-71.039406,73.00,34.13
"Jul 6 2009 14:19:06",42.314007,-71.03939,75.00,34.13
"Jul 6 2009 14:19:07",42.314007,-71.03939,75.00,34.13
"Jul 6 2009 14:19:08",42.314007,-71.03938,73.00,34.13
"Jul 6 2009 14:19:10",42.314007,-71.03936,73.00,34.13
"Jul 6 2009 14:19:11",42.314007,-71.03936,75.00,34.13
"Jul 6 2009 14:19:12",42.314014,-71.03936,75.00,34.13
"Jul 6 2009 14:19:13",42.314022,-71.03936,75.00,34.13
"Jul 6 2009 14:19:14",42.31403,-71.03936,73.00,34.13
"Jul 6 2009 14:19:15",42.314037,-71.039375,75.00,34.13
"Jul 6 2009 14:19:16",42.314037,-71.039375,75.00,34.13
"Jul 6 2009 14:19:17",42.314037,-71.03936,73.00,34.13
"Jul 6 2009 14:19:44",42.314014,-71.039314,74.00,36.90
"Jul 6 2009 14:19:45",42.314007,-71.03931,75.00,36.90
"Jul 6 2009 14:19:46",42.314007,-71.039314,75.00,36.90
"Jul 6 2009 14:19:47",42.314,-71.03931,75.00,36.90
"Jul 6 2009 14:19:48",42.313988,-71.0393,75.00,36.90
"Jul 6 2009 14:19:49",42.31398,-71.03928,75.00,36.90
"Jul 6 2009 14:19:50",42.31398,-71.03929,74.00,36.90
"Jul 6 2009 14:19:51",42.31398,-71.03929,75.00,36.90
"Jul 6 2009 14:19:53",42.313972,-71.03929,75.00,36.90
"Jul 6 2009 14:19:54",42.313965,-71.03929,75.00,36.90
