time,acceleration,light,temperature,sound
"11/7/2009 12:21:51",0.70,2.10,11.22,0
"11/7/2009 12:21:53",0.82,22.98,10.90,0
"11/7/2009 12:21:54",0.74,118.71,10.90,0
"11/7/2009 12:21:55",0.74,265.11,10.90,0
"11/7/2009 12:21:56",0.98,35.42,10.90,0
"11/7/2009 12:21:57",0.90,6.29,10.90,0
"11/7/2009 12:21:58",1.09,10.47,10.90,0
"11/7/2009 12:21:59",0.86,41.62,10.90,0
"11/7/2009 12:22:00",0.66,110.72,10.90,0
"11/7/2009 12:22:01",0.90,118.71,10.90,0
"11/7/2009 12:22:02",0.82,31.28,10.90,0
"11/7/2009 12:22:03",1.02,0.00,10.90,0
"11/7/2009 12:22:04",0.86,2.10,10.90,0
"11/7/2009 12:22:05",0.82,20.90,10.90,0
"11/7/2009 12:22:06",0.98,22.98,10.90,0
"11/7/2009 12:22:07",0.98,0.00,10.90,0
"11/7/2009 12:22:09",0.94,0.00,10.58,0
"11/7/2009 12:22:10",0.98,0.00,10.90,0
"11/7/2009 12:22:11",0.94,0.00,10.90,0
"11/7/2009 12:22:12",1.02,0.00,10.90,0
"11/7/2009 12:22:13",1.09,0.00,10.58,0
"11/7/2009 12:22:14",1.05,6.29,10.58,0
"11/7/2009 12:22:15",0.98,41.62,10.58,0
"11/7/2009 12:22:16",0.98,110.72,10.90,0
"11/7/2009 12:22:17",1.21,185.49,10.58,0
"11/7/2009 12:22:18",0.66,189.35,10.58,0
"11/7/2009 12:22:19",0.82,130.65,10.90,0
"11/7/2009 12:22:20",0.78,162.16,10.90,0
"11/7/2009 12:22:21",0.70,158.25,10.58,0
"11/7/2009 12:22:22",0.86,68.29,10.58,0
"11/7/2009 12:22:24",0.78,268.82,10.90,0
"11/7/2009 12:22:25",0.74,74.40,10.58,0
"11/7/2009 12:22:26",0.90,20.90,10.58,0
"11/7/2009 12:22:27",1.17,51.91,10.90,0
"11/7/2009 12:22:28",1.13,70.33,10.58,0
"11/7/2009 12:22:29",1.25,6.29,10.58,0
"11/7/2009 12:22:30",1.09,10.47,10.58,0
"11/7/2009 12:22:31",0.90,20.90,10.90,0
"11/7/2009 12:22:32",0.94,53.97,10.58,0
"11/7/2009 12:22:33",0.90,35.42,10.90,0
"11/7/2009 12:22:34",0.94,74.40,10.90,0
"11/7/2009 12:22:35",0.98,33.35,10.58,0
"11/7/2009 12:22:36",0.94,62.16,10.58,0
"11/7/2009 12:22:37",0.74,70.33,10.58,0
"11/7/2009 12:22:39",1.05,78.46,10.58,0
"11/7/2009 12:22:40",0.86,2.10,10.25,0
"11/7/2009 12:22:41",1.21,0.00,10.58,0
"11/7/2009 12:22:42",1.13,8.38,10.58,0
"11/7/2009 12:22:43",1.13,25.06,10.58,0
"11/7/2009 12:22:44",1.21,49.86,10.25,0
"11/7/2009 12:22:45",0.94,12.56,10.58,0
"11/7/2009 12:22:46",0.90,6.29,10.58,0
"11/7/2009 12:22:47",0.94,51.91,10.58,0
"11/7/2009 12:22:48",0.98,146.46,10.58,0
"11/7/2009 12:22:49",1.02,146.46,10.25,0
"11/7/2009 12:22:50",0.98,86.57,10.58,0
"11/7/2009 12:22:51",0.90,189.35,10.58,0
"11/7/2009 12:22:52",0.90,385.54,10.58,0
"11/7/2009 12:22:54",1.09,375.08,10.25,0
"11/7/2009 12:22:55",1.17,279.91,10.25,0
"11/7/2009 12:22:56",0.94,380.32,10.58,0
"11/7/2009 12:22:57",0.86,263.25,10.58,0
"11/7/2009 12:22:58",0.90,214.29,10.25,0
"11/7/2009 12:22:59",0.74,160.20,10.58,0
"11/7/2009 12:23:00",0.70,352.21,10.25,0
"11/7/2009 12:23:01",1.02,341.55,10.58,0
"11/7/2009 12:23:02",1.13,399.38,10.58,0
"11/7/2009 12:23:03",1.13,453.59,10.58,0
"11/7/2009 12:23:04",1.13,556.47,10.25,0
"11/7/2009 12:23:05",0.78,142.52,10.25,0
"11/7/2009 12:23:06",0.78,676.12,10.58,0
"11/7/2009 12:23:07",0.94,837.58,10.25,0
"11/7/2009 12:23:08",0.94,830.47,10.25,0
"11/7/2009 12:23:10",0.90,826.89,10.58,0
"11/7/2009 12:23:11",0.90,440.21,10.25,0
"11/7/2009 12:23:12",0.98,225.69,9.93,0
"11/7/2009 12:23:13",0.90,276.22,10.25,0
"11/7/2009 12:23:14",0.90,274.37,10.25,0
"11/7/2009 12:23:15",0.78,246.44,10.25,0
