time,light,"temperature probe"
0,366.32,23.369815890309803220035778175313059
1,362.80,23.465063292650609318996415770609319
2,376.83,23.369815890309803220035778175313059
3,401.10,23.465063292650609318996415770609319
4,399.38,23.465063292650609318996415770609319
5,399.38,23.465063292650609318996415770609319
6,399.38,23.749946997977477477477477477477477
7,401.10,23.465063292650609318996415770609319
8,399.38,23.465063292650609318996415770609319
9,397.65,23.465063292650609318996415770609319
10,397.65,23.369815890309803220035778175313059
11,399.38,23.465063292650609318996415770609319
12,399.38,23.369815890309803220035778175313059
13,401.10,23.274425240571428571428571428571429
14,399.38,23.369815890309803220035778175313059
15,399.38,23.369815890309803220035778175313059
16,401.10,23.655128747508489208633093525179856
17,401.10,23.369815890309803220035778175313059
18,395.93,23.369815890309803220035778175313059
19,399.38,23.369815890309803220035778175313059
20,395.93,23.369815890309803220035778175313059
21,397.65,23.274425240571428571428571428571429
22,395.93,23.274425240571428571428571428571429
23,392.47,23.369815890309803220035778175313059
24,394.20,23.274425240571428571428571428571429
25,399.38,23.369815890309803220035778175313059
26,404.54,23.274425240571428571428571428571429
27,404.54,23.274425240571428571428571428571429
28,404.54,23.465063292650609318996415770609319
29,399.38,23.274425240571428571428571428571429
30,49.86,23.178891246217504456327985739750446
31,18.82,23.178891246217504456327985739750446
32,18.82,23.274425240571428571428571428571429
33,334.40,23.178891246217504456327985739750446
34,314.61,23.560167545509982046678635547576302
35,33.35,23.083213810721992882562277580071174
36,4.19,23.274425240571428571428571428571429
37,4.19,23.178891246217504456327985739750446
38,4.19,23.178891246217504456327985739750446
39,4.19,23.178891246217504456327985739750446
40,395.93,23.083213810721992882562277580071174
41,150.40,23.178891246217504456327985739750446
42,12.56,23.083213810721992882562277580071174
43,14.65,23.178891246217504456327985739750446
44,16.73,23.274425240571428571428571428571429
45,16.73,23.274425240571428571428571428571429
46,16.73,23.178891246217504456327985739750446
47,16.73,23.178891246217504456327985739750446
48,16.73,23.465063292650609318996415770609319
49,14.65,23.178891246217504456327985739750446
50,16.73,23.465063292650609318996415770609319
51,14.65,23.369815890309803220035778175313059
52,14.65,23.178891246217504456327985739750446
53,12.56,23.083213810721992882562277580071174
54,10.47,23.083213810721992882562277580071174
55,10.47,22.987392838244653641207815275310835
56,10.47,23.178891246217504456327985739750446
57,43.68,23.178891246217504456327985739750446
58,390.74,23.083213810721992882562277580071174
59,387.27,23.178891246217504456327985739750446
60,394.20,22.891428233624964539007092198581560
61,392.47,23.178891246217504456327985739750446
62,392.47,23.178891246217504456327985739750446
