time,light,"temperature probe"
0,197.06,-37.166143209763304007820136852394917
1,148.43,-37.166143209763304007820136852394917
2,76.43,-37.166143209763304007820136852394917
3,287.27,-37.166143209763304007820136852394917
4,851.60,-37.166143209763304007820136852394917
5,888.82,-37.166143209763304007820136852394917
6,895.38,-37.166143209763304007820136852394917
7,896.46,-37.166143209763304007820136852394917
8,750.63,-37.166143209763304007820136852394917
9,0.00,-37.166143209763304007820136852394917
10,0.00,-37.166143209763304007820136852394917
11,0.00,-37.166143209763304007820136852394917
12,0.00,-37.166143209763304007820136852394917
13,70.33,-37.166143209763304007820136852394917
