time,latitude,longitude,acceleration,altitude
07/20/2010 10:00:00,42.929314,-71.47767,1.17,67
07/20/2010 10:00:01,42.929085,-71.47733,0.99,68
07/20/2010 10:00:02,42.928833,-71.47683,1.12,68
07/20/2010 10:00:03,42.928596,-71.476494,1.12,69
07/20/2010 10:00:04,42.928368,-71.476,1.08,69
07/20/2010 10:00:05,42.928116,-71.475494,1.08,70
07/20/2010 10:00:06,42.92788,-71.47517,0.99,70
07/20/2010 10:00:07,42.927654,-71.47466,1.12,71
07/20/2010 10:00:08,42.927418,-71.47417,0.99,71
07/20/2010 10:00:09,42.926937,-71.473335,1.12,73
07/20/2010 10:00:10,42.926685,-71.473,1.08,73
07/20/2010 10:00:11,42.92645,-71.4725,1.17,74
07/20/2010 10:00:12,42.926197,-71.472,1.12,74
07/20/2010 10:00:13,42.92597,-71.471664,1.08,75
07/20/2010 10:00:15,42.925716,-71.47117,1.12,75
07/20/2010 10:00:16,42.925465,-71.47083,1.08,75
07/20/2010 10:00:17,42.925236,-71.47034,0.99,75
07/20/2010 10:00:18,42.924984,-71.46983,1.03,75
07/20/2010 10:00:19,42.924747,-71.4695,1.03,76
07/20/2010 10:00:20,42.924503,-71.469,1.12,75
07/20/2010 10:00:21,42.92425,-71.4685,1.03,75
07/20/2010 10:00:22,42.924015,-71.48167,1.03,75
07/20/2010 10:00:23,42.923763,-71.47667,1.08,75
07/20/2010 10:00:24,42.923283,-71.46667,1.12,74
07/20/2010 10:00:25,42.92303,-71.46664,1.08,73
07/20/2010 10:00:26,42.922802,-71.46658,1.08,73
07/20/2010 10:00:27,42.92255,-71.46654,1.12,72
07/20/2010 10:00:28,42.922314,-71.46651,1.03,72
07/20/2010 10:00:30,42.92207,-71.466446,1.17,71
07/20/2010 10:00:31,42.921833,-71.466415,1.08,71
07/20/2010 10:00:32,42.92158,-71.46636,1.12,70
07/20/2010 10:00:33,42.92133,-71.46632,1.08,69
07/20/2010 10:00:34,42.9211,-71.46627,1.17,69
07/20/2010 10:00:35,42.92085,-71.46623,1.17,69
