time,co2 high
1277825760,40625
1277825761,40625
1277825762,40625
1277825763,40625
1277825764,40625
1277825765,40625
1277825766,40722.65625
1277825767,40625
1277825768,40625
1277825769,40625
1277825770,40625
1277825771,40625
1277825772,40625
1277825773,40625
1277825774,40625
1277825775,40625
1277825776,40625
1277825777,40625
1277825778,40625
1277825779,40625
1277825780,40625
1277825781,40625
1277825782,40625
1277825783,40625
1277825784,40625
1277825785,40625
1277825786,40625
1277825787,40625
1277825788,40625
1277825789,40722.65625
1277825790,40625
1277825791,40722.65625
1277825792,40722.65625
1277825793,40722.65625
1277825794,40820.3125
1277825795,40820.3125
1277825796,40820.3125
1277825797,40917.96875
1277825798,40917.96875
1277825799,41015.625
1277825800,41015.625
1277825801,41015.625
1277825802,41113.28125
1277825803,41113.28125
1277825804,41113.28125
1277825805,41210.9375
1277825806,41210.9375
1277825807,41308.59375
1277825808,41308.59375
1277825809,41308.59375
1277825810,41308.59375
1277825811,41406.25
1277825812,41406.25
1277825813,41503.90625
1277825814,41503.90625
1277825815,41503.90625
1277825816,41503.90625
1277825817,41503.90625
