time,co2 high
1277824020,40722.65625
1277824021,40625
1277824022,40722.65625
1277824023,40625
1277824024,40722.65625
1277824025,40625
1277824026,40625
1277824027,40625
1277824028,40625
1277824029,40625
1277824030,40625
1277824031,40625
1277824032,40625
1277824033,40625
1277824034,40722.65625
1277824035,40625
1277824036,40722.65625
1277824037,40625
1277824038,40625
1277824039,40625
1277824040,40722.65625
1277824041,40625
1277824042,40625
1277824043,40625
1277824044,40722.65625
1277824045,40625
1277824046,40625
1277824047,40625
1277824048,40722.65625
1277824049,40722.65625
1277824050,40625
1277824051,40625
1277824052,40625
1277824053,40625
1277824054,40722.65625
1277824055,40625
1277824056,40722.65625
1277824057,40722.65625
1277824058,40722.65625
1277824059,40820.3125
1277824060,40917.96875
1277824061,40917.96875
1277824062,41015.625
1277824063,41113.28125
1277824064,41210.9375
1277824065,41210.9375
1277824066,41210.9375
1277824067,41308.59375
1277824068,41308.59375
1277824069,41406.25
1277824070,41503.90625
1277824071,41503.90625
1277824072,41601.5625
1277824073,41601.5625
1277824074,41699.21875
1277824075,41699.21875
1277824076,41796.875
1277824077,41894.53125
1277824078,41894.53125
1277824079,41992.1875
1277824080,41992.1875
1277824081,42089.84375
1277824082,42089.84375
1277824083,42187.5
1277824084,42187.5
1277824085,42187.5
1277824086,42285.15625
1277824087,42285.15625
1277824088,42382.8125
1277824089,42382.8125
1277824090,42480.46875
1277824091,42480.46875
1277824092,42578.125
1277824093,42578.125
1277824094,42675.78125
1277824095,42773.4375
1277824096,42871.09375
1277824097,42871.09375
1277824098,42871.09375
1277824099,42968.75
1277824100,42968.75
1277824101,43066.40625
1277824102,43261.71875
1277824103,43261.71875
1277824104,43359.375
1277824105,43457.03125
1277824106,43457.03125
1277824107,43554.6875
1277824108,43652.34375
