time,co2 high
1277825220,40625
1277825221,40625
1277825222,40625
1277825223,40625
1277825224,40625
1277825225,40625
1277825226,40625
1277825227,40625
1277825228,40722.65625
1277825229,40625
1277825230,40625
1277825231,40625
1277825232,40625
1277825233,40625
1277825234,40625
1277825235,40722.65625
1277825236,40625
1277825237,40625
1277825238,40625
1277825239,40625
1277825240,40625
1277825241,40625
1277825242,40625
1277825243,40625
1277825244,40722.65625
1277825245,40625
1277825246,40625
1277825247,40625
1277825248,40625
1277825249,40625
1277825250,40722.65625
1277825251,40722.65625
1277825252,40722.65625
1277825253,40820.3125
1277825254,40820.3125
1277825255,40917.96875
1277825256,40917.96875
1277825257,41015.625
1277825258,41015.625
1277825259,41113.28125
1277825260,41113.28125
1277825261,41210.9375
1277825262,41210.9375
1277825263,41210.9375
1277825264,41308.59375
1277825265,41308.59375
1277825266,41406.25
1277825267,41406.25
1277825268,41406.25
1277825269,41503.90625
1277825270,41503.90625
1277825271,41601.5625
1277825272,41601.5625
1277825273,41699.21875
1277825274,41699.21875
1277825275,41699.21875
1277825276,41796.875
1277825277,41796.875
1277825278,41796.875
1277825279,41894.53125
1277825280,41894.53125
