date,station,name,temp,speccond,tds,salinity,do,ph,latitude,longitude
05/28/2008,3.8,NorthBoat,18.3,3002,1.96,1.55,10.3,7.6,42.82046,-70.87831
06/12/2008,3.8,NorthBoat,22.3,14740,9.29,8.20,9.2,7.8,42.82046,-70.87831
06/18/2008,3.8,NorthBoat,22.1,4178,2.71,2.23,9.1,7.6,42.82046,-70.87831
06/25/2008,3.8,NorthBoat,23.2,304,0.20,0.14,7.9,7.0,42.82046,-70.87831
07/10/2008,3.8,NorthBoat,25.4,4024,2.62,2.13,9.6,7.7,42.82046,-70.87831
07/16/2008,3.8,NorthBoat,22.0,20500,13.45,10.10,9.2,8.0,42.82046,-70.87831
07/23/2008,3.8,NorthBoat,25.9,317,0.21,0.15,7.9,7.1,42.82046,-70.87831
08/13/2008,3.8,NorthBoat,19.9,113,0.07,0.05,9.3,6.9,42.82046,-70.87831
08/20/2008,3.8,NorthBoat,21.8,163,0.11,0.08,8.3,6.7,42.82046,-70.87831
08/27/2008,3.8,NorthBoat,17.7,39940,25.95,25.48,8.6,7.9,42.82046,-70.87831
09/06/2008,3.8,NorthBoat,23.9,3308,2.15,1.74,9.1,7.7,42.82046,-70.87831
09/11/2008,3.8,NorthBoat,20.1,581,0.39,0.29,8.6,6.3,42.82046,-70.87831
09/24/2008,3.8,NorthBoat,16.5,15444,9.93,8.99,9.0,7.6,42.82046,-70.87831
10/07/2008,3.8,NorthBoat,14.4,1376,0.89,0.69,,6.6,42.82046,-70.87831
10/11/2008,3.8,NorthBoat,13.9,16324,10.63,9.68,,7.4,42.82046,-70.87831
10/15/2008,3.8,NorthBoat,14.4,14700,9.60,8.57,9.2,7.3,42.82046,-70.87831
10/22/2008,3.8,NorthBoat,12.1,10800,7.07,6.21,,7.3,42.82046,-70.87831
