date,station,name,temp,speccond,tds,salinity,do,ph,latitude,longitude
05/28/2008,6.8,PowWow,18.7,225,0.15,0.11,10.0,7.3,42.84112,-70.92167
06/12/2008,6.8,PowWow,24.9,534,0.35,0.26,9.7,7.6,42.84112,-70.92167
06/18/2008,6.8,PowWow,23.0,234,0.15,0.11,8.8,7.2,42.84112,-70.92167
06/25/2008,6.8,PowWow,23.3,244,0.16,0.12,8.1,7.0,42.84112,-70.92167
07/10/2008,6.8,PowWow,26.3,209,0.14,0.10,9.3,7.5,42.84112,-70.92167
07/16/2008,6.8,PowWow,26.5,299,0.19,0.14,9.4,7.6,42.84112,-70.92167
07/23/2008,6.8,PowWow,25.9,243,0.16,0.11,7.6,7.0,42.84112,-70.92167
08/13/2008,6.8,PowWow,19.8,109,0.07,0.05,9.4,6.6,42.84112,-70.92167
08/20/2008,6.8,PowWow,21.7,143,0.09,0.07,8.4,6.7,42.84112,-70.92167
08/27/2008,6.8,PowWow,22.3,1391,0.90,0.70,8.7,7.1,42.84112,-70.92167
09/06/2008,6.8,PowWow,24.4,215,0.14,0.10,9.3,7.6,42.84112,-70.92167
09/11/2008,6.8,PowWow,19.7,139,0.09,0.07,8.4,6.5,42.84112,-70.92167
09/24/2008,6.8,PowWow,17.5,485,0.31,0.22,8.8,7.1,42.84112,-70.92167
10/07/2008,6.8,PowWow,14.0,138,0.09,0.07,,6.6,42.84112,-70.92167
10/11/2008,6.8,PowWow,14.4,308,0.20,0.15,,6.7,42.84112,-70.92167
10/15/2008,6.8,PowWow,14.9,197,0.13,0.09,9.7,6.6,42.84112,-70.92167
10/22/2008,6.8,PowWow,12.1,330,0.22,0.16,,6.8,42.84112,-70.92167
