date,station,name,temp,speccond,tds,salinity,do,ph,latitude,longitude
5/15/2008,32.2,Bartlett,14.5,160,0.10,0.08,10.4,6.7,42.70139,-71.21619
5/17/2008,32.2,Bartlett,14.5,167,0.11,0.08,9.4,6.7,42.70139,-71.21619
6/5/2008,32.2,Bartlett,20.1,235,0.15,0.11,8.6,6.9,42.70139,-71.21619
6/14/2008,32.2,Bartlett,25.0,206,0.13,0.10,9.5,7.5,42.70139,-71.21619
6/19/2008,32.2,Bartlett,22.6,195,0.13,0.09,8.4,7.2,42.70139,-71.21619
7/3/2008,32.2,Bartlett,22.8,140,0.09,0.07,7.6,6.5,42.70139,-71.21619
7/12/2008,32.2,Bartlett,26.9,217,0.14,0.10,9.5,7.5,42.70139,-71.21619
7/17/2008,32.2,Bartlett,26.3,213,0.14,0.10,8.3,7.3,42.70139,-71.21619
8/7/2008,32.2,Bartlett,21.4,107,0.07,0.05,8.5,6.6,42.70139,-71.21619
8/9/2008,32.2,Bartlett,20.4,93,0.06,0.04,8.8,6.5,42.70139,-71.21619
8/21/2008,32.2,Bartlett,21.3,149,0.10,0.07,8.5,6.7,42.70139,-71.21619
9/25/2008,32.2,Bartlett,17.0,137,0.09,0.06,9.1,6.9,42.70139,-71.21619
10/2/2008,32.2,Bartlett,17.3,130,0.09,0.06,9.4,6.6,42.70139,-71.21619
