date,station,name,temp,speccond,tds,salinity,do,ph,latitude,longitude
5/28/2008,8.3,Artichoke,18.3,223,0.15,0.11,10.1,7.2,42.82253,-70.93719
6/12/2008,8.3,Artichoke,25.0,271,0.18,0.13,9.7,7.4,42.82253,-70.93719
6/18/2008,8.3,Artichoke,22.8,228,0.15,0.11,8.8,7.3,42.82253,-70.93719
6/25/2008,8.3,Artichoke,23.2,242,0.16,0.11,8.1,7.0,42.82253,-70.93719
7/10/2008,8.3,Artichoke,26.2,197,0.13,0.09,9.0,7.1,42.82253,-70.93719
7/16/2008,8.3,Artichoke,26.3,241,0.16,0.11,8.9,7.5,42.82253,-70.93719
7/23/2008,8.3,Artichoke,25.9,240,0.16,0.11,7.5,7.0,42.82253,-70.93719
8/13/2008,8.3,Artichoke,19.7,102,0.07,0.05,9.3,6.5,42.82253,-70.93719
8/20/2008,8.3,Artichoke,21.5,144,0.09,0.07,8.5,6.9,42.82253,-70.93719
8/27/2008,8.3,Artichoke,22.2,193,0.13,0.09,8.9,7.0,42.82253,-70.93719
9/6/2008,8.3,Artichoke,24.6,195,0.13,0.09,9.3,7.6,42.82253,-70.93719
9/11/2008,8.3,Artichoke,19.8,139,0.09,0.06,8.5,6.3,42.82253,-70.93719
9/24/2008,8.3,Artichoke,17.6,269,0.18,0.13,8.9,7.4,42.82253,-70.93719
10/7/2008,8.3,Artichoke,13.9,138,0.09,0.07,,7.5,42.82253,-70.93719
