date,station,name,temp,speccond,tds,salinity,do,ph,latitude,longitude
5/28/2008,2.7,Newburyport,17.2,8550,5.57,4.79,10.3,7.8,42.81074,-70.85984
6/12/2008,2.7,Newburyport,21.8,18428,12.00,10.99,9.3,7.9,42.81074,-70.85984
6/18/2008,2.7,Newburyport,19.2,23184,15.05,14.00,8.6,7.8,42.81074,-70.85984
6/25/2008,2.7,Newburyport,23.4,441,0.28,0.20,8.3,7.1,42.81074,-70.85984
7/10/2008,2.7,Newburyport,24.3,8986,5.68,4.92,9.8,7.6,42.81074,-70.85984
7/16/2008,2.7,Newburyport,15.5,37250,24.15,22.69,10.2,7.9,42.81074,-70.85984
7/23/2008,2.7,Newburyport,25.8,511,0.33,0.25,8.0,7.2,42.81074,-70.85984
8/13/2008,2.7,Newburyport,20.1,475,0.31,0.23,9.4,6.9,42.81074,-70.85984
8/20/2008,2.7,Newburyport,21.8,202,0.13,0.10,8.2,6.7,42.81074,-70.85984
08/27/2008,2.7,Newburyport,17.5,44266,27.43,27.08,8.7,7.9,42.81074,-70.85984
09/06/2008,2.7,Newburyport,23.2,9527,6.25,5.45,9.3,7.9,42.81074,-70.85984
09/11/2008,2.7,Newburyport,20.1,1775,1.17,0.93,8.7,6.5,42.81074,-70.85984
09/24/2008,2.7,Newburyport,15.8,22199,14.75,13.99,9.3,8.2,42.81074,-70.85984
10/07/2008,2.7,Newburyport,14.4,4054,2.69,2.19,,6.8,42.81074,-70.85984
10/11/2008,2.7,Newburyport,13.2,44132,28.80,28.58,,7.8,42.81074,-70.85984
10/15/2008,2.7,Newburyport,13.2,43150,28.10,27.92,8.8,7.8,42.81074,-70.85984
10/22/2008,2.7,Newburyport,12.0,18143,11.83,10.84,,7.5,42.81709,-70.87755
