date,station,name,temp,speccond,tds,salinity,do,ph,latitude,longitude
5/15/2008,31.4,MethuenIntake,14.6,164,0.11,0.08,10.3,6.7,42.69893,-71.20259
5/17/2008,31.4,MethuenIntake,14.6,174,0.11,0.08,9.4,6.7,42.69893,-71.20259
6/5/2008,31.4,MethuenIntake,20.2,233,0.15,0.11,8.6,6.9,42.69893,-71.20259
6/14/2008,31.4,MethuenIntake,25.0,205,0.13,0.10,9.4,7.4,42.69893,-71.20259
6/19/2008,31.4,MethuenIntake,22.6,206,0.13,0.10,8.5,7.2,42.69893,-71.20259
7/3/2008,31.4,MethuenIntake,22.8,145,0.09,0.07,7.5,6.6,42.69893,-71.20259
7/12/2008,31.4,MethuenIntake,26.5,212,0.14,0.10,8.5,7.2,42.69893,-71.20259
7/17/2008,31.4,MethuenIntake,26.7,216,0.14,0.10,8.9,7.6,42.69893,-71.20259
8/7/2008,31.4,MethuenIntake,21.4,110,0.07,0.05,8.5,6.7,42.69893,-71.20259
8/9/2008,31.4,MethuenIntake,20.4,93,0.06,0.04,8.7,6.4,42.69893,-71.20259
8/21/2008,31.4,MethuenIntake,21.3,152,0.10,0.07,8.4,6.7,42.69893,-71.20259
9/25/2008,31.4,MethuenIntake,17.1,137,0.09,0.06,9.0,6.8,42.69893,-71.20259
10/2/2008,31.4,MethuenIntake,17.3,132,0.09,0.06,9.3,6.7,42.69893,-71.20259
