date,station,name,temp,speccond,tds,salinity,do,ph,latitude,longitude
5/15/2008,36.3,TrullBrook,14.6,155,0.10,0.07,10.6,6.7,42.65661,-71.25751
5/17/2008,36.3,TrullBrook,14.6,149,0.10,0.07,9.7,6.7,42.65661,-71.25751
6/5/2008,36.3,TrullBrook,20.0,233,0.15,0.11,8.5,6.9,42.65661,-71.25751
6/19/2008,36.3,TrullBrook,22.6,205,0.13,0.10,8.4,7.1,42.65661,-71.25751
7/12/2008,36.3,TrullBrook,26.3,195,0.13,0.09,8.5,7.0,42.65661,-71.25751
7/17/2008,36.3,TrullBrook,26.0,209,0.14,0.10,8.7,7.3,42.65661,-71.25751
8/7/2008,36.3,TrullBrook,21.2,98,0.06,0.05,8.9,6.5,42.65661,-71.25751
8/9/2008,36.3,TrullBrook,20.1,86,0.06,0.04,9.0,6.4,42.65661,-71.25751
8/21/2008,36.3,TrullBrook,21.2,148,0.10,0.07,8.6,6.6,42.65661,-71.25751
9/25/2008,36.3,TrullBrook,17.0,137,0.09,0.06,9.2,6.9,42.65661,-71.25751
10/2/2008,36.3,TrullBrook,17.3,129,0.08,0.06,9.5,,42.65661,-71.25751
