date,station,name,temp,speccond,tds,salinity,do,ph,latitude,longitude
5/15/2008,37.9,DuckIsland,14.5,135,0.09,0.06,10.6,6.6,42.65084,-71.28442
5/17/2008,37.9,DuckIsland,14.7,146,0.10,0.07,9.8,6.8,42.65084,-71.28442
6/5/2008,37.9,DuckIsland,20.1,223,0.14,0.10,8.8,6.9,42.65084,-71.28442
6/14/2008,37.9,DuckIsland,24.9,184,0.12,0.09,9.4,7.4,42.65084,-71.28442
6/19/2008,37.9,DuckIsland,22.7,186,0.12,0.09,8.8,7.1,42.65084,-71.28442
7/12/2008,37.9,DuckIsland,26.5,202,0.13,0.09,8.9,7.1,42.65084,-71.28442
7/17/2008,37.9,DuckIsland,25.8,189,0.12,0.09,8.6,7.0,42.65084,-71.28442
8/7/2008,37.9,DuckIsland,21.4,152,0.10,0.07,8.6,6.5,42.65084,-71.28442
8/9/2008,37.9,DuckIsland,20.1,90,0.06,0.04,9.2,6.5,42.65084,-71.28442
8/21/2008,37.9,DuckIsland,21.2,135,0.09,0.06,8.6,6.7,42.65084,-71.28442
9/25/2008,37.9,DuckIsland,17.0,129,0.08,0.06,9.3,6.8,42.65084,-71.28442
10/2/2008,37.9,DuckIsland,17.3,134,0.09,0.07,9.3,,42.65084,-71.28442
