date,station,name,temp,speccond,tds,salinity,do,ph,latitude,longitude
5/15/2008,35.1,GravelPt,14.5,168,0.11,0.08,10.5,6.7,42.66665,-71.24048
5/17/2008,35.1,GravelPt,14.6,170,0.11,0.08,9.5,6.7,42.66665,-71.24048
6/5/2008,35.1,GravelPt,19.9,231,0.15,0.11,8.3,6.8,42.66665,-71.24048
6/14/2008,35.1,GravelPt,24.6,209,0.14,0.10,8.3,7.0,42.66665,-71.24048
6/19/2008,35.1,GravelPt,22.4,208,0.14,0.10,7.6,6.9,42.66665,-71.24048
7/3/2008,35.1,GravelPt,22.8,157,0.10,0.07,7.9,6.6,42.66665,-71.24048
7/12/2008,35.1,GravelPt,26.1,220,0.14,0.10,7.9,7.0,42.66665,-71.24048
7/17/2008,35.1,GravelPt,25.8,203,0.13,0.10,8.0,7.0,42.66665,-71.24048
8/7/2008,35.1,GravelPt,21.2,112,0.07,0.05,8.8,6.6,42.66665,-71.24048
8/9/2008,35.1,GravelPt,20.2,91,0.06,0.04,9.0,6.5,42.66665,-71.24048
8/21/2008,35.1,GravelPt,21.2,162,0.11,0.08,8.5,6.7,42.66665,-71.24048
9/25/2008,35.1,GravelPt,16.9,137,0.09,0.06,9.1,6.9,42.66665,-71.24048
10/2/2008,35.1,GravelPt,17.3,135,0.09,0.06,9.5,,42.66665,-71.24048
