date,station,name,temp,speccond,tds,salinity,do,ph,latitude,longitude
5/28/2008,10.6,CobblersBrook,18.3,220,0.14,0.10,9.9,7.1,42.82472,-70.98039
6/12/2008,10.6,CobblersBrook,25.0,245,0.16,0.12,9.5,7.2,42.82472,-70.98039
6/18/2008,10.6,CobblersBrook,23.3,224,0.15,0.11,9.1,7.2,42.82472,-70.98039
6/25/2008,10.6,CobblersBrook,23.2,230,0.15,0.11,7.8,7.0,42.82472,-70.98039
7/10/2008,10.6,CobblersBrook,26.1,193,0.13,0.09,8.9,7.1,42.82472,-70.98039
7/16/2008,10.6,CobblersBrook,26.1,236,0.15,0.11,8.7,7.2,42.82472,-70.98039
7/23/2008,10.6,CobblersBrook,26.3,238,0.16,0.11,8.1,7.2,42.82472,-70.98039
8/13/2008,10.6,CobblersBrook,19.6,101,0.07,0.05,9.6,6.5,42.82472,-70.98039
8/20/2008,10.6,CobblersBrook,21.7,142,0.09,0.07,8.4,6.9,42.82472,-70.98039
8/27/2008,10.6,CobblersBrook,22.1,176,0.11,0.08,8.7,7.0,42.82472,-70.98039
9/6/2008,10.6,CobblersBrook,24.5,197,0.13,0.09,8.5,7.2,42.82472,-70.98039
9/11/2008,10.6,CobblersBrook,19.9,139,0.09,0.07,8.8,6.4,42.82472,-70.98039
9/24/2008,10.6,CobblersBrook,17.1,158,0.10,0.07,8.9,7.3,42.82472,-70.98039
10/6/2008,10.6,CobblersBrook,14.7,132,0.09,0.06,10.4,6.6,42.82472,-70.98039
10/7/2008,10.6,CobblersBrook,13.8,137,0.09,0.06,,6.5,42.82472,-70.98039
