date,station,name,temp,speccond,tds,salinity,do,ph,latitude,longitude
5/28/2008,14.1,NorthCanal,18.1,221,0.14,0.10,9.5,7.0,42.79244,-71.01889
6/12/2008,14.1,NorthCanal,25.0,242,0.16,0.11,9.1,7.1,42.79244,-71.01889
6/18/2008,14.1,NorthCanal,23.6,227,0.15,0.11,9.6,7.5,42.79244,-71.01889
6/25/2008,14.1,NorthCanal,22.5,234,0.15,0.11,6.9,6.8,42.79244,-71.01889
7/10/2008,14.1,NorthCanal,26.3,188,0.12,0.09,8.8,7.1,42.79244,-71.01889
7/16/2008,14.1,NorthCanal,26.7,238,0.15,0.11,8.8,7.2,42.79244,-71.01889
7/23/2008,14.1,NorthCanal,26.0,239,0.16,0.11,6.5,6.8,42.79244,-71.01889
8/13/2008,14.1,NorthCanal,19.5,99,0.06,0.05,9.8,6.5,42.79244,-71.01889
8/20/2008,14.1,NorthCanal,21.8,140,0.09,0.07,8.6,6.6,42.79244,-71.01889
8/27/2008,14.1,NorthCanal,22.4,182,0.12,0.09,8.7,6.9,42.79244,-71.01889
9/6/2008,14.1,NorthCanal,24.3,202,0.13,0.09,8.6,7.1,42.79244,-71.01889
9/11/2008,14.1,NorthCanal,19.8,139,0.09,0.07,8.7,,42.79244,-71.01889
9/24/2008,14.1,NorthCanal,17.2,159,0.10,0.08,9.0,7.2,42.79244,-71.01889
10/6/2008,14.1,NorthCanal,14.7,134,0.09,0.06,10.7,6.7,42.79244,-71.01889
10/7/2008,14.1,NorthCanal,13.9,141,0.09,0.07,,6.7,42.79244,-71.01889
