date,station,name,temp,speccond,tds,salinity,do,ph,latitude,longitude
5/15/2008,33.4,FishBrook,14.5,171,0.11,0.08,10.3,6.7,42.68791,-71.22498
5/17/2008,33.4,FishBrook,14.5,175,0.11,0.08,9.4,6.7,42.68791,-71.22498
6/5/2008,33.4,FishBrook,19.9,234,0.15,0.11,8.5,6.8,42.68791,-71.22498
6/14/2008,33.4,FishBrook,24.5,204,0.13,0.10,8.3,7.1,42.68791,-71.22498
6/19/2008,33.4,FishBrook,22.5,197,0.13,0.09,7.7,7.0,42.68791,-71.22498
7/3/2008,33.4,FishBrook,22.8,159,0.10,0.07,7.5,6.6,42.68791,-71.22498
7/12/2008,33.4,FishBrook,26.5,219,0.14,0.10,8.1,7.2,42.68791,-71.22498
7/17/2008,33.4,FishBrook,26.0,215,0.14,0.10,7.9,7.0,42.68791,-71.22498
8/7/2008,33.4,FishBrook,21.3,117,0.08,0.05,8.5,6.6,42.68791,-71.22498
8/9/2008,33.4,FishBrook,20.3,97,0.06,0.04,8.8,6.5,42.68791,-71.22498
8/21/2008,33.4,FishBrook,21.2,162,0.10,0.08,8.4,6.7,42.68791,-71.22498
9/25/2008,33.4,FishBrook,16.9,138,0.09,0.06,9.2,6.9,42.68791,-71.22498
10/2/2008,33.4,FishBrook,17.3,137,0.09,0.06,9.4,6.6,42.68791,-71.22498
