time,latitude,longitude,temperature probe
06/29/2010 19:44:32,41.74082,-71.55,6.803402249457896390658174097664544
06/29/2010 19:44:43,41.740837,-71.55,6.918997462203404255319148936170213
06/29/2010 19:44:54,41.740837,-71.55,6.803402249457896390658174097664544
06/29/2010 19:45:05,41.740837,-71.55167,6.803402249457896390658174097664544
06/29/2010 19:45:15,41.740837,-71.55167,6.918997462203404255319148936170213
06/29/2010 19:45:26,41.74082,-71.55,6.918997462203404255319148936170213
06/29/2010 19:45:37,41.74082,-71.55167,6.803402249457896390658174097664544
06/29/2010 19:45:48,41.74082,-71.55167,6.803402249457896390658174097664544
06/29/2010 19:45:58,41.74082,-71.55,6.803402249457896390658174097664544
06/29/2010 19:46:09,41.74082,-71.55,6.803402249457896390658174097664544
06/29/2010 19:46:20,41.74082,-71.55,6.918997462203404255319148936170213
06/29/2010 19:49:23,41.74052,-71.551796,6.803402249457896390658174097664544
06/29/2010 19:49:34,41.740536,-71.551834,6.803402249457896390658174097664544
06/29/2010 19:49:45,41.740536,-71.55181,6.803402249457896390658174097664544
06/29/2010 19:49:56,41.74052,-71.55181,6.803402249457896390658174097664544
06/29/2010 19:50:06,41.740536,-71.551796,6.803402249457896390658174097664544
06/29/2010 19:50:17,41.740536,-71.55178,6.918997462203404255319148936170213
06/29/2010 19:50:28,41.740536,-71.551765,6.918997462203404255319148936170213
06/29/2010 19:50:39,41.740536,-71.551765,6.918997462203404255319148936170213
06/29/2010 19:50:50,41.7406,-71.55172,6.918997462203404255319148936170213
06/29/2010 19:51:00,41.7406,-71.55172,6.918997462203404255319148936170213
06/29/2010 19:51:11,41.7406,-71.55172,6.803402249457896390658174097664544
06/29/2010 19:55:19,41.741398,-71.55383,6.803402249457896390658174097664544
06/29/2010 19:55:30,41.741398,-71.55383,6.803402249457896390658174097664544
06/29/2010 19:55:41,41.741398,-71.554,6.918997462203404255319148936170213
06/29/2010 19:55:51,41.741413,-71.55367,6.803402249457896390658174097664544
06/29/2010 19:56:02,41.741413,-71.55383,6.918997462203404255319148936170213
06/29/2010 19:56:13,41.741413,-71.554,6.803402249457896390658174097664544
06/29/2010 19:56:24,41.741413,-71.554,6.803402249457896390658174097664544
06/29/2010 19:56:34,41.741413,-71.55383,6.803402249457896390658174097664544
06/29/2010 19:56:45,41.741413,-71.55417,6.803402249457896390658174097664544
06/29/2010 19:56:56,41.741398,-71.55433,6.803402249457896390658174097664544
06/29/2010 19:57:07,41.741398,-71.5545,6.803402249457896390658174097664544
06/29/2010 19:57:17,41.741413,-71.554,6.803402249457896390658174097664544
06/29/2010 19:57:28,41.741383,-71.55433,6.803402249457896390658174097664544
06/29/2010 19:57:39,41.741383,-71.55433,6.803402249457896390658174097664544
06/29/2010 20:43:25,41.740917,-71.54977,6.803402249457896390658174097664544
06/29/2010 20:43:36,41.740887,-71.5497,6.803402249457896390658174097664544
06/29/2010 20:43:47,41.740902,-71.54971,6.803402249457896390658174097664544
06/29/2010 20:43:58,41.740868,-71.54973,6.803402249457896390658174097664544
06/29/2010 20:44:09,41.740887,-71.54975,6.803402249457896390658174097664544
06/29/2010 20:44:19,41.740902,-71.54973,6.803402249457896390658174097664544
06/29/2010 20:44:30,41.740902,-71.54975,6.803402249457896390658174097664544
06/29/2010 20:44:41,41.740887,-71.5497,6.803402249457896390658174097664544
06/29/2010 20:44:52,41.740852,-71.54965,6.803402249457896390658174097664544
06/29/2010 20:45:03,41.740852,-71.54964,6.803402249457896390658174097664544
06/29/2010 20:45:13,41.740837,-71.5496,6.803402249457896390658174097664544
06/29/2010 20:45:24,41.740852,-71.54964,6.803402249457896390658174097664544
06/29/2010 20:51:04,41.74095,-71.54987,6.803402249457896390658174097664544
06/29/2010 20:51:14,41.740967,-71.5498,6.803402249457896390658174097664544
06/29/2010 20:51:24,41.740967,-71.54987,6.918997462203404255319148936170213
06/29/2010 20:51:35,41.740967,-71.549904,6.803402249457896390658174097664544
06/29/2010 20:52:57,,,5.407139002281193374741200828157350
06/29/2010 20:53:08,41.741016,-71.54985,5.641038320779595010395010395010395
06/29/2010 20:53:19,41.74103,-71.54985,5.290007676920224793388429752066116
06/29/2010 20:53:29,41.740982,-71.5498,5.055379196946837860082304526748971
06/29/2010 20:53:40,41.74095,-71.549835,4.702514535327907566462167689161554
06/29/2010 20:53:51,41.740917,-71.5498,4.466651162108393482688391038696538
06/29/2010 20:54:02,41.740917,-71.5498,4.230287148684828397565922920892495
06/29/2010 20:54:13,41.74095,-71.549835,3.993418768783535353535353535353535
06/29/2010 20:54:23,41.740982,-71.54987,3.874794293377135483870967741935484
06/29/2010 20:54:34,41.740932,-71.549835,3.756042356111097786720321931589537
06/29/2010 20:54:45,41.740868,-71.54978,3.518154303152350300601202404809619
06/29/2010 20:54:56,41.740887,-71.54978,3.3990173000000
06/29/2010 20:55:06,41.74078,-71.549835,3.3990173000000
06/29/2010 20:55:17,41.740837,-71.54987,3.160355148217963346613545816733068
06/29/2010 20:55:28,41.740887,-71.54989,3.160355148217963346613545816733068
06/29/2010 20:55:39,41.740902,-71.549904,3.040829133195197614314115308151093
06/29/2010 20:55:49,41.740868,-71.54985,3.040829133195197614314115308151093
06/29/2010 20:56:00,41.740887,-71.54981,2.921172586885993650793650793650794
06/29/2010 20:56:11,41.740887,-71.54975,2.921172586885993650793650793650794
06/29/2010 20:56:22,41.740967,-71.5498,2.921172586885993650793650793650794
06/29/2010 20:56:33,41.74103,-71.549835,2.921172586885993650793650793650794
06/29/2010 20:56:43,41.741,-71.54985,2.801385084637920792079207920792079
