time,light,volts
04/12/2010 12:22:06,150.40,2.235483870967741935483870967741935
04/12/2010 12:22:07,237.04,2.232258064516129032258064516129032
04/12/2010 12:22:08,235.15,2.229032258064516129032258064516129
04/12/2010 12:22:09,238.92,2.229032258064516129032258064516129
04/12/2010 12:22:10,244.56,2.225806451612903225806451612903226
04/12/2010 12:22:11,252.06,2.222580645161290322580645161290323
04/12/2010 12:22:12,242.68,2.219354838709677419354838709677419
04/12/2010 12:22:13,253.93,2.219354838709677419354838709677419
04/12/2010 12:22:14,252.06,2.216129032258064516129032258064516
04/12/2010 12:22:16,252.06,2.212903225806451612903225806451613
04/12/2010 12:22:17,252.06,2.212903225806451612903225806451613
04/12/2010 12:22:18,253.93,2.209677419354838709677419354838710
04/12/2010 12:22:19,253.93,2.206451612903225806451612903225806
04/12/2010 12:22:20,253.93,2.206451612903225806451612903225806
04/12/2010 12:22:21,253.93,2.203225806451612903225806451612903
04/12/2010 12:22:22,253.93,2.203225806451612903225806451612903
04/12/2010 12:22:23,257.66,2.2
04/12/2010 12:22:24,257.66,2.2
04/12/2010 12:22:25,255.79,2.196774193548387096774193548387097
04/12/2010 12:22:26,255.79,2.196774193548387096774193548387097
04/12/2010 12:22:28,253.93,2.193548387096774193548387096774194
04/12/2010 12:22:29,255.79,2.193548387096774193548387096774194
04/12/2010 12:22:30,250.19,2.193548387096774193548387096774194
04/12/2010 12:22:31,255.79,2.190322580645161290322580645161290
04/12/2010 12:22:32,252.06,2.190322580645161290322580645161290
04/12/2010 12:22:33,255.79,2.187096774193548387096774193548387
04/12/2010 12:22:34,259.52,2.187096774193548387096774193548387
04/12/2010 12:22:35,255.79,2.187096774193548387096774193548387
04/12/2010 12:22:36,255.79,2.183870967741935483870967741935484
04/12/2010 12:22:37,259.52,2.183870967741935483870967741935484
04/12/2010 12:22:38,255.79,2.183870967741935483870967741935484
04/12/2010 12:22:40,257.66,2.183870967741935483870967741935484
04/12/2010 12:22:41,257.66,2.180645161290322580645161290322581
04/12/2010 12:22:42,261.39,2.180645161290322580645161290322581
04/12/2010 12:22:43,259.52,2.180645161290322580645161290322581
04/12/2010 12:22:44,257.66,2.180645161290322580645161290322581
04/12/2010 12:22:45,252.06,2.177419354838709677419354838709677
04/12/2010 12:22:46,257.66,2.177419354838709677419354838709677
04/12/2010 12:22:47,265.11,2.177419354838709677419354838709677
04/12/2010 12:22:48,266.96,2.177419354838709677419354838709677
04/12/2010 12:22:49,261.39,2.177419354838709677419354838709677
04/12/2010 12:22:50,263.25,2.174193548387096774193548387096774
04/12/2010 12:22:52,263.25,2.174193548387096774193548387096774
04/12/2010 12:22:53,265.11,2.174193548387096774193548387096774
04/12/2010 12:22:54,261.39,2.174193548387096774193548387096774
04/12/2010 12:22:55,259.52,2.170967741935483870967741935483871
04/12/2010 12:22:56,263.25,2.170967741935483870967741935483871
04/12/2010 12:22:57,255.79,2.170967741935483870967741935483871
04/12/2010 12:22:58,257.66,2.170967741935483870967741935483871
04/12/2010 12:22:59,263.25,2.170967741935483870967741935483871
04/12/2010 12:23:00,255.79,2.170967741935483870967741935483871
04/12/2010 12:23:00,261.39,2.170967741935483870967741935483871
04/12/2010 12:23:02,261.39,2.170967741935483870967741935483871
04/12/2010 12:23:04,259.52,2.167741935483870967741935483870968
04/12/2010 12:23:04,261.39,2.167741935483870967741935483870968
04/12/2010 12:23:06,263.25,2.167741935483870967741935483870968
04/12/2010 12:23:07,259.52,2.167741935483870967741935483870968
04/12/2010 12:23:08,257.66,2.167741935483870967741935483870968
04/12/2010 12:23:09,261.39,2.167741935483870967741935483870968
04/12/2010 12:23:10,261.39,2.167741935483870967741935483870968
04/12/2010 12:23:11,259.52,2.164516129032258064516129032258065
04/12/2010 12:23:12,261.39,2.164516129032258064516129032258065
04/12/2010 12:23:12,259.52,2.164516129032258064516129032258065
04/12/2010 12:23:14,257.66,2.164516129032258064516129032258065
04/12/2010 12:23:15,252.06,2.164516129032258064516129032258065
04/12/2010 12:23:17,257.66,2.164516129032258064516129032258065
04/12/2010 12:23:18,261.39,2.164516129032258064516129032258065
04/12/2010 12:23:19,257.66,2.164516129032258064516129032258065
04/12/2010 12:23:20,261.39,2.164516129032258064516129032258065
04/12/2010 12:23:21,261.39,2.164516129032258064516129032258065
04/12/2010 12:23:22,263.25,2.161290322580645161290322580645161
04/12/2010 12:23:23,259.52,2.161290322580645161290322580645161
04/12/2010 12:23:24,250.19,2.161290322580645161290322580645161
04/12/2010 12:23:25,257.66,2.161290322580645161290322580645161
04/12/2010 12:23:26,261.39,2.161290322580645161290322580645161
04/12/2010 12:23:27,257.66,2.161290322580645161290322580645161
04/12/2010 12:23:28,255.79,2.161290322580645161290322580645161
04/12/2010 12:23:30,257.66,2.161290322580645161290322580645161
04/12/2010 12:23:31,259.52,2.161290322580645161290322580645161
04/12/2010 12:23:32,265.11,2.158064516129032258064516129032258
04/12/2010 12:23:33,261.39,2.161290322580645161290322580645161
04/12/2010 12:23:34,261.39,2.161290322580645161290322580645161
04/12/2010 12:23:35,261.39,2.158064516129032258064516129032258
04/12/2010 12:23:36,259.52,2.158064516129032258064516129032258
04/12/2010 12:23:37,259.52,2.158064516129032258064516129032258
04/12/2010 12:23:37,261.39,2.158064516129032258064516129032258
04/12/2010 12:23:39,255.79,2.158064516129032258064516129032258
04/12/2010 12:23:39,257.66,2.158064516129032258064516129032258
04/12/2010 12:23:42,257.66,2.158064516129032258064516129032258
04/12/2010 12:23:43,259.52,2.158064516129032258064516129032258
