time,latitude,longitude,acceleration,light,temperature,sound,temperature probe,altitude
06/28/2010 16:24:28,42.659035,-71.31477,0.90,1032.47,26.69,14,30.630838512803012552301255230125523,25
06/28/2010 16:24:29,42.65895,-71.31465,0.66,1034.13,27.01,13,30.630838512803012552301255230125523,24
06/28/2010 16:24:30,42.65878,-71.31445,0.62,1032.47,27.01,14,30.630838512803012552301255230125523,23
06/28/2010 16:24:31,42.658714,-71.31435,0.78,1033.30,27.01,12,30.714883776515429769392033542976939,22
06/28/2010 16:24:32,42.658634,-71.31425,0.86,1030.81,27.01,12,30.714883776515429769392033542976939,21
06/28/2010 16:24:33,42.658554,-71.314156,0.70,1034.13,27.01,11,30.714883776515429769392033542976939,21
06/28/2010 16:24:34,42.658463,-71.31405,1.05,1034.13,27.01,9,30.714883776515429769392033542976939,20
06/28/2010 16:24:36,42.658382,-71.31395,0.78,1034.95,27.01,9,30.714883776515429769392033542976939,19
06/28/2010 16:24:37,42.658302,-71.31385,0.82,1034.13,27.01,12,30.714883776515429769392033542976939,19
06/28/2010 16:24:38,42.65822,-71.313736,0.98,1034.95,27.01,8,30.714883776515429769392033542976939,18
06/28/2010 16:24:39,42.65813,-71.313644,0.82,1034.13,27.01,6,30.714883776515429769392033542976939,18
06/28/2010 16:24:40,42.658047,-71.31355,0.78,991.47,27.01,11,30.714883776515429769392033542976939,17
06/28/2010 16:24:41,42.657967,-71.31347,0.86,619.98,27.01,8,30.714883776515429769392033542976939,14
06/28/2010 16:24:42,42.657887,-71.3134,0.86,909.36,27.01,5,30.714883776515429769392033542976939,13
06/28/2010 16:24:43,42.657795,-71.31333,0.78,1024.93,27.01,3,30.714883776515429769392033542976939,12
06/28/2010 16:24:44,42.657635,-71.31322,0.94,946.50,27.01,28,30.714883776515429769392033542976939,12
06/28/2010 16:24:45,42.65755,-71.31316,0.74,983.17,27.01,8,30.714883776515429769392033542976939,12
06/28/2010 16:24:46,42.65747,-71.31315,0.86,1033.30,27.01,7,30.798796872709915966386554621848739,14
06/28/2010 16:24:47,42.657383,-71.3131,0.78,1034.95,27.01,8,30.798796872709915966386554621848739,13
06/28/2010 16:24:48,42.657333,-71.31307,0.82,1018.10,27.01,5,30.714883776515429769392033542976939,11
06/28/2010 16:24:50,42.65727,-71.313034,0.82,954.44,27.01,16,30.798796872709915966386554621848739,11
06/28/2010 16:24:51,42.657204,-71.312996,0.82,952.46,27.01,11,30.798796872709915966386554621848739,12
06/28/2010 16:24:52,42.657154,-71.31298,0.90,991.47,27.01,4,30.798796872709915966386554621848739,13
06/28/2010 16:24:53,42.657097,-71.31298,0.86,1006.76,27.01,5,30.798796872709915966386554621848739,16
