#PPSN:59
#DOU:Fri Feb 05 08:07:23 EST 2010
Time,Latitude,Longitude,Acceleration,Light,Temperature,Sound,Temperature Probe,Pedometer,Altitude
10/28/2006 19:00:03,,,0.94,33.35,19.60,8,33.175666490648008948545861297539150,0, 
10/28/2006 19:00:05,,,0.98,128.66,19.92,9,33.654036284301179138321995464852608,0, 
10/28/2006 19:00:06,,,0.98,212.38,19.92,8,34.049254599072293577981651376146789,0, 
10/28/2006 19:00:07,,,0.98,314.61,19.60,7,34.441395222464547563805104408352668,0, 
10/28/2006 19:00:08,,,0.98,298.25,19.92,9,34.519456964976744186046511627906977,0, 
10/28/2006 19:00:09,,,0.98,72.36,19.92,14,34.597397221355198135198135198135198,0, 
10/28/2006 19:00:10,,,1.17,110.72,19.92,12,34.675216271560373831775700934579439,0, 
10/28/2006 19:00:11,,,1.17,116.72,19.92,6,35.062503413919952718676122931442080,0, 
10/28/2006 19:00:12,,,1.17,66.25,19.92,7,35.293439726095238095238095238095238,0, 
10/28/2006 19:00:13,,,1.02,29.21,19.92,28,35.293439726095238095238095238095238,1, 
10/28/2006 19:00:14,,,0.98,72.36,19.92,4,35.523308973231318944844124700239808,0, 
10/28/2006 19:00:15,,,0.98,212.38,19.92,10,35.752119541836908212560386473429952,0, 
10/28/2006 19:00:16,,,0.98,332.61,19.92,15,35.828155954093801452784503631961259,0, 
10/28/2006 19:00:18,,,0.98,339.76,19.92,3,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:19,,,0.98,330.82,19.92,6,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:20,,,0.98,327.23,19.92,3,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:21,,,0.98,329.03,19.92,3,35.979880063282287104622871046228710,0, 
10/28/2006 19:00:22,,,0.98,332.61,19.92,10,35.979880063282287104622871046228710,0, 
10/28/2006 19:00:23,,,0.98,348.66,19.92,10,35.979880063282287104622871046228710,0, 
10/28/2006 19:00:24,,,0.98,345.11,19.92,13,35.979880063282287104622871046228710,0, 
10/28/2006 19:00:25,,,0.98,352.21,19.92,25,35.979880063282287104622871046228710,0, 
10/28/2006 19:00:26,,,0.98,355.75,19.92,5,35.979880063282287104622871046228710,0, 
10/28/2006 19:00:27,,,0.98,348.66,19.92,8,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:28,,,0.98,352.21,19.92,28,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:29,,,0.98,353.98,19.92,10,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:30,,,0.98,345.11,19.92,6,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:32,,,0.94,348.66,19.92,8,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:33,,,0.98,346.88,19.92,9,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:34,,,0.98,355.75,19.92,6,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:35,,,0.98,353.98,19.92,5,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:36,,,0.98,348.66,19.92,5,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:37,,,0.98,350.43,19.92,6,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:38,,,0.98,348.66,19.92,12,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:39,,,0.98,345.11,19.92,12,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:40,,,0.98,353.98,19.92,4,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:41,,,0.98,350.43,19.92,5,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:42,,,0.98,345.11,19.92,5,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:43,,,0.98,352.21,19.92,7,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:44,,,0.94,350.43,19.92,19,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:46,,,0.98,353.98,19.92,5,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:47,,,0.98,353.98,19.92,7,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:48,,,0.98,353.98,19.92,5,35.904076018227572815533980582524272,0, 
10/28/2006 19:00:49,,,0.98,353.98,19.92,4,35.828155954093801452784503631961259,0, 
10/28/2006 19:00:50,,,0.98,352.21,19.92,6,35.828155954093801452784503631961259,0, 
10/28/2006 19:00:51,,,0.98,350.43,19.92,5,35.828155954093801452784503631961259,0, 
10/28/2006 19:00:52,,,0.98,348.66,19.92,4,35.828155954093801452784503631961259,0, 
10/28/2006 19:00:53,,,0.98,352.21,19.92,4,35.828155954093801452784503631961259,0, 
10/28/2006 19:00:54,,,0.98,350.43,19.92,5,35.828155954093801452784503631961259,0, 
10/28/2006 19:00:55,,,0.98,353.98,19.92,9,35.828155954093801452784503631961259,0, 
10/28/2006 19:00:56,,,0.98,346.88,19.92,7,35.752119541836908212560386473429952,0, 
10/28/2006 19:00:57,,,0.98,353.98,19.92,4,35.752119541836908212560386473429952,0, 
10/28/2006 19:00:59,,,0.98,353.98,19.92,5,35.752119541836908212560386473429952,0, 
10/28/2006 19:01:00,,,0.98,352.21,19.92,10,35.752119541836908212560386473429952,0, 
10/28/2006 19:01:01,,,0.98,348.66,19.92,7,35.752119541836908212560386473429952,0, 
10/28/2006 19:01:02,,,0.98,352.21,19.92,11,35.752119541836908212560386473429952,0, 
10/28/2006 19:01:03,,,0.98,352.21,19.92,10,35.752119541836908212560386473429952,0, 
10/28/2006 19:01:04,,,0.98,348.66,19.92,13,35.675966455584337349397590361445783,0, 
10/28/2006 19:01:05,,,0.98,346.88,19.92,6,35.675966455584337349397590361445783,0, 
10/28/2006 19:01:06,,,0.98,357.51,19.92,12,35.675966455584337349397590361445783,0, 
10/28/2006 19:01:07,,,0.98,352.21,19.92,9,35.675966455584337349397590361445783,0, 
10/28/2006 19:01:08,,,0.98,348.66,19.92,7,35.675966455584337349397590361445783,0, 
10/28/2006 19:01:09,,,0.98,353.98,19.92,3,35.675966455584337349397590361445783,0, 
10/28/2006 19:01:10,,,0.98,353.98,19.92,5,35.675966455584337349397590361445783,0, 
