#PPSN:75
#DOU:Fri Feb 05 08:01:18 EST 2010
Time,Latitude,Longitude,Acceleration,Light,Temperature,Sound,Temperature Probe,Pedometer,Altitude
02/05/2010 07:41:02,,,0.98,0.00,8.64,2,20.245760893123214890016920473773266,0, 
02/05/2010 07:41:03,,,0.98,0.00,8.64,5,20.245760893123214890016920473773266,0, 
02/05/2010 07:41:04,,,0.98,0.00,8.64,2,20.245760893123214890016920473773266,0, 
02/05/2010 07:41:05,,,0.98,0.00,8.64,2,20.245760893123214890016920473773266,0, 
02/05/2010 07:41:06,,,0.98,0.00,8.64,2,20.145738534015135135135135135135135,0, 
02/05/2010 07:41:07,,,0.98,0.00,8.64,2,20.145738534015135135135135135135135,0, 
02/05/2010 07:41:08,,,0.98,0.00,8.32,2,20.145738534015135135135135135135135,0, 
02/05/2010 07:41:09,,,0.98,0.00,8.32,2,20.145738534015135135135135135135135,0, 
02/05/2010 07:41:10,,,0.98,0.00,8.32,1,20.145738534015135135135135135135135,0, 
02/05/2010 07:41:11,,,0.98,0.00,8.64,1,20.045570053628903878583473861720067,0, 
02/05/2010 07:41:12,,,0.98,0.00,8.32,1,20.045570053628903878583473861720067,0, 
02/05/2010 07:41:13,,,0.98,0.00,8.32,1,20.045570053628903878583473861720067,0, 
02/05/2010 07:41:15,,,0.98,0.00,8.32,1,20.045570053628903878583473861720067,0, 
02/05/2010 07:41:16,,,0.98,0.00,8.32,1,20.045570053628903878583473861720067,0, 
02/05/2010 07:41:17,,,0.98,0.00,8.32,1,19.945255374662087542087542087542088,0, 
02/05/2010 07:41:18,,,0.98,0.00,8.32,1,19.945255374662087542087542087542088,0, 
02/05/2010 07:41:19,,,0.98,0.00,8.32,1,19.945255374662087542087542087542088,0, 
02/05/2010 07:41:20,,,0.98,0.00,8.00,1,19.945255374662087542087542087542088,0, 
02/05/2010 07:41:21,,,0.98,0.00,8.00,1,19.945255374662087542087542087542088,0, 
02/05/2010 07:41:22,,,0.98,0.00,8.00,3,19.844794420331932773109243697478992,0, 
02/05/2010 07:41:23,,,0.98,0.00,8.00,2,19.844794420331932773109243697478992,0, 
02/05/2010 07:41:24,,,0.98,0.00,8.00,2,19.844794420331932773109243697478992,0, 
02/05/2010 07:41:25,,,0.98,0.00,8.00,2,19.844794420331932773109243697478992,0, 
02/05/2010 07:41:26,,,0.98,0.00,8.00,1,19.844794420331932773109243697478992,0, 
02/05/2010 07:41:27,,,0.98,0.00,7.68,1,19.844794420331932773109243697478992,0, 
02/05/2010 07:41:28,,,0.98,0.00,7.68,2,19.744187114371006711409395973154362,0, 
02/05/2010 07:41:29,,,0.98,0.00,7.68,2,19.744187114371006711409395973154362,0, 
02/05/2010 07:41:30,,,0.98,0.00,7.68,1,19.744187114371006711409395973154362,0, 
02/05/2010 07:41:31,,,0.98,0.00,7.68,1,19.744187114371006711409395973154362,0, 
02/05/2010 07:41:33,,,0.98,0.00,7.68,1,19.744187114371006711409395973154362,0, 
02/05/2010 07:41:34,,,0.98,0.00,7.68,2,19.643433381022881072026800670016750,0, 
02/05/2010 07:41:35,,,0.98,0.00,7.68,2,19.643433381022881072026800670016750,0, 
02/05/2010 07:41:36,,,0.98,0.00,7.68,2,19.643433381022881072026800670016750,0, 
02/05/2010 07:41:37,,,0.98,0.00,7.68,2,19.643433381022881072026800670016750,0, 
02/05/2010 07:41:38,,,0.98,0.00,7.68,2,19.643433381022881072026800670016750,0, 
02/05/2010 07:41:39,,,0.98,0.00,7.35,2,19.542533145037859531772575250836120,0, 
02/05/2010 07:41:40,,,0.98,0.00,7.35,1,19.542533145037859531772575250836120,0, 
02/05/2010 07:41:41,,,0.98,0.00,7.35,2,19.542533145037859531772575250836120,0, 
02/05/2010 07:41:42,,,0.98,0.00,7.35,2,19.542533145037859531772575250836120,0, 
02/05/2010 07:41:43,,,0.98,0.00,7.35,2,19.542533145037859531772575250836120,0, 
02/05/2010 07:41:44,,,0.98,0.00,7.35,1,19.542533145037859531772575250836120,0, 
02/05/2010 07:41:45,,,0.98,0.00,7.35,2,19.441486331668747913188647746243740,0, 
02/05/2010 07:41:46,,,0.98,0.00,7.35,1,19.441486331668747913188647746243740,0, 
02/05/2010 07:41:47,,,0.98,0.00,7.35,2,19.441486331668747913188647746243740,0, 
02/05/2010 07:41:48,,,0.98,0.00,7.35,1,19.441486331668747913188647746243740,0, 
02/05/2010 07:41:49,,,0.98,0.00,7.03,1,19.340292866666666666666666666666667,0, 
