time,cricket temp
0,33.50485
1,34.17955
2,34.7418
3,35.30405
4,35.4165
5,35.52895
6,35.6414
7,36.20365
8,36.5410
9,36.5410
10,36.87835
11,37.2157
12,37.32815
13,37.4406
14,37.4406
15,37.4406
16,37.55305
17,37.55305
18,37.55305
19,37.55305
20,37.55305
21,37.55305
22,37.4406
23,37.4406
24,37.4406
25,37.4406
26,37.4406
27,37.4406
28,37.4406
29,37.4406
30,37.4406
31,37.4406
32,37.4406
33,37.4406
34,37.4406
35,37.4406
36,37.4406
37,37.4406
38,37.4406
39,37.4406
40,37.4406
41,37.4406
42,37.32815
43,37.32815
44,37.32815
45,37.32815
46,37.32815
47,37.32815
48,37.32815
49,37.2157
50,37.2157
51,37.2157
52,37.2157
53,37.2157
54,37.2157
55,37.2157
56,37.10325
57,37.10325
58,37.10325
59,37.10325
60,37.10325
61,37.10325
62,37.10325
63,37.10325
64,36.9908
65,36.9908
66,36.9908
67,36.9908
68,36.9908
69,36.9908
70,36.9908
71,36.9908
72,36.87835
73,36.87835
74,36.87835
75,36.87835
76,36.87835
77,36.87835
78,36.87835
79,36.7659
80,36.7659
81,36.7659
82,36.7659
83,36.7659
84,36.7659
85,36.65345
86,36.65345
87,36.65345
88,36.65345
89,36.65345
90,36.65345
91,36.5410
92,36.5410
93,36.5410
94,36.5410
95,36.5410
96,36.5410
97,36.5410
98,36.42855
99,36.42855
100,36.42855
101,36.42855
102,36.42855
103,36.42855
104,36.42855
105,36.3161
106,36.3161
107,36.3161
108,36.3161
109,36.3161
110,36.3161
111,36.20365
112,36.20365
113,36.20365
114,36.20365
115,36.20365
116,36.20365
117,36.20365
118,36.20365
119,36.0912
120,36.0912
121,36.0912
122,36.0912
123,36.0912
124,36.0912
125,36.0912
126,36.0912
127,36.0912
128,35.97875
129,35.97875
130,35.97875
131,35.97875
132,35.97875
133,35.97875
134,35.97875
135,35.97875
136,35.8663
137,35.8663
138,35.8663
139,35.8663
140,35.8663
141,35.8663
142,35.8663
143,35.75385
144,35.75385
145,35.75385
146,35.75385
147,35.75385
148,35.75385
149,35.75385
150,35.75385
151,35.6414
152,35.6414
153,35.6414
154,35.6414
155,35.6414
156,35.6414
157,35.6414
158,35.6414
159,35.6414
160,35.52895
161,35.52895
162,35.52895
163,35.52895
164,35.52895
165,35.52895
166,35.52895
167,35.52895
168,35.4165
169,35.4165
170,35.4165
171,35.4165
172,35.4165
173,35.4165
174,35.4165
175,35.30405
176,35.30405
177,35.30405
178,35.30405
179,35.30405
180,35.30405
181,35.30405
182,35.30405
183,35.30405
184,35.1916
185,35.1916
186,35.1916
187,35.1916
188,35.1916
189,35.1916
190,35.1916
