time,temperature,temperature probe
07/21/2010 11:17:38,34.10,20.145738534015135135135135135135135
07/21/2010 11:17:49,34.42,20.245760893123214890016920473773266
07/21/2010 11:18:00,34.75,20.445367559339524617996604414261460
07/21/2010 11:18:10,34.75,20.544952023690884353741496598639456
07/21/2010 11:18:21,35.07,20.644390681259386712095400340715503
07/21/2010 11:18:32,35.39,20.743683612012832764505119453924915
07/21/2010 11:18:43,35.71,20.842830896465811965811965811965812
07/21/2010 11:18:54,35.71,21.040688851290806174957118353344768
07/21/2010 11:19:05,36.04,21.040688851290806174957118353344768
07/21/2010 11:19:16,35.71,21.237965200965955249569707401032702
07/21/2010 11:19:27,35.39,21.336385481103448275862068965517241
07/21/2010 11:19:38,35.39,21.336385481103448275862068965517241
07/21/2010 11:19:49,35.07,21.532790671459930795847750865051903
07/21/2010 11:20:00,34.75,21.532790671459930795847750865051903
07/21/2010 11:20:10,34.42,21.728615934697777777777777777777778
07/21/2010 11:20:21,34.42,21.826311308152173913043478260869565
07/21/2010 11:20:32,34.10,21.826311308152173913043478260869565
07/21/2010 11:20:43,34.10,22.021267972982792321116928446771379
07/21/2010 11:20:54,34.42,22.118529439881398601398601398601399
07/21/2010 11:21:05,35.07,22.215646447808441330998248686514886
07/21/2010 11:21:15,35.39,22.312619086070175438596491228070175
07/21/2010 11:21:26,35.71,22.409447444600667838312829525483304
07/21/2010 11:21:37,35.71,22.506131613967323943661971830985915
07/21/2010 11:21:48,36.04,22.699067750679010600706713780918728
07/21/2010 11:21:59,36.36,22.795319902376106194690265486725664
07/21/2010 11:22:10,36.04,22.891428233624964539007092198581560
07/21/2010 11:22:21,36.04,22.987392838244653641207815275310835
07/21/2010 11:22:31,36.04,23.083213810721992882562277580071174
07/21/2010 11:22:42,36.04,23.178891246217504456327985739750446
07/21/2010 11:22:53,36.36,23.274425240571428571428571428571429
07/21/2010 11:23:04,36.36,23.369815890309803220035778175313059
07/21/2010 11:23:15,37.00,23.369815890309803220035778175313059
07/21/2010 11:23:26,37.00,23.465063292650609318996415770609319
07/21/2010 11:23:37,37.32,23.465063292650609318996415770609319
07/21/2010 11:23:48,37.32,23.560167545509982046678635547576302
07/21/2010 11:23:59,37.65,23.749946997977477477477477477477477
07/21/2010 11:24:09,37.97,23.939155045244737793851717902350814
07/21/2010 11:24:20,37.97,23.939155045244737793851717902350814
07/21/2010 11:24:31,38.29,24.033545044317681159420289855072464
07/21/2010 11:24:42,38.29,24.033545044317681159420289855072464
07/21/2010 11:24:53,38.61,24.221897504545454545454545454545455
07/21/2010 11:25:04,38.61,24.221897504545454545454545454545455
07/21/2010 11:25:15,38.94,24.409680604526715328467153284671533
07/21/2010 11:25:25,38.94,24.409680604526715328467153284671533
07/21/2010 11:25:36,38.29,24.969622194843099630996309963099631
07/21/2010 11:25:47,38.29,25.155136368296296296296296296296296
07/21/2010 11:25:58,38.29,25.340085502152862453531598513011152
07/21/2010 11:26:09,38.94,25.616451732724299065420560747663551
07/21/2010 11:26:19,38.61,25.616451732724299065420560747663551
07/21/2010 11:26:30,38.61,25.616451732724299065420560747663551
07/21/2010 11:26:40,38.61,25.616451732724299065420560747663551
07/21/2010 11:26:51,38.94,25.891551764155187969924812030075188
07/21/2010 11:27:02,38.61,26.074249906301886792452830188679245
07/21/2010 11:27:13,38.61,26.165388771885406427221172022684310
07/21/2010 11:27:24,38.61,26.347246698054762808349146110056926
07/21/2010 11:27:35,38.94,26.437966003798326996197718631178707
07/21/2010 11:27:46,38.94,26.618985920515419847328244274809160
07/21/2010 11:27:56,38.61,26.618985920515419847328244274809160
07/21/2010 11:28:07,38.29,26.709286782298546845124282982791587
07/21/2010 11:28:18,38.29,26.799448415172720306513409961685824
07/21/2010 11:28:29,38.29,26.979354506461538461538461538461538
07/21/2010 11:28:40,38.61,27.069099223477418111753371868978805
07/21/2010 11:28:51,38.61,27.337501632667286821705426356589147
07/21/2010 11:29:02,38.61,27.604659229502417153996101364522417
07/21/2010 11:29:12,38.61,27.693435768855
07/21/2010 11:29:23,38.94,27.958939341513123772102161100196464
07/21/2010 11:29:34,38.94,27.958939341513123772102161100196464
07/21/2010 11:29:45,38.29,27.870575685137254901960784313725490
07/21/2010 11:29:56,37.65,27.958939341513123772102161100196464
07/21/2010 11:30:07,37.00,28.047165651509921259842519685039370
07/21/2010 11:30:18,36.36,30.630838512803012552301255230125523
07/21/2010 11:30:29,35.71,30.123781256412561983471074380165289
07/21/2010 11:30:39,35.07,29.868453860791088295687885010266940
07/21/2010 11:30:50,35.07,29.783077089725901639344262295081967
07/21/2010 11:31:01,35.39,29.868453860791088295687885010266940
07/21/2010 11:31:12,35.71,30.123781256412561983471074380165289
07/21/2010 11:31:23,36.04,30.293332140494937759336099585062241
07/21/2010 11:31:34,35.71,30.293332140494937759336099585062241
07/21/2010 11:31:45,35.71,30.714883776515429769392033542976939
07/21/2010 11:31:56,35.71,31.049745011977040169133192389006342
07/21/2010 11:32:06,35.71,31.216386363763524416135881104033970
07/21/2010 11:32:17,35.71,31.382503577167974413646055437100213
07/21/2010 11:32:28,35.71,31.548098214120899357601713062098501
07/21/2010 11:32:39,36.04,31.630700061863347639484978540772532
07/21/2010 11:32:50,36.36,31.795513821699310344827586206896552
07/21/2010 11:33:01,36.68,31.877726141334211663066954643628510
07/21/2010 11:33:12,36.68,31.877726141334211663066954643628510
07/21/2010 11:33:22,37.00,31.959809028748398268398268398268398
07/21/2010 11:33:33,37.00,32.041762692151887201735357917570499
07/21/2010 11:33:44,36.68,32.041762692151887201735357917570499
