Temperature,Time
23.0,09/21/2010 11:26:56
23.0,09/21/2010 11:26:57
23.0,09/21/2010 11:26:58
23.0,09/21/2010 11:26:59
23.0,09/21/2010 11:27:00
23.0,09/21/2010 11:27:01
23.0,09/21/2010 11:27:02
23.0,09/21/2010 11:27:03
23.0,09/21/2010 11:27:04
23.0,09/21/2010 11:27:05
23.0,09/21/2010 11:27:06
23.0,09/21/2010 11:27:07
23.0,09/21/2010 11:27:08
23.0,09/21/2010 11:27:09
23.0,09/21/2010 11:27:10
23.0,09/21/2010 11:27:11
23.0,09/21/2010 11:27:12
23.0,09/21/2010 11:27:14
23.0,09/21/2010 11:27:15
23.0,09/21/2010 11:27:16
23.0,09/21/2010 11:27:17
23.0,09/21/2010 11:27:18
23.0,09/21/2010 11:27:19
23.0,09/21/2010 11:27:20
23.0,09/21/2010 11:27:21
