Temperature,Time
10/28/2006 19:59:49,24.76
10/28/2006 19:59:51,24.76
10/28/2006 19:59:52,24.76
10/28/2006 19:59:53,24.76
10/28/2006 19:59:54,24.76
10/28/2006 19:59:55,24.76
10/28/2006 19:59:56,24.76
10/28/2006 19:59:57,24.76
10/28/2006 19:59:58,24.76
10/28/2006 19:59:59,24.76
10/28/2006 20:00:00,24.76
10/28/2006 20:00:01,24.76
10/28/2006 20:00:02,24.76
10/28/2006 20:00:04,24.76
10/28/2006 20:00:05,24.76
10/28/2006 20:00:06,24.76
10/28/2006 20:00:07,24.76
10/28/2006 20:00:08,24.76
10/28/2006 20:00:09,25.08
10/28/2006 20:00:10,24.76
10/28/2006 20:00:11,24.76
10/28/2006 20:00:12,25.08
10/28/2006 20:00:13,24.76
10/28/2006 20:00:14,24.76
10/28/2006 20:00:15,25.08
