time,light,pedometer
"11/7/2009 11:01:12",80.49,0
"11/7/2009 11:01:13",78.46,0
"11/7/2009 11:01:14",80.49,0
"11/7/2009 11:01:16",86.57,0
"11/7/2009 11:01:17",80.49,0
"11/7/2009 11:01:18",74.40,0
"11/7/2009 11:01:19",66.25,0
"11/7/2009 11:01:20",82.52,0
"11/7/2009 11:01:21",53.97,0
"11/7/2009 11:01:22",49.86,0
"11/7/2009 11:01:23",98.68,0
"11/7/2009 11:01:24",128.66,0
"11/7/2009 11:01:25",8.38,1
"11/7/2009 11:01:26",4.19,0
"11/7/2009 11:01:27",4.19,1
"11/7/2009 11:01:28",72.36,0
"11/7/2009 11:01:29",116.72,0
"11/7/2009 11:01:31",58.07,0
"11/7/2009 11:01:32",90.61,1
"11/7/2009 11:01:33",108.72,0
"11/7/2009 11:01:34",265.11,0
"11/7/2009 11:01:35",60.11,1
"11/7/2009 11:01:36",0.00,1
"11/7/2009 11:01:37",0.00,3
"11/7/2009 11:01:38",29.21,2
"11/7/2009 11:01:39",166.07,2
"11/7/2009 11:01:40",33.35,0
"11/7/2009 11:01:41",2.10,0
"11/7/2009 11:01:42",82.52,2
"11/7/2009 11:01:43",74.40,1
"11/7/2009 11:01:44",60.11,2
"11/7/2009 11:01:46",218.10,3
"11/7/2009 11:01:47",88.59,2
"11/7/2009 11:01:48",10.47,2
"11/7/2009 11:01:49",168.02,2
"11/7/2009 11:01:50",74.40,0
"11/7/2009 11:01:51",0.00,0
"11/7/2009 11:01:52",0.00,0
"11/7/2009 11:01:53",20.90,0
"11/7/2009 11:01:54",116.72,2
"11/7/2009 11:01:55",47.80,0
"11/7/2009 11:01:56",27.13,0
"11/7/2009 11:01:57",128.66,2
"11/7/2009 11:01:58",142.52,0
"11/7/2009 11:01:59",12.56,1
"11/7/2009 11:02:00",2.10,1
"11/7/2009 11:02:02",16.73,0
"11/7/2009 11:02:03",86.57,0
"11/7/2009 11:02:04",122.70,0
"11/7/2009 11:02:05",2.10,0
"11/7/2009 11:02:06",4.19,1
"11/7/2009 11:02:07",16.73,0
"11/7/2009 11:02:08",60.11,0
"11/7/2009 11:02:09",58.07,0
"11/7/2009 11:02:10",287.27,0
"11/7/2009 11:02:11",212.38,1
"11/7/2009 11:02:12",96.66,0
"11/7/2009 11:02:13",6.29,0
"11/7/2009 11:02:14",0.00,0
"11/7/2009 11:02:15",0.00,0
"11/7/2009 11:02:17",10.47,0
"11/7/2009 11:02:18",22.98,0
"11/7/2009 11:02:19",66.25,1
"11/7/2009 11:02:20",146.46,0
"11/7/2009 11:02:21",323.63,0
"11/7/2009 11:02:22",58.07,0
"11/7/2009 11:02:23",116.72,1
"11/7/2009 11:02:24",12.56,2
"11/7/2009 11:02:25",2.10,2
"11/7/2009 11:02:26",27.13,0
"11/7/2009 11:02:27",265.11,0
"11/7/2009 11:02:28",16.73,0
"11/7/2009 11:02:29",2.10,2
"11/7/2009 11:02:30",120.71,3
"11/7/2009 11:02:32",197.06,1
"11/7/2009 11:02:33",14.65,1
"11/7/2009 11:02:34",6.29,2
"11/7/2009 11:02:35",70.33,2
"11/7/2009 11:02:36",169.97,2
"11/7/2009 11:02:37",2.10,1
"11/7/2009 11:02:38",0.00,1
"11/7/2009 11:02:39",27.13,2
"11/7/2009 11:02:40",272.52,2
"11/7/2009 11:02:41",14.65,0
"11/7/2009 11:02:42",82.52,0
"11/7/2009 11:02:43",200.90,0
"11/7/2009 11:02:44",98.68,0
"11/7/2009 11:02:45",90.61,0
"11/7/2009 11:02:46",221.90,0
"11/7/2009 11:02:48",240.80,0
"11/7/2009 11:02:49",25.06,0
"11/7/2009 11:02:50",96.66,0
"11/7/2009 11:02:51",18.82,1
"11/7/2009 11:02:52",16.73,2
"11/7/2009 11:02:53",181.62,2
"11/7/2009 11:02:54",35.42,2
"11/7/2009 11:02:55",0.00,2
"11/7/2009 11:02:56",0.00,3
"11/7/2009 11:02:57",86.57,2
"11/7/2009 11:02:58",218.10,2
"11/7/2009 11:02:59",10.47,2
"11/7/2009 11:03:00",22.98,1
"11/7/2009 11:03:01",140.55,2
"11/7/2009 11:03:02",198.98,0
"11/7/2009 11:03:04",0.00,1
"11/7/2009 11:03:05",2.10,1
"11/7/2009 11:03:06",39.56,2
"11/7/2009 11:03:07",289.10,1
"11/7/2009 11:03:08",237.04,0
"11/7/2009 11:03:09",193.21,0
"11/7/2009 11:03:10",150.40,0
"11/7/2009 11:03:11",156.29,0
"11/7/2009 11:03:12",164.11,0
"11/7/2009 11:03:13",166.07,0
"11/7/2009 11:03:14",136.59,0
