time,light,pedometer
"11/7/2009 12:19:11",22.98,0
"11/7/2009 12:19:12",20.90,0
"11/7/2009 12:19:13",31.28,0
"11/7/2009 12:19:14",41.62,1
"11/7/2009 12:19:15",392.47,0
"11/7/2009 12:19:16",126.68,0
"11/7/2009 12:19:17",2.10,0
"11/7/2009 12:19:18",74.40,0
"11/7/2009 12:19:19",268.82,0
"11/7/2009 12:19:21",6.29,0
"11/7/2009 12:19:22",6.29,0
"11/7/2009 12:19:23",252.06,0
"11/7/2009 12:19:24",104.71,0
"11/7/2009 12:19:25",25.06,1
"11/7/2009 12:19:26",112.72,0
"11/7/2009 12:19:27",325.43,0
"11/7/2009 12:19:28",4.19,0
"11/7/2009 12:19:29",0.00,0
"11/7/2009 12:19:30",74.40,0
"11/7/2009 12:19:31",285.43,0
"11/7/2009 12:19:32",16.73,0
"11/7/2009 12:19:33",31.28,0
"11/7/2009 12:19:34",68.29,0
"11/7/2009 12:19:36",74.40,0
"11/7/2009 12:19:37",122.70,0
"11/7/2009 12:19:38",6.29,0
"11/7/2009 12:19:39",231.37,0
"11/7/2009 12:19:40",56.02,0
"11/7/2009 12:19:41",0.00,0
"11/7/2009 12:19:42",4.19,0
"11/7/2009 12:19:43",237.04,0
"11/7/2009 12:19:44",66.25,0
"11/7/2009 12:19:45",31.28,0
"11/7/2009 12:19:46",122.70,0
"11/7/2009 12:19:47",177.74,0
"11/7/2009 12:19:48",2.10,0
"11/7/2009 12:19:49",4.19,0
"11/7/2009 12:19:50",189.35,0
"11/7/2009 12:19:52",49.86,0
"11/7/2009 12:19:53",0.00,0
"11/7/2009 12:19:54",14.65,0
"11/7/2009 12:19:55",78.46,0
"11/7/2009 12:19:56",80.49,0
"11/7/2009 12:19:57",343.33,0
"11/7/2009 12:19:58",156.29,0
"11/7/2009 12:19:59",66.25,0
"11/7/2009 12:20:00",4.19,0
"11/7/2009 12:20:01",6.29,0
"11/7/2009 12:20:02",12.56,0
"11/7/2009 12:20:03",214.29,0
"11/7/2009 12:20:04",187.42,0
"11/7/2009 12:20:05",92.63,0
"11/7/2009 12:20:07",27.13,0
"11/7/2009 12:20:08",2.10,0
"11/7/2009 12:20:09",62.16,0
"11/7/2009 12:20:10",248.31,0
"11/7/2009 12:20:11",8.38,0
"11/7/2009 12:20:12",6.29,0
"11/7/2009 12:20:13",146.46,0
"11/7/2009 12:20:14",47.80,0
"11/7/2009 12:20:15",4.19,0
"11/7/2009 12:20:16",47.80,0
"11/7/2009 12:20:17",130.65,0
"11/7/2009 12:20:18",58.07,0
"11/7/2009 12:20:19",0.00,0
"11/7/2009 12:20:20",2.10,0
"11/7/2009 12:20:22",150.40,0
"11/7/2009 12:20:23",100.69,0
"11/7/2009 12:20:24",6.29,0
"11/7/2009 12:20:25",27.13,0
"11/7/2009 12:20:26",31.28,0
"11/7/2009 12:20:27",31.28,0
"11/7/2009 12:20:28",20.90,0
"11/7/2009 12:20:29",14.65,0
"11/7/2009 12:20:30",191.28,0
"11/7/2009 12:20:31",35.42,0
"11/7/2009 12:20:32",0.00,0
"11/7/2009 12:20:33",4.19,0
"11/7/2009 12:20:34",160.20,0
"11/7/2009 12:20:35",120.71,0
"11/7/2009 12:20:37",10.47,0
"11/7/2009 12:20:38",12.56,0
"11/7/2009 12:20:39",181.62,0
"11/7/2009 12:20:40",112.72,0
"11/7/2009 12:20:41",0.00,0
"11/7/2009 12:20:42",6.29,0
"11/7/2009 12:20:43",175.80,0
"11/7/2009 12:20:44",82.52,0
"11/7/2009 12:20:45",20.90,0
"11/7/2009 12:20:46",4.19,0
"11/7/2009 12:20:47",4.19,0
