time,light,pedometer
"11/7/2009 11:01:23",120.71,0
"11/7/2009 11:01:24",183.56,1
"11/7/2009 11:01:25",140.55,0
"11/7/2009 11:01:26",33.35,0
"11/7/2009 11:01:27",4.19,0
"11/7/2009 11:01:28",22.98,0
"11/7/2009 11:01:29",118.71,0
"11/7/2009 11:01:30",208.56,0
"11/7/2009 11:01:31",92.63,0
"11/7/2009 11:01:32",2.10,0
"11/7/2009 11:01:34",18.82,0
"11/7/2009 11:01:35",175.80,0
"11/7/2009 11:01:36",162.16,1
"11/7/2009 11:01:37",12.56,1
"11/7/2009 11:01:38",29.21,0
"11/7/2009 11:01:39",189.35,0
"11/7/2009 11:01:40",171.91,0
"11/7/2009 11:01:41",2.10,0
"11/7/2009 11:01:42",0.00,0
"11/7/2009 11:01:43",10.47,0
"11/7/2009 11:01:44",86.57,0
"11/7/2009 11:01:45",244.56,0
"11/7/2009 11:01:46",168.02,0
"11/7/2009 11:01:47",20.90,0
"11/7/2009 11:01:48",10.47,0
"11/7/2009 11:01:50",22.98,1
"11/7/2009 11:01:51",27.13,0
"11/7/2009 11:01:52",31.28,0
"11/7/2009 11:01:53",33.35,0
"11/7/2009 11:01:54",12.56,0
"11/7/2009 11:01:55",124.69,0
"11/7/2009 11:01:56",233.26,0
"11/7/2009 11:01:57",18.82,1
"11/7/2009 11:01:58",0.00,2
"11/7/2009 11:01:59",27.13,1
"11/7/2009 11:02:00",158.25,0
"11/7/2009 11:02:01",49.86,0
"11/7/2009 11:02:02",4.19,1
"11/7/2009 11:02:03",31.28,0
"11/7/2009 11:02:04",146.46,0
"11/7/2009 11:02:06",66.25,0
"11/7/2009 11:02:07",2.10,0
"11/7/2009 11:02:08",39.56,0
"11/7/2009 11:02:09",175.80,0
"11/7/2009 11:02:10",16.73,0
"11/7/2009 11:02:11",2.10,1
"11/7/2009 11:02:12",16.73,1
"11/7/2009 11:02:13",84.55,1
"11/7/2009 11:02:14",78.46,1
"11/7/2009 11:02:15",116.72,0
"11/7/2009 11:02:16",303.72,0
"11/7/2009 11:02:17",168.02,0
"11/7/2009 11:02:18",27.13,0
"11/7/2009 11:02:19",20.90,0
"11/7/2009 11:02:20",10.47,0
"11/7/2009 11:02:21",10.47,0
"11/7/2009 11:02:23",12.56,0
"11/7/2009 11:02:24",86.57,0
"11/7/2009 11:02:25",285.43,0
"11/7/2009 11:02:26",259.52,0
"11/7/2009 11:02:27",68.29,0
"11/7/2009 11:02:28",86.57,0
"11/7/2009 11:02:29",0.00,1
"11/7/2009 11:02:30",4.19,0
"11/7/2009 11:02:31",49.86,0
"11/7/2009 11:02:32",187.42,0
"11/7/2009 11:02:33",22.98,0
"11/7/2009 11:02:34",2.10,0
"11/7/2009 11:02:35",33.35,0
"11/7/2009 11:02:36",187.42,0
"11/7/2009 11:02:37",110.72,2
"11/7/2009 11:02:39",74.40,1
"11/7/2009 11:02:40",41.62,0
"11/7/2009 11:02:41",197.06,0
"11/7/2009 11:02:42",45.74,0
"11/7/2009 11:02:43",0.00,0
"11/7/2009 11:02:44",6.29,0
"11/7/2009 11:02:45",110.72,0
"11/7/2009 11:02:46",168.02,2
"11/7/2009 11:02:47",4.19,1
"11/7/2009 11:02:48",86.57,2
"11/7/2009 11:02:49",169.97,0
"11/7/2009 11:02:50",70.33,1
"11/7/2009 11:02:51",142.52,0
"11/7/2009 11:02:52",66.25,1
"11/7/2009 11:02:53",96.66,0
"11/7/2009 11:02:55",181.62,2
"11/7/2009 11:02:56",2.10,1
"11/7/2009 11:02:57",0.00,2
"11/7/2009 11:02:58",35.42,1
"11/7/2009 11:02:59",253.93,0
"11/7/2009 11:03:00",114.72,1
"11/7/2009 11:03:01",31.28,1
"11/7/2009 11:03:02",76.43,1
"11/7/2009 11:03:03",223.80,1
"11/7/2009 11:03:04",47.80,2
"11/7/2009 11:03:05",0.00,0
"11/7/2009 11:03:06",22.98,0
"11/7/2009 11:03:07",150.40,0
"11/7/2009 11:03:08",244.56,0
"11/7/2009 11:03:10",187.42,0
"11/7/2009 11:03:11",200.90,0
"11/7/2009 11:03:12",210.47,0
"11/7/2009 11:03:13",210.47,0
