time,temp
"Jun 24 2009 12:53:28",0.76
"Jun 24 2009 12:53:29",0.76
"Jun 24 2009 12:53:31",0.76
"Jun 24 2009 12:53:32",0.76
"Jun 24 2009 12:53:33",0.76
"Jun 24 2009 12:53:34",0.76
"Jun 24 2009 12:53:35",0.76
"Jun 24 2009 12:53:36",0.76
"Jun 24 2009 12:53:37",0.76
"Jun 24 2009 12:53:38",0.76
"Jun 24 2009 12:53:39",0.76
"Jun 24 2009 12:53:40",0.76
"Jun 24 2009 12:53:41",0.76
"Jun 24 2009 12:53:42",0.76
"Jun 24 2009 12:53:43",0.76
"Jun 24 2009 12:53:44",0.76
"Jun 24 2009 12:53:46",0.76
"Jun 24 2009 12:53:47",0.76
"Jun 24 2009 12:53:48",0.76
"Jun 24 2009 12:53:49",0.76
"Jun 24 2009 12:53:50",0.76
"Jun 24 2009 12:53:51",0.76
"Jun 24 2009 12:53:52",0.76
"Jun 24 2009 12:53:53",0.76
"Jun 24 2009 12:53:54",0.76
"Jun 24 2009 12:53:55",0.76
"Jun 24 2009 12:53:56",0.76
"Jun 24 2009 12:53:57",0.76
"Jun 24 2009 12:53:58",0.76
"Jun 24 2009 12:53:59",0.76
"Jun 24 2009 12:54:1",0.76
"Jun 24 2009 12:54:2",0.76
"Jun 24 2009 12:54:3",0.76
"Jun 24 2009 12:54:4",0.76
"Jun 24 2009 12:54:5",0.76
"Jun 24 2009 12:54:6",0.76
"Jun 24 2009 12:54:7",0.76
"Jun 24 2009 12:54:8",0.76
"Jun 24 2009 12:54:9",0.76
"Jun 24 2009 12:54:10",0.76
"Jun 24 2009 12:54:11",0.76
"Jun 24 2009 12:54:12",0.76
"Jun 24 2009 12:54:13",0.76
"Jun 24 2009 12:54:14",0.76
"Jun 24 2009 12:54:16",0.76
"Jun 24 2009 12:54:17",0.76
"Jun 24 2009 12:54:18",0.76
"Jun 24 2009 12:54:19",0.76
"Jun 24 2009 12:54:20",0.76
"Jun 24 2009 12:54:21",0.76
"Jun 24 2009 12:54:22",0.76
"Jun 24 2009 12:54:23",0.76
"Jun 24 2009 12:54:24",0.76
"Jun 24 2009 12:54:25",0.76
"Jun 24 2009 12:54:26",0.76
"Jun 24 2009 12:54:27",0.76
"Jun 24 2009 12:54:28",0.76
"Jun 24 2009 12:54:29",0.76
"Jun 24 2009 12:54:31",0.76
"Jun 24 2009 12:54:32",0.76
"Jun 24 2009 12:54:33",0.76
"Jun 24 2009 12:54:34",0.76
"Jun 24 2009 12:54:35",0.76
"Jun 24 2009 12:54:36",0.76
"Jun 24 2009 12:54:37",0.76
"Jun 24 2009 12:54:38",0.76
"Jun 24 2009 12:54:39",0.76
"Jun 24 2009 12:54:40",0.76
"Jun 24 2009 12:54:41",0.76
"Jun 24 2009 12:54:42",0.76
"Jun 24 2009 12:54:43",0.76
"Jun 24 2009 12:54:44",0.76
"Jun 24 2009 12:54:45",0.76
"Jun 24 2009 12:54:47",0.76
"Jun 24 2009 12:54:48",0.76
"Jun 24 2009 12:54:49",0.76
"Jun 24 2009 12:54:50",0.76
"Jun 24 2009 12:54:51",0.76
"Jun 24 2009 12:54:52",0.76
"Jun 24 2009 12:54:53",0.76
"Jun 24 2009 12:54:54",0.76
"Jun 24 2009 12:54:55",0.76
