time,latitude,longitude,accel,light,temp,sound,external
"5/24/2008 20:56:59.0",,,1.05,1039.05,-56.13,0,0
"5/24/2008 21:0:1.0",,,1.05,1039.87,-56.13,0,0
"5/24/2008 21:0:26.0",,,1.05,1047.12,-56.13,0,0
"5/24/2008 21:0:26.0",,,1.05,1044.72,-56.13,0,0
"5/24/2008 21:0:28.0",,,1.05,1047.12,-56.13,0,0
"5/24/2008 21:0:29.0",,,1.05,1045.52,-55.81,0,0
"5/24/2008 21:0:31.0",,,1.05,1047.12,-55.81,0,0
"5/24/2008 21:0:32.0",,,1.05,1045.52,-55.81,0,0
"5/24/2008 21:0:34.0",,,1.05,1046.32,-55.81,0,0
"5/24/2008 21:0:35.0",,,1.05,1045.52,-56.13,0,0
"5/24/2008 21:0:37.0",,,1.05,1045.52,-55.81,0,0
"5/24/2008 21:4:13.0",,,1.05,1056.56,-55.49,0,0
"5/24/2008 21:4:15.0",,,1.05,1056.56,-55.49,0,0
"5/24/2008 21:4:16.0",,,1.05,1056.56,-55.49,0,0
"5/24/2008 21:4:18.0",,,1.05,1055.79,-55.49,0,0
"5/24/2008 21:4:19.0",,,1.02,1055.79,-55.49,0,0
"5/24/2008 21:4:20.0",,,1.05,1055.79,-55.49,0,0
"5/24/2008 21:4:22.0",,,1.05,1056.56,-55.17,0,0
