time,lat,lon,acc,light,temp,sound,ext
"Jul 6 2009 20:00:00",0.0,0.0,0.94,37.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,37.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,37.00,28.60,2.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,34.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,36.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,36.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,34.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,34.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,35.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,38.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,37.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,38.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,38.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,37.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,38.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,34.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,34.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,29.00,28.60,1.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,34.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,31.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,32.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,31.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,32.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,32.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,32.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,32.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,32.00,28.60,2.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,32.00,28.60,3.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,32.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,32.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,32.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,32.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,32.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,32.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,32.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,32.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,32.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,32.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,31.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.98,31.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,37.00,28.60,1.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,37.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,37.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,37.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,37.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,37.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,37.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,36.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,37.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,37.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,37.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,38.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,37.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,37.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,37.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,35.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,31.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,27.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,30.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,34.00,28.60,0.00,-30.93
"Jul 6 2009 20:00:00",0.0,0.0,0.94,36.00,28.60,0.00,-30.93
