time,latitude,longitude,acceleration,"count type",pedometer
"10/28/2006 19:01:00",,,0.86,95,61
"10/28/2006 19:02:06",,,0.82,138,92
"10/28/2006 19:03:12",,,0.94,145,41
"10/28/2006 19:03:12",,,0.94,99,5
"10/28/2006 19:00:56",,,0.98,128,0
"10/28/2006 19:02:02",,,1.09,125,9
"10/28/2006 19:03:07",,,0.86,146,0
"10/28/2006 19:04:13",,,1.17,146,0
"10/28/2006 19:05:19",,,3.05,161,0
"10/28/2006 19:06:25",,,1.05,146,0
"10/28/2006 19:07:30",,,1.25,148,0
"10/28/2006 19:08:36",,,1.05,147,0
