time,light,temperature,temperature probe
09/09/2010 08:16:06,806.31,20.24,13.48875
09/09/2010 08:16:07,806.31,20.24,13.3763
09/09/2010 08:16:08,807.54,20.24,13.48875
09/09/2010 08:16:09,807.54,20.24,13.48875
09/09/2010 08:16:10,807.54,20.24,13.6012
09/09/2010 08:16:11,808.76,20.24,13.6012
09/09/2010 08:16:12,808.76,20.24,13.71365
09/09/2010 08:16:13,809.98,20.24,13.71365
09/09/2010 08:16:14,809.98,20.24,13.6012
09/09/2010 08:16:15,809.98,20.24,13.6012
09/09/2010 08:16:16,809.98,20.24,13.48875
09/09/2010 08:16:17,811.20,20.24,13.48875
09/09/2010 08:16:18,811.20,20.24,13.48875
09/09/2010 08:16:19,812.42,20.57,13.48875
09/09/2010 08:16:20,812.42,20.24,13.6012
09/09/2010 08:16:21,812.42,20.24,13.6012
09/09/2010 08:16:23,813.64,20.57,13.71365
09/09/2010 08:16:24,813.64,20.57,13.71365
09/09/2010 08:16:25,813.64,20.57,13.8261
09/09/2010 08:16:26,814.85,20.57,13.71365
09/09/2010 08:16:27,814.85,20.57,13.71365
09/09/2010 08:16:28,816.06,20.57,13.6012
09/09/2010 08:16:29,816.06,20.57,13.71365
09/09/2010 08:16:30,817.27,20.57,13.71365
09/09/2010 08:16:31,817.27,20.89,13.6012
09/09/2010 08:16:32,818.48,20.89,13.6012
09/09/2010 08:16:33,818.48,20.89,13.71365
09/09/2010 08:16:33,819.69,20.89,13.71365
09/09/2010 08:16:35,819.69,20.89,13.71365
09/09/2010 08:16:36,819.69,20.89,13.71365
09/09/2010 08:16:38,819.69,20.89,13.71365
09/09/2010 08:16:39,819.69,21.21,13.71365
09/09/2010 08:16:40,819.69,21.21,13.8261
09/09/2010 08:16:41,820.89,21.21,13.8261
09/09/2010 08:16:42,820.89,21.21,13.8261
09/09/2010 08:16:43,819.69,21.21,13.93855
09/09/2010 08:16:44,819.69,21.21,14.0510
09/09/2010 08:16:45,819.69,21.21,14.16345
09/09/2010 08:16:46,819.69,21.53,14.2759
09/09/2010 08:16:47,818.48,21.53,14.2759
09/09/2010 08:16:47,818.48,21.53,14.38835
09/09/2010 08:16:49,818.48,21.53,14.5008
09/09/2010 08:16:50,817.27,21.53,14.61325
09/09/2010 08:16:52,817.27,21.53,14.61325
09/09/2010 08:16:53,817.27,21.53,14.7257
09/09/2010 08:16:54,816.06,21.53,14.7257
09/09/2010 08:16:55,816.06,21.53,14.83815
09/09/2010 08:16:56,816.06,21.53,14.83815
09/09/2010 08:16:57,816.06,21.53,14.83815
09/09/2010 08:16:58,816.06,21.53,14.9506
09/09/2010 08:16:59,814.85,21.53,14.9506
09/09/2010 08:17:00,814.85,21.53,15.06305
09/09/2010 08:17:01,814.85,21.53,15.06305
09/09/2010 08:17:02,814.85,21.53,15.1755
09/09/2010 08:17:03,813.64,21.53,15.1755
09/09/2010 08:17:04,813.64,21.53,15.1755
09/09/2010 08:17:05,813.64,21.53,15.28795
09/09/2010 08:17:07,812.42,21.53,15.28795
09/09/2010 08:17:08,812.42,21.53,15.28795
09/09/2010 08:17:09,812.42,21.53,15.28795
09/09/2010 08:17:10,811.20,21.53,15.28795
09/09/2010 08:17:11,811.20,21.53,15.4004
09/09/2010 08:17:12,811.20,21.53,15.4004
09/09/2010 08:17:13,811.20,21.53,15.4004
09/09/2010 08:17:14,809.98,21.53,15.4004
09/09/2010 08:17:15,809.98,21.53,15.4004
09/09/2010 08:17:16,809.98,21.53,15.51285
09/09/2010 08:17:17,809.98,21.53,15.51285
09/09/2010 08:17:18,808.76,21.53,15.51285
09/09/2010 08:17:20,808.76,21.53,15.51285
09/09/2010 08:17:21,808.76,21.53,15.51285
09/09/2010 08:17:22,808.76,21.53,15.51285
09/09/2010 08:17:23,807.54,21.53,15.51285
09/09/2010 08:17:24,807.54,21.53,15.51285
09/09/2010 08:17:25,807.54,21.53,15.51285
09/09/2010 08:17:26,807.54,21.53,15.51285
09/09/2010 08:17:27,806.31,21.21,15.51285
09/09/2010 08:17:28,806.31,21.21,15.51285
09/09/2010 08:17:29,806.31,21.21,15.51285
09/09/2010 08:17:30,806.31,21.21,15.51285
09/09/2010 08:17:31,806.31,21.21,15.51285
09/09/2010 08:17:32,806.31,21.21,15.51285
09/09/2010 08:17:33,806.31,21.21,15.6253
09/09/2010 08:17:35,806.31,21.21,15.51285
09/09/2010 08:17:36,806.31,21.21,15.51285
09/09/2010 08:17:37,805.09,21.21,15.51285
09/09/2010 08:17:38,805.09,21.21,15.51285
09/09/2010 08:17:39,805.09,21.21,15.51285
09/09/2010 08:17:40,805.09,21.21,15.51285
09/09/2010 08:17:41,805.09,21.21,15.6253
09/09/2010 08:17:42,805.09,21.21,15.6253
09/09/2010 08:17:43,805.09,21.21,15.6253
09/09/2010 08:17:44,805.09,21.21,15.6253
09/09/2010 08:17:45,805.09,21.21,15.6253
09/09/2010 08:17:46,805.09,21.21,15.6253
09/09/2010 08:17:47,805.09,21.21,15.51285
09/09/2010 08:17:49,805.09,21.21,15.51285
09/09/2010 08:17:50,805.09,21.21,15.4004
09/09/2010 08:17:51,805.09,21.21,15.28795
09/09/2010 08:17:52,805.09,21.21,15.1755
09/09/2010 08:17:53,805.09,21.21,15.1755
09/09/2010 08:17:54,805.09,21.21,15.1755
09/09/2010 08:17:55,805.09,21.21,15.06305
09/09/2010 08:17:56,805.09,21.21,15.06305
09/09/2010 08:17:57,805.09,21.21,15.1755
09/09/2010 08:17:58,805.09,21.21,15.1755
09/09/2010 08:17:59,805.09,21.21,15.1755
09/09/2010 08:18:00,805.09,20.89,15.28795
09/09/2010 08:18:01,805.09,21.21,15.28795
09/09/2010 08:18:02,805.09,21.21,15.28795
09/09/2010 08:18:04,805.09,20.89,15.28795
09/09/2010 08:18:05,805.09,20.89,15.28795
09/09/2010 08:18:06,805.09,20.89,15.28795
09/09/2010 08:18:07,805.09,21.21,15.28795
09/09/2010 08:18:08,805.09,20.89,15.06305
09/09/2010 08:18:09,805.09,20.89,15.06305
09/09/2010 08:18:10,805.09,20.89,15.1755
09/09/2010 08:18:11,805.09,20.89,15.1755
09/09/2010 08:18:12,805.09,20.89,15.28795
09/09/2010 08:18:13,805.09,20.89,15.28795
09/09/2010 08:18:14,805.09,20.89,15.4004
09/09/2010 08:18:15,805.09,20.89,15.4004
09/09/2010 08:18:16,805.09,20.89,15.4004
09/09/2010 08:18:17,805.09,20.89,15.4004
09/09/2010 08:18:19,806.31,20.89,15.28795
09/09/2010 08:18:20,806.31,20.89,15.28795
09/09/2010 08:18:21,806.31,20.89,15.28795
09/09/2010 08:18:22,806.31,20.89,15.28795
09/09/2010 08:18:23,806.31,20.89,15.28795
09/09/2010 08:18:24,806.31,20.89,15.28795
09/09/2010 08:18:25,806.31,20.89,15.28795
09/09/2010 08:18:26,806.31,20.89,15.1755
09/09/2010 08:18:27,806.31,20.89,15.28795
09/09/2010 08:18:27,806.31,20.89,15.28795
09/09/2010 08:18:29,806.31,20.89,15.28795
09/09/2010 08:18:30,806.31,20.89,15.28795
09/09/2010 08:18:31,807.54,20.89,15.28795
09/09/2010 08:18:33,807.54,20.89,15.4004
09/09/2010 08:18:34,807.54,20.89,15.4004
09/09/2010 08:18:35,807.54,20.89,15.28795
09/09/2010 08:18:36,808.76,20.57,15.1755
09/09/2010 08:18:37,808.76,20.89,15.1755
09/09/2010 08:18:38,809.98,20.89,15.1755
09/09/2010 08:18:39,809.98,20.89,15.28795
09/09/2010 08:18:40,811.20,20.89,15.28795
09/09/2010 08:18:41,812.42,20.89,15.4004
09/09/2010 08:18:42,813.64,20.89,15.4004
09/09/2010 08:18:43,813.64,20.89,15.4004
09/09/2010 08:18:44,814.85,20.89,15.51285
09/09/2010 08:18:45,814.85,20.89,15.6253
09/09/2010 08:18:47,816.06,20.89,15.6253
09/09/2010 08:18:48,817.27,20.89,15.6253
09/09/2010 08:18:49,817.27,20.89,15.51285
09/09/2010 08:18:50,818.48,20.89,15.6253
09/09/2010 08:18:51,818.48,20.89,15.6253
09/09/2010 08:18:52,819.69,20.89,15.6253
09/09/2010 08:18:53,820.89,20.89,15.51285
09/09/2010 08:18:54,820.89,21.21,15.4004
09/09/2010 08:18:55,822.10,21.21,15.4004
09/09/2010 08:18:56,822.10,21.21,15.4004
09/09/2010 08:18:57,822.10,21.21,15.28795
09/09/2010 08:18:58,823.30,21.21,15.1755
09/09/2010 08:19:00,823.30,21.21,15.1755
09/09/2010 08:19:00,823.30,21.21,15.1755
09/09/2010 08:19:02,824.50,21.53,15.06305
09/09/2010 08:19:03,824.50,21.53,15.06305
09/09/2010 08:19:04,824.50,21.53,15.06305
09/09/2010 08:19:05,824.50,21.53,15.1755
