time,light,temperature,sound,temperature probe
1277728560,6.29,30.88,0,29.354178380584056795131845841784990
1277728620,4.19,30.56,0,28.311021933767326732673267326732673
1277728680,2.10,30.23,0,27.782074541007866927592954990215264
1277728740,0.00,30.23,0,27.604659229502417153996101364522417
1277728800,0.00,29.91,0,27.426692297898058252427184466019417
1277728860,0.00,29.59,0,27.426692297898058252427184466019417
1277728920,0.00,29.27,0,27.248172654258143133462282398452611
1277728980,0.00,28.95,0,27.248172654258143133462282398452611
1277729040,0.00,28.95,0,27.248172654258143133462282398452611
1277729100,0.00,28.62,0,27.248172654258143133462282398452611
1277729160,0.00,28.30,0,27.248172654258143133462282398452611
1277729220,0.00,28.30,0,27.158705228805868725868725868725869
1277729280,0.00,27.98,0,27.158705228805868725868725868725869
1277729340,0.00,27.98,0,27.158705228805868725868725868725869
1277729400,0.00,27.66,0,27.158705228805868725868725868725869
1277729460,0.00,27.66,0,27.069099223477418111753371868978805
1277729520,0.00,27.33,0,27.069099223477418111753371868978805
1277729580,0.00,27.33,0,26.979354506461538461538461538461538
1277729640,0.00,27.33,0,26.979354506461538461538461538461538
1277729700,2.10,27.01,0,26.979354506461538461538461538461538
1277729760,0.00,27.01,0,26.889470946958963531669865642994242
1277729820,0.00,27.01,0,26.889470946958963531669865642994242
1277729880,0.00,27.01,0,26.799448415172720306513409961685824
1277729940,0.00,26.69,0,26.709286782298546845124282982791587
1277730000,0.00,26.69,0,26.799448415172720306513409961685824
1277730060,0.00,26.69,0,26.799448415172720306513409961685824
1277730120,0.00,26.69,0,26.799448415172720306513409961685824
1277730180,0.00,26.37,0,26.709286782298546845124282982791587
1277730240,0.00,26.37,0,26.709286782298546845124282982791587
1277730300,0.00,26.37,0,26.709286782298546845124282982791587
1277730360,0.00,26.37,0,26.618985920515419847328244274809160
1277730420,0.00,26.37,0,26.528545702976190476190476190476190
1277730480,0.00,26.04,0,26.528545702976190476190476190476190
1277730540,0.00,26.04,0,26.528545702976190476190476190476190
1277730600,0.00,26.04,0,26.437966003798326996197718631178707
1277730660,0.00,26.04,0,26.437966003798326996197718631178707
1277730720,0.00,26.04,0,26.437966003798326996197718631178707
1277730780,0.00,26.04,0,26.347246698054762808349146110056926
1277730840,0.00,25.72,0,26.528545702976190476190476190476190
1277730900,0.00,25.72,0,26.347246698054762808349146110056926
1277730960,0.00,25.72,0,26.347246698054762808349146110056926
1277731020,0.00,25.72,0,26.256387661764848484848484848484848
1277731080,0.00,25.40,0,26.256387661764848484848484848484848
1277731140,0.00,25.40,0,26.256387661764848484848484848484848
1277731200,0.00,25.40,0,26.256387661764848484848484848484848
1277731260,0.00,25.40,0,26.256387661764848484848484848484848
1277731320,0.00,25.40,0,26.165388771885406427221172022684310
1277731380,0.00,25.40,0,26.165388771885406427221172022684310
1277731440,0.00,25.40,0,26.074249906301886792452830188679245
1277731500,0.00,25.08,0,26.165388771885406427221172022684310
1277731560,0.00,25.40,0,26.074249906301886792452830188679245
1277731620,0.00,25.08,0,26.074249906301886792452830188679245
1277731680,0.00,25.08,0,26.074249906301886792452830188679245
1277731740,0.00,25.08,0,26.074249906301886792452830188679245
1277731800,0.00,25.08,0,25.982970943819623352165725047080979
1277731860,0.00,25.08,0,25.982970943819623352165725047080979
1277731920,0.00,25.08,0,25.982970943819623352165725047080979
1277731980,0.00,25.08,0,25.891551764155187969924812030075188
1277732040,0.00,24.76,0,25.891551764155187969924812030075188
1277732100,0.00,24.76,0,25.799992247927842401500938086303940
1277732160,0.00,24.76,0,25.799992247927842401500938086303940
1277732220,0.00,24.76,0,25.708292276651086142322097378277154
1277732280,0.00,24.76,0,25.708292276651086142322097378277154
1277732340,0.00,24.76,0,25.708292276651086142322097378277154
1277732400,0.00,24.76,0,25.708292276651086142322097378277154
1277732460,0.00,24.76,0,25.616451732724299065420560747663551
1277732520,0.00,24.76,0,25.708292276651086142322097378277154
1277732580,0.00,24.43,0,25.616451732724299065420560747663551
1277732640,0.00,24.43,0,25.524470499424477611940298507462687
1277732700,0.00,24.43,0,25.616451732724299065420560747663551
1277732760,0.00,24.43,0,25.616451732724299065420560747663551
1277732820,0.00,24.43,0,25.708292276651086142322097378277154
1277732880,0.00,24.43,0,25.708292276651086142322097378277154
1277732940,0.00,24.43,0,25.616451732724299065420560747663551
1277733000,0.00,24.43,0,25.708292276651086142322097378277154
1277733060,0.00,24.43,0,25.616451732724299065420560747663551
1277733120,0.00,24.43,0,25.616451732724299065420560747663551
1277733180,0.00,24.43,0,25.616451732724299065420560747663551
1277733240,0.00,24.43,0,25.524470499424477611940298507462687
1277733300,0.00,24.43,0,25.616451732724299065420560747663551
1277733360,0.00,24.11,0,25.524470499424477611940298507462687
