time,light
04/12/2010 09:03:07,255.79
04/12/2010 09:03:08,185.49
04/12/2010 09:03:09,175.80
04/12/2010 09:03:10,218.10
04/12/2010 09:03:11,128.66
04/12/2010 09:03:12,110.72
04/12/2010 09:03:13,266.96
04/12/2010 09:03:15,197.06
04/12/2010 09:03:16,250.19
04/12/2010 09:03:17,158.25
04/12/2010 09:03:18,116.72
04/12/2010 09:03:19,463.54
04/12/2010 09:03:20,496.27
04/12/2010 09:03:21,382.06
04/12/2010 09:03:22,460.23
04/12/2010 09:03:23,520.35
04/12/2010 09:03:24,395.93
04/12/2010 09:03:25,423.32
04/12/2010 09:03:27,428.41
04/12/2010 09:03:28,136.59
04/12/2010 09:03:29,0.00
04/12/2010 09:03:30,0.00
04/12/2010 09:03:31,0.00
04/12/2010 09:03:32,0.00
04/12/2010 09:03:33,0.00
04/12/2010 09:03:34,4.19
04/12/2010 09:03:35,80.49
04/12/2010 09:03:36,204.73
04/12/2010 09:03:37,266.96
04/12/2010 09:03:38,183.56
04/12/2010 09:03:40,142.52
04/12/2010 09:03:41,68.29
04/12/2010 09:03:42,58.07
04/12/2010 09:03:43,76.43
04/12/2010 09:03:44,86.57
04/12/2010 09:03:45,466.85
04/12/2010 09:03:46,292.77
04/12/2010 09:03:47,132.63
04/12/2010 09:03:48,49.86
04/12/2010 09:03:49,86.57
04/12/2010 09:03:50,146.46
04/12/2010 09:03:52,233.26
04/12/2010 09:03:53,252.06
04/12/2010 09:03:54,80.49
04/12/2010 09:03:55,4.19
04/12/2010 09:03:56,0.00
04/12/2010 09:03:57,0.00
04/12/2010 09:03:58,2.10
04/12/2010 09:03:59,0.00
04/12/2010 09:04:00,0.00
04/12/2010 09:04:01,4.19
04/12/2010 09:04:02,12.56
04/12/2010 09:04:03,27.13
04/12/2010 09:04:05,27.13
04/12/2010 09:04:06,41.62
04/12/2010 09:04:07,142.52
04/12/2010 09:04:08,401.10
04/12/2010 09:04:09,387.27
04/12/2010 09:04:10,259.52
04/12/2010 09:04:11,114.72
04/12/2010 09:04:12,31.28
04/12/2010 09:04:13,12.56
04/12/2010 09:04:14,10.47
04/12/2010 09:04:15,6.29
04/12/2010 09:04:17,0.00
04/12/2010 09:04:18,0.00
04/12/2010 09:04:19,0.00
04/12/2010 09:04:20,0.00
04/12/2010 09:04:21,0.00
04/12/2010 09:04:22,0.00
04/12/2010 09:04:23,0.00
04/12/2010 09:04:24,0.00
04/12/2010 09:04:25,0.00
04/12/2010 09:04:26,0.00
04/12/2010 09:04:27,0.00
04/12/2010 09:04:28,0.00
04/12/2010 09:04:30,0.00
04/12/2010 09:04:31,0.00
04/12/2010 09:04:32,0.00
04/12/2010 09:04:33,0.00
04/12/2010 09:04:34,0.00
04/12/2010 09:04:35,6.29
04/12/2010 09:04:36,4.19
04/12/2010 09:04:37,8.38
04/12/2010 09:04:38,10.47
04/12/2010 09:04:39,0.00
04/12/2010 09:04:40,0.00
04/12/2010 09:04:41,0.00
04/12/2010 09:04:43,0.00
04/12/2010 09:04:44,0.00
04/12/2010 09:04:45,2.10
04/12/2010 09:04:46,0.00
04/12/2010 09:04:47,4.19
04/12/2010 09:04:48,8.38
04/12/2010 09:04:49,2.10
04/12/2010 09:04:50,2.10
04/12/2010 09:04:51,2.10
04/12/2010 09:04:52,2.10
04/12/2010 09:04:53,2.10
04/12/2010 09:04:55,2.10
04/12/2010 09:04:56,2.10
04/12/2010 09:04:57,2.10
04/12/2010 09:04:58,4.19
04/12/2010 09:04:59,0.00
04/12/2010 09:05:00,0.00
04/12/2010 09:05:01,2.10
04/12/2010 09:05:02,0.00
04/12/2010 09:05:03,2.10
04/12/2010 09:05:04,0.00
04/12/2010 09:05:05,22.98
04/12/2010 09:05:06,76.43
04/12/2010 09:05:08,66.25
04/12/2010 09:05:09,142.52
04/12/2010 09:05:10,309.17
04/12/2010 09:05:11,238.92
04/12/2010 09:05:12,132.63
04/12/2010 09:05:13,104.71
04/12/2010 09:05:14,156.29
04/12/2010 09:05:15,303.72
04/12/2010 09:05:16,573.41
04/12/2010 09:05:17,709.30
04/12/2010 09:05:18,446.91
04/12/2010 09:05:19,191.28
04/12/2010 09:05:21,74.40
04/12/2010 09:05:22,56.02
04/12/2010 09:05:23,58.07
04/12/2010 09:05:24,64.20
04/12/2010 09:05:25,49.86
04/12/2010 09:05:26,92.63
04/12/2010 09:05:27,418.22
04/12/2010 09:05:28,633.18
04/12/2010 09:05:29,357.51
04/12/2010 09:05:30,345.11
04/12/2010 09:05:31,550.26
04/12/2010 09:05:33,677.52
04/12/2010 09:05:34,647.67
04/12/2010 09:05:35,510.77
04/12/2010 09:05:36,505.95
04/12/2010 09:05:37,707.94
04/12/2010 09:05:38,710.66
04/12/2010 09:05:39,685.90
04/12/2010 09:05:40,673.31
04/12/2010 09:05:41,646.23
