time,light
04/12/2010 09:03:05,193.21
04/12/2010 09:03:07,169.97
04/12/2010 09:03:08,204.73
04/12/2010 09:03:09,334.40
04/12/2010 09:03:10,513.97
04/12/2010 09:03:11,759.72
04/12/2010 09:03:12,290.94
04/12/2010 09:03:13,96.66
04/12/2010 09:03:14,112.72
04/12/2010 09:03:15,166.07
04/12/2010 09:03:16,268.82
04/12/2010 09:03:17,214.29
04/12/2010 09:03:18,248.31
04/12/2010 09:03:20,375.08
04/12/2010 09:03:21,499.51
04/12/2010 09:03:22,509.16
04/12/2010 09:03:23,189.35
04/12/2010 09:03:24,134.61
04/12/2010 09:03:25,346.88
04/12/2010 09:03:26,661.99
04/12/2010 09:03:27,240.80
04/12/2010 09:03:28,86.57
04/12/2010 09:03:29,114.72
04/12/2010 09:03:30,859.66
04/12/2010 09:03:32,1047.12
04/12/2010 09:03:33,850.44
04/12/2010 09:03:34,255.79
04/12/2010 09:03:35,100.69
04/12/2010 09:03:36,375.08
04/12/2010 09:03:37,838.76
04/12/2010 09:03:38,421.62
04/12/2010 09:03:39,80.49
04/12/2010 09:03:40,100.69
04/12/2010 09:03:41,90.61
04/12/2010 09:03:42,72.36
04/12/2010 09:03:44,53.97
04/12/2010 09:03:45,142.52
04/12/2010 09:03:46,872.15
04/12/2010 09:03:47,307.36
04/12/2010 09:03:48,72.36
04/12/2010 09:03:49,323.63
04/12/2010 09:03:50,775.10
04/12/2010 09:03:51,88.59
04/12/2010 09:03:52,588.63
04/12/2010 09:03:53,298.25
04/12/2010 09:03:54,82.52
04/12/2010 09:03:55,657.71
04/12/2010 09:03:57,458.57
04/12/2010 09:03:58,96.66
04/12/2010 09:03:59,777.64
04/12/2010 09:04:00,869.89
04/12/2010 09:04:01,70.33
04/12/2010 09:04:02,528.28
04/12/2010 09:04:03,886.62
04/12/2010 09:04:04,74.40
04/12/2010 09:04:05,112.72
04/12/2010 09:04:06,895.38
04/12/2010 09:04:07,441.89
04/12/2010 09:04:09,455.25
04/12/2010 09:04:10,908.30
04/12/2010 09:04:11,88.59
04/12/2010 09:04:12,318.22
04/12/2010 09:04:13,772.55
04/12/2010 09:04:14,74.40
04/12/2010 09:04:15,106.71
04/12/2010 09:04:16,818.48
04/12/2010 09:04:17,252.06
04/12/2010 09:04:18,383.80
04/12/2010 09:04:19,832.85
04/12/2010 09:04:20,74.40
04/12/2010 09:04:22,220.00
04/12/2010 09:04:23,778.90
04/12/2010 09:04:24,195.13
04/12/2010 09:04:25,68.29
04/12/2010 09:04:26,102.70
04/12/2010 09:04:27,106.71
04/12/2010 09:04:28,611.11
04/12/2010 09:04:29,788.97
04/12/2010 09:04:30,433.47
04/12/2010 09:04:31,484.90
04/12/2010 09:04:32,509.16
04/12/2010 09:04:34,528.28
04/12/2010 09:04:35,710.66
04/12/2010 09:04:36,786.47
04/12/2010 09:04:37,770.00
04/12/2010 09:04:38,829.28
04/12/2010 09:04:39,685.90
04/12/2010 09:04:40,491.41
04/12/2010 09:04:41,438.53
04/12/2010 09:04:42,341.55
04/12/2010 09:04:43,323.63
04/12/2010 09:04:44,221.90
04/12/2010 09:04:45,76.43
04/12/2010 09:04:47,86.57
04/12/2010 09:04:48,448.58
04/12/2010 09:04:49,551.81
04/12/2010 09:04:50,118.71
04/12/2010 09:04:51,750.63
04/12/2010 09:04:52,576.47
04/12/2010 09:04:53,404.54
04/12/2010 09:04:54,853.91
04/12/2010 09:04:55,60.11
04/12/2010 09:04:56,208.56
04/12/2010 09:04:57,967.09
04/12/2010 09:04:59,171.91
04/12/2010 09:05:00,373.33
04/12/2010 09:05:01,922.00
04/12/2010 09:05:02,148.43
04/12/2010 09:05:03,887.72
04/12/2010 09:05:04,231.37
04/12/2010 09:05:05,51.91
04/12/2010 09:05:06,737.48
04/12/2010 09:05:07,818.48
04/12/2010 09:05:08,78.46
04/12/2010 09:05:09,710.66
04/12/2010 09:05:11,945.50
04/12/2010 09:05:12,90.61
04/12/2010 09:05:13,371.58
04/12/2010 09:05:14,1045.52
04/12/2010 09:05:15,114.72
04/12/2010 09:05:16,173.86
04/12/2010 09:05:17,1040.68
04/12/2010 09:05:18,88.59
04/12/2010 09:05:19,764.87
04/12/2010 09:05:20,750.63
04/12/2010 09:05:21,53.97
04/12/2010 09:05:23,102.70
04/12/2010 09:05:24,1044.72
04/12/2010 09:05:25,283.59
04/12/2010 09:05:26,56.02
04/12/2010 09:05:27,138.57
04/12/2010 09:05:28,132.63
04/12/2010 09:05:29,303.72
04/12/2010 09:05:30,183.56
04/12/2010 09:05:31,198.98
04/12/2010 09:05:32,279.91
04/12/2010 09:05:33,156.29
04/12/2010 09:05:34,688.68
04/12/2010 09:05:36,674.71
04/12/2010 09:05:37,156.29
04/12/2010 09:05:38,220.00
04/12/2010 09:05:39,173.86
04/12/2010 09:05:40,244.56
04/12/2010 09:05:41,252.06
04/12/2010 09:05:42,168.02
04/12/2010 09:05:43,64.20
04/12/2010 09:05:44,175.80
