time,light
"2009-9-29 10:29:32.0",2.10
"2009-9-29 10:29:33.0",2.10
"2009-9-29 10:29:34.0",2.10
"2009-9-29 10:29:35.0",2.10
"2009-9-29 10:29:36.0",2.10
"2009-9-29 10:29:38.0",2.10
"2009-9-29 10:29:39.0",2.10
"2009-9-29 10:29:40.0",4.19
"2009-9-29 10:29:41.0",6.29
"2009-9-29 10:29:42.0",16.73
"2009-9-29 10:29:43.0",51.91
"2009-9-29 10:29:44.0",156.29
"2009-9-29 10:29:45.0",407.97
"2009-9-29 10:29:46.0",480.00
"2009-9-29 10:29:47.0",448.58
"2009-9-29 10:29:48.0",197.06
"2009-9-29 10:29:49.0",114.72
"2009-9-29 10:29:50.0",154.33
"2009-9-29 10:29:52.0",37.49
"2009-9-29 10:29:53.0",6.29
"2009-9-29 10:29:54.0",8.38
"2009-9-29 10:29:55.0",193.21
"2009-9-29 10:29:56.0",409.68
"2009-9-29 10:29:57.0",465.20
"2009-9-29 10:29:58.0",436.84
"2009-9-29 10:29:59.0",450.25
"2009-9-29 10:30:00.0",195.13
"2009-9-29 10:30:01.0",18.82
"2009-9-29 10:30:02.0",12.56
"2009-9-29 10:30:03.0",124.69
"2009-9-29 10:30:04.0",380.32
"2009-9-29 10:30:06.0",301.90
"2009-9-29 10:30:07.0",314.61
"2009-9-29 10:30:08.0",413.10
"2009-9-29 10:30:09.0",385.54
"2009-9-29 10:30:10.0",316.42
"2009-9-29 10:30:11.0",66.25
"2009-9-29 10:30:12.0",33.35
"2009-9-29 10:30:13.0",130.65
"2009-9-29 10:30:14.0",361.04
"2009-9-29 10:30:15.0",252.06
"2009-9-29 10:30:16.0",446.91
"2009-9-29 10:30:17.0",248.31
"2009-9-29 10:30:18.0",18.82
"2009-9-29 10:30:20.0",4.19
"2009-9-29 10:30:21.0",51.91
"2009-9-29 10:30:22.0",325.43
"2009-9-29 10:30:23.0",325.43
"2009-9-29 10:30:24.0",361.04
"2009-9-29 10:30:25.0",334.40
"2009-9-29 10:30:26.0",200.90
"2009-9-29 10:30:27.0",14.65
"2009-9-29 10:30:28.0",31.28
"2009-9-29 10:30:29.0",43.68
"2009-9-29 10:30:30.0",20.90
"2009-9-29 10:30:31.0",29.21
"2009-9-29 10:30:32.0",25.06
"2009-9-29 10:30:33.0",45.74
"2009-9-29 10:30:35.0",359.28
"2009-9-29 10:30:36.0",387.27
"2009-9-29 10:30:37.0",413.10
"2009-9-29 10:30:38.0",221.90
"2009-9-29 10:30:39.0",78.46
"2009-9-29 10:30:40.0",6.29
"2009-9-29 10:30:41.0",8.38
"2009-9-29 10:30:42.0",118.71
"2009-9-29 10:30:43.0",352.21
"2009-9-29 10:30:44.0",507.56
"2009-9-29 10:30:45.0",510.77
"2009-9-29 10:30:46.0",223.80
"2009-9-29 10:30:47.0",74.40
"2009-9-29 10:30:49.0",31.28
"2009-9-29 10:30:50.0",210.47
"2009-9-29 10:30:51.0",419.92
"2009-9-29 10:30:52.0",43.68
"2009-9-29 10:30:53.0",10.47
"2009-9-29 10:30:54.0",200.90
"2009-9-29 10:30:55.0",206.65
"2009-9-29 10:30:56.0",53.97
"2009-9-29 10:30:57.0",10.47
"2009-9-29 10:30:58.0",126.68
"2009-9-29 10:30:59.0",423.32
"2009-9-29 10:31:00.0",76.43
"2009-9-29 10:31:01.0",27.13
"2009-9-29 10:31:03.0",112.72
"2009-9-29 10:31:04.0",488.16
"2009-9-29 10:31:05.0",729.51
"2009-9-29 10:31:06.0",710.66
"2009-9-29 10:31:07.0",710.66
"2009-9-29 10:31:08.0",568.81
"2009-9-29 10:31:09.0",361.04
"2009-9-29 10:31:10.0",45.74
"2009-9-29 10:31:11.0",20.90
"2009-9-29 10:31:12.0",27.13
