time,acceleration,light,temperature,sound,"cricket temperature probe"
"4/7/2000 20:03:42",0.00,814.85,21.21,8,14.2759
"3/30/2128 20:00:00",0.94,816.06,20.89,0,14.2759
"3/30/2128 20:00:00",0.94,820.89,20.89,0,14.16345
"3/30/2128 20:00:00",0.94,820.89,20.89,0,14.0510
"3/30/2128 20:00:00",0.94,822.10,20.89,0,14.0510
"3/30/2128 20:00:00",0.94,811.20,20.89,0,14.0510
"3/30/2128 20:00:00",0.94,296.43,20.89,0,13.93855
"3/30/2128 20:00:00",0.94,307.36,20.57,0,13.93855
"3/30/2128 20:00:00",0.94,669.07,20.57,4,13.93855
"3/30/2128 20:00:00",0.94,470.15,20.57,0,13.8261
"3/30/2128 20:00:00",0.90,290.94,20.57,5,13.8261
"4/7/2000 20:03:42",0.00,814.85,21.21,8,14.2759
"3/30/2128 20:00:00",0.94,816.06,20.89,0,14.2759
"3/30/2128 20:00:00",0.94,820.89,20.89,0,14.16345
"3/30/2128 20:00:00",0.94,820.89,20.89,0,14.0510
"3/30/2128 20:00:00",0.94,822.10,20.89,0,14.0510
"3/30/2128 20:00:00",0.94,811.20,20.89,0,14.0510
"3/30/2128 20:00:00",0.94,296.43,20.89,0,13.93855
"3/30/2128 20:00:00",0.94,307.36,20.57,0,13.93855
"3/30/2128 20:00:00",0.94,669.07,20.57,4,13.93855
"3/30/2128 20:00:00",0.94,470.15,20.57,0,13.8261
"3/30/2128 20:00:00",0.90,290.94,20.57,5,13.8261
"3/29/2000 20:03:52",0.00,822.10,20.24,0,13.03895
"3/30/2128 20:00:00",0.94,822.10,20.24,0,13.03895
"3/30/2128 20:00:00",0.94,822.10,20.24,0,13.03895
"3/30/2128 20:00:00",0.94,822.10,19.92,0,12.9265
"3/30/2128 20:00:00",0.94,822.10,19.92,0,12.9265
"3/30/2128 20:00:00",0.94,822.10,19.92,0,12.81405
"3/30/2128 20:00:00",0.94,822.10,19.92,0,12.81405
"3/30/2128 20:00:00",0.94,822.10,19.92,0,12.7016
"3/30/2128 20:00:00",0.94,819.69,19.92,0,12.7016
"3/30/2128 20:00:00",0.90,337.98,19.92,0,12.7016
"3/30/2128 20:00:00",0.94,285.43,19.60,0,12.7016
"3/29/2000 20:03:52",0.00,822.10,20.24,0,13.03895
"3/30/2128 20:00:00",0.94,822.10,20.24,0,13.03895
"3/30/2128 20:00:00",0.94,822.10,20.24,0,13.03895
"3/30/2128 20:00:00",0.94,822.10,19.92,0,12.9265
"3/30/2128 20:00:00",0.94,822.10,19.92,0,12.9265
"3/30/2128 20:00:00",0.94,822.10,19.92,0,12.81405
"3/30/2128 20:00:00",0.94,822.10,19.92,0,12.81405
"3/30/2128 20:00:00",0.94,822.10,19.92,0,12.7016
