Time,Latitude,Longitude,Acceleration,Light,Temperature,Sound,Temperature Probe,Pedometer,Altitude
02/26/2010 16:14:54,42.365585,-71.10378,1.05,41.62,22.82,0,21.040688851290806174957118353344768,0,30
02/26/2010 16:14:55,42.365616,-71.10374,1.05,60.11,22.82,0,21.040688851290806174957118353344768,0,34
02/26/2010 16:14:56,42.36568,-71.10368,1.05,39.56,22.82,0,21.040688851290806174957118353344768,0,28
02/26/2010 16:14:57,42.36565,-71.10371,1.05,47.80,22.82,0,21.040688851290806174957118353344768,0,28
02/26/2010 16:14:58,42.365616,-71.10371,1.05,72.36,22.82,0,20.941832615684383561643835616438356,0,28
02/26/2010 16:14:59,42.365635,-71.10371,1.05,49.86,22.82,0,20.842830896465811965811965811965812,0,29
02/26/2010 16:15:00,42.365635,-71.10367,1.05,80.49,22.82,0,20.544952023690884353741496598639456,0,27
02/26/2010 16:15:01,42.36565,-71.10365,1.05,88.59,22.82,0,20.445367559339524617996604414261460,0,25
02/26/2010 16:15:02,42.36565,-71.10363,1.05,84.55,22.82,0,20.245760893123214890016920473773266,0,25
02/26/2010 16:15:03,42.36565,-71.103615,1.05,82.52,22.82,0,20.145738534015135135135135135135135,0,26
02/26/2010 16:15:05,42.36565,-71.103615,1.05,120.71,22.82,0,19.945255374662087542087542087542088,0,27
02/26/2010 16:15:06,42.36565,-71.103615,1.05,154.33,22.82,0,19.238952676276905158069883527454243,0,25
02/26/2010 16:15:07,42.36565,-71.103615,1.05,156.29,22.82,0,18.627826231772751235584843492586491,0,25
02/26/2010 16:15:08,42.36565,-71.10363,1.05,150.40,22.82,0,18.217464995255351882160392798690671,0,26
02/26/2010 16:15:09,42.36565,-71.10363,1.05,96.66,22.82,0,17.804743684174796747967479674796748,0,25
02/26/2010 16:15:10,42.36565,-71.10363,1.05,82.52,22.82,0,17.493651299911715210355987055016181,0,24
02/26/2010 16:15:11,42.36565,-71.10363,1.05,120.71,22.82,0,17.285516622193548387096774193548387,0,24
02/26/2010 16:15:12,42.36565,-71.10365,1.05,112.72,22.82,0,16.972203675435216693418940609951846,0,23
02/26/2010 16:15:13,42.36565,-71.10365,1.05,138.57,22.82,0,16.76258701250,0,23
02/26/2010 16:15:14,42.365635,-71.10365,1.05,130.65,22.82,0,16.552376670061977671451355661881978,0,21
02/26/2010 16:15:15,42.365635,-71.10365,1.05,102.70,22.82,0,16.447048713687643312101910828025478,0,21
02/26/2010 16:15:16,42.36565,-71.10365,1.05,100.69,22.82,0,16.341572151817774244833068362480127,0,20
02/26/2010 16:15:17,42.36565,-71.10365,1.05,82.52,22.82,0,16.235946923396825396825396825396825,0,19
02/26/2010 16:15:19,42.36565,-71.10363,1.05,76.43,22.82,0,16.130172967756291600633914421553090,0,19
02/26/2010 16:15:20,,,1.05,76.43,22.82,0,16.130172967756291600633914421553090,0, 
02/26/2010 16:15:21,42.36565,-71.10363,1.05,76.43,22.82,0,16.024250224611645569620253164556962,0,18
02/26/2010 16:15:22,42.365635,-71.10363,1.05,78.46,22.82,0,16.024250224611645569620253164556962,0,18
02/26/2010 16:15:23,42.365635,-71.10363,1.05,68.29,22.82,0,15.918178634059304897314375987361769,0,18
02/26/2010 16:15:24,42.365635,-71.10363,1.05,29.21,22.82,0,15.918178634059304897314375987361769,0,18
02/26/2010 16:15:25,42.365616,-71.10365,1.05,27.13,22.82,0,15.918178634059304897314375987361769,0,19
02/26/2010 16:15:26,42.365616,-71.10365,1.05,27.13,22.82,0,15.811958136573627760252365930599369,0,20
02/26/2010 16:15:27,42.365616,-71.10365,1.05,25.06,22.82,0,15.811958136573627760252365930599369,0,20
02/26/2010 16:15:28,42.365635,-71.10371,1.05,22.98,22.82,0,15.811958136573627760252365930599369,0,22
02/26/2010 16:15:29,42.365635,-71.10371,1.05,41.62,22.82,0,15.811958136573627760252365930599369,0,23
02/26/2010 16:15:30,42.36565,-71.10371,1.05,41.62,22.82,0,15.811958136573627760252365930599369,0,23
