time,lat,lon,acc,light,temp,sound
"Jun 26 2009 13:37:34",0.0,0.0,0.98,75.00,20.29,0.00
"Jun 26 2009 13:37:35",0.0,0.0,0.98,75.00,20.29,0.00
"Jun 26 2009 13:37:36",0.0,0.0,0.82,75.00,20.29,0.00
"Jun 26 2009 13:37:37",0.0,0.0,0.98,75.00,20.29,0.00
"Jun 26 2009 13:37:38",0.0,0.0,0.86,75.00,20.29,0.00
"Jun 26 2009 13:37:39",0.0,0.0,0.82,75.00,20.29,0.00
"Jun 26 2009 13:37:40",0.0,0.0,0.94,75.00,20.29,0.00
"Jun 26 2009 13:37:41",0.0,0.0,0.90,75.00,20.29,0.00
"Jun 26 2009 13:37:42",0.0,0.0,0.86,75.00,20.29,0.00
"Jun 26 2009 13:37:43",0.0,0.0,0.78,75.00,20.29,0.00
"Jun 26 2009 13:37:45",0.0,0.0,1.02,75.00,20.29,0.00
"Jun 26 2009 13:37:46",0.0,0.0,0.90,75.00,20.29,0.00
"Jun 26 2009 13:37:47",0.0,0.0,0.70,75.00,20.29,0.00
"Jun 26 2009 13:37:48",0.0,0.0,0.94,75.00,20.29,0.00
"Jun 26 2009 13:37:49",0.0,0.0,0.86,75.00,20.29,0.00
"Jun 26 2009 13:37:50",0.0,0.0,1.10,75.00,20.29,0.00
"Jun 26 2009 13:37:51",0.0,0.0,0.74,75.00,20.29,0.00
"Jun 26 2009 13:37:52",0.0,0.0,0.86,75.00,20.29,0.00
"Jun 26 2009 13:37:53",0.0,0.0,0.74,76.00,20.29,0.00
"Jun 26 2009 13:37:54",0.0,0.0,0.90,76.00,20.29,0.00
"Jun 26 2009 13:37:55",0.0,0.0,0.98,75.00,20.29,0.00
"Jun 26 2009 13:37:56",0.0,0.0,0.86,75.00,20.29,0.00
"Jun 26 2009 13:37:58",0.0,0.0,1.02,75.00,20.29,0.00
"Jun 26 2009 13:37:59",0.0,0.0,0.90,75.00,20.29,0.00
"Jun 26 2009 13:38:00",0.0,0.0,0.82,75.00,20.29,0.00
"Jun 26 2009 13:38:01",0.0,0.0,1.02,76.00,20.29,0.00
"Jun 26 2009 13:38:02",0.0,0.0,0.86,75.00,20.29,0.00
"Jun 26 2009 13:38:03",0.0,0.0,0.82,75.00,20.29,0.00
"Jun 26 2009 13:38:04",0.0,0.0,0.74,76.00,20.29,0.00
"Jun 26 2009 13:38:05",0.0,0.0,0.94,75.00,20.29,0.00
"Jun 26 2009 13:38:06",0.0,0.0,0.62,75.00,20.29,0.00
"Jun 26 2009 13:38:07",0.0,0.0,0.90,75.00,20.29,0.00
"Jun 26 2009 13:38:08",0.0,0.0,0.98,75.00,20.29,0.00
"Jun 26 2009 13:38:09",0.0,0.0,0.86,75.00,20.29,0.00
"Jun 26 2009 13:38:11",0.0,0.0,0.82,75.00,20.29,0.00
"Jun 26 2009 13:38:12",0.0,0.0,0.78,75.00,20.29,0.00
"Jun 26 2009 13:38:13",0.0,0.0,0.78,75.00,20.29,0.00
"Jun 26 2009 13:38:14",0.0,0.0,0.86,75.00,20.29,0.00
"Jun 26 2009 13:38:15",0.0,0.0,0.86,75.00,20.29,0.00
"Jun 26 2009 13:38:16",0.0,0.0,0.86,75.00,20.29,0.00
"Jun 26 2009 13:38:17",0.0,0.0,0.90,75.00,20.29,0.00
"Jun 26 2009 13:38:18",0.0,0.0,0.58,75.00,20.29,0.00
"Jun 26 2009 13:38:19",0.0,0.0,0.82,75.00,20.29,0.00
"Jun 26 2009 13:38:20",0.0,0.0,0.90,75.00,20.29,0.00
"Jun 26 2009 13:38:21",0.0,0.0,0.86,75.00,20.29,0.00
"Jun 26 2009 13:38:22",0.0,0.0,0.86,75.00,20.29,0.00
"Jun 26 2009 13:38:24",0.0,0.0,0.90,75.00,20.29,0.00
"Jun 26 2009 13:38:25",0.0,0.0,0.82,75.00,20.29,0.00
"Jun 26 2009 13:38:26",0.0,0.0,0.82,75.00,20.29,0.00
"Jun 26 2009 13:38:27",0.0,0.0,0.82,75.00,20.29,0.00
"Jun 26 2009 13:38:28",0.0,0.0,0.82,75.00,20.29,0.00
"Jun 26 2009 13:38:29",0.0,0.0,0.86,75.00,20.29,0.00
"Jun 26 2009 13:38:30",0.0,0.0,0.82,73.00,20.29,0.00
"Jun 26 2009 13:38:31",0.0,0.0,0.78,73.00,20.29,0.00
"Jun 26 2009 13:38:32",0.0,0.0,0.90,73.00,20.29,0.00
"Jun 26 2009 13:38:33",0.0,0.0,0.86,72.00,20.29,0.00
"Jun 26 2009 13:38:34",0.0,0.0,0.86,72.00,20.29,0.00
"Jun 26 2009 13:38:35",0.0,0.0,0.82,75.00,20.29,0.00
"Jun 26 2009 13:38:37",0.0,0.0,0.58,75.00,20.29,0.00
"Jun 26 2009 13:38:38",0.0,0.0,0.78,74.00,20.29,0.00
"Jun 26 2009 13:38:39",0.0,0.0,1.22,75.00,20.29,0.00
"Jun 26 2009 13:38:40",0.0,0.0,0.82,75.00,20.29,0.00
"Jun 26 2009 13:38:41",0.0,0.0,1.02,75.00,20.29,0.00
"Jun 26 2009 13:38:42",0.0,0.0,0.90,75.00,20.29,0.00
"Jun 26 2009 13:38:43",0.0,0.0,0.86,75.00,20.29,0.00
"Jun 26 2009 13:38:44",0.0,0.0,0.86,75.00,20.29,0.00
"Jun 26 2009 13:38:45",0.0,0.0,0.46,75.00,20.29,0.00
"Jun 26 2009 13:38:46",0.0,0.0,2.86,75.00,20.29,0.00
"Jun 26 2009 13:38:47",0.0,0.0,0.66,75.00,20.29,0.00
"Jun 26 2009 13:38:48",0.0,0.0,0.98,75.00,20.29,0.00
"Jun 26 2009 13:38:50",0.0,0.0,0.90,75.00,20.29,0.00
"Jun 26 2009 13:38:51",0.0,0.0,0.90,74.00,20.29,0.00
"Jun 26 2009 13:38:52",0.0,0.0,0.78,74.00,20.29,0.00
"Jun 26 2009 13:38:53",0.0,0.0,0.78,74.00,20.29,0.00
"Jun 26 2009 13:38:54",0.0,0.0,0.82,74.00,20.29,0.00
"Jun 26 2009 13:38:55",0.0,0.0,0.82,74.00,20.29,0.00
"Jun 26 2009 13:38:56",0.0,0.0,0.82,74.00,20.29,0.00
"Jun 26 2009 13:38:57",0.0,0.0,0.78,74.00,20.29,0.00
"Jun 26 2009 13:38:58",0.0,0.0,0.82,75.00,20.29,0.00
"Jun 26 2009 13:38:59",0.0,0.0,0.90,75.00,20.29,0.00
"Jun 26 2009 13:39:00",0.0,0.0,0.82,75.00,20.29,0.00
"Jun 26 2009 13:39:01",0.0,0.0,0.78,75.00,20.29,0.00
"Jun 26 2009 13:39:03",0.0,0.0,0.86,75.00,20.29,0.00
"Jun 26 2009 13:39:04",0.0,0.0,0.86,75.00,20.29,0.00
"Jun 26 2009 13:39:05",0.0,0.0,0.78,75.00,20.29,0.00
"Jun 26 2009 13:39:06",0.0,0.0,0.70,75.00,20.29,0.00
"Jun 26 2009 13:39:07",0.0,0.0,0.94,75.00,20.29,0.00
"Jun 26 2009 13:39:08",0.0,0.0,0.82,75.00,20.29,0.00
"Jun 26 2009 13:39:09",0.0,0.0,1.14,75.00,20.29,0.00
"Jun 26 2009 13:39:10",0.0,0.0,0.74,75.00,20.29,0.00
"Jun 26 2009 13:39:11",0.0,0.0,1.06,75.00,20.29,0.00
"Jun 26 2009 13:39:12",0.0,0.0,0.82,75.00,20.29,0.00
"Jun 26 2009 13:39:13",0.0,0.0,0.78,75.00,20.29,0.00
"Jun 26 2009 13:39:14",0.0,0.0,0.82,76.00,20.29,0.00
"Jun 26 2009 13:39:16",0.0,0.0,0.94,76.00,20.29,0.00
"Jun 26 2009 13:39:17",0.0,0.0,0.86,76.00,20.29,0.00
"Jun 26 2009 13:39:18",0.0,0.0,0.78,76.00,20.29,0.00
"Jun 26 2009 13:39:19",0.0,0.0,0.94,76.00,20.29,0.00
"Jun 26 2009 13:39:20",0.0,0.0,0.90,76.00,20.29,0.00
"Jun 26 2009 13:39:21",0.0,0.0,0.98,76.00,20.29,0.00
"Jun 26 2009 13:39:22",0.0,0.0,0.78,76.00,20.29,0.00
"Jun 26 2009 13:39:23",0.0,0.0,0.78,76.00,20.29,0.00
"Jun 26 2009 13:39:24",0.0,0.0,0.82,76.00,20.29,0.00
"Jun 26 2009 13:39:25",0.0,0.0,0.82,76.00,20.29,0.00
"Jun 26 2009 13:39:26",0.0,0.0,0.82,76.00,20.29,0.00
"Jun 26 2009 13:39:27",0.0,0.0,0.90,76.00,20.29,0.00
"Jun 26 2009 13:39:29",0.0,0.0,0.82,76.00,20.29,0.00
"Jun 26 2009 13:39:30",0.0,0.0,0.90,76.00,20.29,0.00
"Jun 26 2009 13:39:31",0.0,0.0,0.82,76.00,20.29,0.00
"Jun 26 2009 13:39:32",0.0,0.0,0.90,76.00,20.29,0.00
"Jun 26 2009 13:39:33",0.0,0.0,0.86,76.00,20.29,0.00
"Jun 26 2009 13:39:34",0.0,0.0,0.98,76.00,20.29,0.00
"Jun 26 2009 13:39:35",0.0,0.0,0.82,76.00,20.29,0.00
"Jun 26 2009 13:39:36",0.0,0.0,0.74,76.00,20.29,0.00
"Jun 26 2009 13:39:37",0.0,0.0,0.78,76.00,20.29,0.00
"Jun 26 2009 13:39:38",0.0,0.0,0.98,76.00,20.29,0.00
"Jun 26 2009 13:39:39",0.0,0.0,1.10,76.00,20.29,0.00
"Jun 26 2009 13:39:40",0.0,0.0,1.22,76.00,20.29,0.00
"Jun 26 2009 13:39:42",0.0,0.0,0.82,76.00,20.29,0.00
"Jun 26 2009 13:39:43",0.0,0.0,0.70,76.00,21.67,0.00
"Jun 26 2009 13:39:44",0.0,0.0,0.86,76.00,21.67,0.00
"Jun 26 2009 13:39:45",0.0,0.0,0.82,76.00,20.29,0.00
"Jun 26 2009 13:39:46",0.0,0.0,1.14,76.00,20.29,0.00
"Jun 26 2009 13:39:47",0.0,0.0,0.90,76.00,20.29,0.00
"Jun 26 2009 13:39:48",0.0,0.0,0.82,76.00,20.29,0.00
"Jun 26 2009 13:39:49",0.0,0.0,0.74,76.00,20.29,0.00
"Jun 26 2009 13:39:50",0.0,0.0,0.90,76.00,20.29,0.00
"Jun 26 2009 13:39:51",0.0,0.0,0.90,76.00,20.29,0.00
"Jun 26 2009 13:39:52",0.0,0.0,0.82,76.00,20.29,0.00
"Jun 26 2009 13:39:53",0.0,0.0,0.86,76.00,20.29,0.00
"Jun 26 2009 13:39:55",0.0,0.0,1.06,76.00,20.29,0.00
"Jun 26 2009 13:39:56",0.0,0.0,1.06,76.00,21.67,0.00
"Jun 26 2009 13:39:57",0.0,0.0,0.98,76.00,20.29,0.00
"Jun 26 2009 13:39:58",42.503124,-71.24492,1.02,76.00,21.67,0.00
"Jun 26 2009 13:39:59",42.50315,-71.24492,0.90,76.00,21.67,0.00
"Jun 26 2009 13:40:00",42.503216,-71.24489,0.86,76.00,21.67,0.00
"Jun 26 2009 13:40:01",42.50328,-71.24487,0.82,76.00,20.29,0.00
"Jun 26 2009 13:40:02",42.50315,-71.24499,0.90,76.00,21.67,0.00
"Jun 26 2009 13:40:03",42.5031,-71.245026,0.94,76.00,21.67,0.00
"Jun 26 2009 13:40:04",42.503086,-71.24505,0.86,76.00,21.67,0.00
"Jun 26 2009 13:40:05",42.503017,-71.24507,0.86,75.00,21.67,0.00
"Jun 26 2009 13:40:06",42.50301,-71.24509,0.82,75.00,21.67,0.00
"Jun 26 2009 13:40:07",42.502953,-71.24512,0.86,75.00,21.67,0.00
"Jun 26 2009 13:40:08",42.502953,-71.24512,0.82,75.00,21.67,0.00
"Jun 26 2009 13:40:09",42.50301,-71.2451,0.78,75.00,21.67,0.00
"Jun 26 2009 13:40:11",42.503067,-71.24508,0.90,75.00,21.67,0.00
"Jun 26 2009 13:40:12",42.50313,-71.24498,0.86,75.00,21.67,0.00
"Jun 26 2009 13:40:13",42.50311,-71.24505,0.86,75.00,21.67,0.00
"Jun 26 2009 13:40:14",42.503384,-71.24494,0.86,75.00,21.67,0.00
"Jun 26 2009 13:40:15",42.503563,-71.24486,0.86,75.00,21.67,0.00
"Jun 26 2009 13:40:16",42.50328,-71.24499,0.86,75.00,21.67,0.00
"Jun 26 2009 13:40:17",42.503067,-71.24514,0.94,35.00,21.67,0.00
"Jun 26 2009 13:40:18",42.503002,-71.2451,0.78,73.00,21.67,0.00
"Jun 26 2009 13:40:19",42.50314,-71.24504,0.90,1.00,21.67,0.00
"Jun 26 2009 13:40:20",42.503094,-71.24507,0.90,0.00,21.67,0.00
"Jun 26 2009 13:40:21",42.502914,-71.24521,0.90,0.00,21.67,0.00
"Jun 26 2009 13:40:22",42.503117,-71.245125,0.86,0.00,21.67,0.00
"Jun 26 2009 13:40:24",42.502693,-71.24535,0.86,0.00,21.67,0.00
"Jun 26 2009 13:40:25",42.502613,-71.24551,0.86,0.00,21.67,0.00
"Jun 26 2009 13:40:26",42.50252,-71.2454,0.86,0.00,21.67,0.00
"Jun 26 2009 13:40:27",42.502678,-71.24532,0.90,0.00,21.67,0.00
"Jun 26 2009 13:40:28",42.502842,-71.24521,0.86,0.00,21.67,0.00
"Jun 26 2009 13:40:29",42.50298,-71.24515,0.86,0.00,21.67,0.00
"Jun 26 2009 13:40:30",42.50305,-71.245155,0.98,73.00,21.67,0.00
"Jun 26 2009 13:40:31",42.503075,-71.24509,0.70,24.00,21.67,0.00
"Jun 26 2009 13:40:32",42.503117,-71.24508,0.86,74.00,21.67,0.00
"Jun 26 2009 13:40:33",42.50315,-71.245,1.02,74.00,21.67,0.00
"Jun 26 2009 13:40:34",42.50311,-71.245094,0.78,75.00,21.67,0.00
"Jun 26 2009 13:40:35",42.50332,-71.24502,0.90,75.00,21.67,0.00
"Jun 26 2009 13:40:36",42.503376,-71.24496,0.90,75.00,21.67,0.00
"Jun 26 2009 13:40:38",42.503124,-71.24498,0.78,76.00,21.67,0.00
"Jun 26 2009 13:40:39",42.50323,-71.245026,0.94,76.00,21.67,0.00
"Jun 26 2009 13:40:40",42.503468,-71.2448,0.70,76.00,21.67,0.00
"Jun 26 2009 13:40:41",42.50331,-71.24491,0.82,76.00,21.67,0.00
"Jun 26 2009 13:40:42",42.503174,-71.24501,1.14,76.00,21.67,0.00
"Jun 26 2009 13:40:43",42.50311,-71.24503,0.86,75.00,21.67,0.00
"Jun 26 2009 13:40:44",42.50303,-71.245155,0.74,75.00,21.67,0.00
