time,lat,long,accel,light,temp,sound
"Jul 12 2009 18:43:36",34.177326,-118.096725,5.91,74.00,32.75,0.00
"Jul 12 2009 18:44:40",34.177975,-118.096634,6.02,74.00,32.75,0.00
"Jul 12 2009 18:45:45",34.17883,-118.096466,7.14,74.00,34.13,0.00
"Jul 12 2009 18:46:49",34.17961,-118.09652,6.02,74.00,35.52,0.00
"Jul 12 2009 18:47:53",34.1804,-118.09658,7.30,74.00,36.90,13.00
"Jul 12 2009 18:48:57",34.181133,-118.09642,6.06,74.00,36.90,0.00
"Jul 12 2009 18:50:01",34.18179,-118.096466,7.14,73.00,38.29,0.00
"Jul 12 2009 18:51:05",34.182373,-118.09707,6.22,73.00,36.90,22.00
"Jul 12 2009 18:52:10",34.18311,-118.09744,6.22,74.00,36.90,0.00
"Jul 12 2009 18:53:14",34.187717,-118.097916,6.22,74.00,36.90,0.00
"Jul 12 2009 18:54:18",34.1948,-118.0985,5.95,74.00,36.90,0.00
"Jul 12 2009 18:55:22",34.185047,-118.09919,6.10,74.00,36.90,0.00
"Jul 12 2009 18:56:26",34.18538,-118.106674,6.50,74.00,36.90,0.00
"Jul 12 2009 18:57:31",34.185966,-118.106674,5.79,74.00,36.90,0.00
"Jul 12 2009 18:58:35",34.186306,-118.11457,6.26,74.00,36.90,0.00
"Jul 12 2009 18:59:39",34.18689,-118.10208,7.14,74.00,36.90,2.00
"Jul 12 2009 19:00:43",34.18765,-118.1021,6.30,74.00,36.90,0.00
"Jul 12 2009 19:01:47",34.188347,-118.10241,6.02,74.00,36.90,0.00
"Jul 12 2009 19:02:51",34.188965,-118.10304,6.70,74.00,36.90,0.00
"Jul 12 2009 19:03:56",34.189514,-118.10313,6.06,74.00,36.90,0.00
"Jul 12 2009 19:05:00",34.189934,-118.103226,5.87,74.00,36.90,0.00
"Jul 12 2009 19:06:04",34.19075,-118.10353,6.54,74.00,36.90,0.00
"Jul 12 2009 19:07:08",34.19134,-118.103874,6.46,74.00,36.90,0.00
"Jul 12 2009 19:08:12",34.192146,-118.104004,6.86,74.00,36.90,0.00
"Jul 12 2009 19:09:17",34.192707,-118.104004,6.66,74.00,36.90,0.00
"Jul 12 2009 19:10:21",34.193012,-118.10423,6.58,68.00,36.90,0.00
"Jul 12 2009 19:11:25",34.1936,-118.10446,6.14,75.00,36.90,0.00
"Jul 12 2009 19:12:29",34.19379,-118.10467,6.10,48.00,36.90,0.00
"Jul 12 2009 19:13:33",34.19369,-118.10461,6.14,51.00,35.52,0.00
"Jul 12 2009 19:14:38",34.193813,-118.10459,6.14,50.00,34.13,0.00
"Jul 12 2009 19:15:42",34.193764,-118.104576,6.14,70.00,34.13,0.00
"Jul 12 2009 19:16:46",34.19387,-118.10462,6.10,71.00,34.13,0.00
"Jul 12 2009 19:17:50",34.193726,-118.10464,6.14,70.00,34.13,0.00
"Jul 12 2009 19:18:55",34.193733,-118.10467,6.14,63.00,34.13,0.00
"Jul 12 2009 19:19:59",34.19386,-118.10472,6.22,73.00,34.13,10.00
"Jul 12 2009 19:21:03",34.194218,-118.10472,6.10,60.00,34.13,0.00
"Jul 12 2009 19:22:07",34.19436,-118.104164,6.14,72.00,34.13,0.00
"Jul 12 2009 19:23:12",34.1944,-118.1035,5.75,41.00,34.13,0.00
"Jul 12 2009 19:24:16",34.19417,-118.10319,6.18,16.00,32.75,0.00
"Jul 12 2009 19:25:20",34.193977,-118.10283,6.30,75.00,34.13,0.00
"Jul 12 2009 19:26:24",34.19376,-118.10261,5.63,74.00,34.13,0.00
"Jul 12 2009 19:27:29",34.19422,-118.10264,5.91,72.00,34.13,0.00
"Jul 12 2009 19:28:33",34.194695,-118.102264,6.06,76.00,35.52,0.00
"Jul 12 2009 19:29:37",34.19502,-118.101776,6.38,74.00,36.90,0.00
"Jul 12 2009 19:30:41",34.19548,-118.10192,5.98,9.00,35.52,0.00
"Jul 12 2009 19:31:45",34.19575,-118.10195,6.22,69.00,35.52,0.00
"Jul 12 2009 19:32:50",34.19607,-118.101776,5.87,73.00,35.52,0.00
"Jul 12 2009 19:33:54",34.19642,-118.11549,6.06,73.00,34.13,0.00
"Jul 12 2009 19:34:58",34.196594,-118.11499,6.06,74.00,34.13,0.00
"Jul 12 2009 19:36:02",34.19676,-118.11413,6.06,74.00,34.13,0.00
"Jul 12 2009 19:37:07",34.196774,-118.101906,5.91,60.00,34.13,0.00
"Jul 12 2009 19:38:11",34.196735,-118.102036,6.14,18.00,34.13,5.00
"Jul 12 2009 19:39:15",34.19681,-118.10223,6.14,26.00,34.13,0.00
"Jul 12 2009 19:40:20",34.196926,-118.102066,6.14,39.00,32.75,14.00
"Jul 12 2009 19:41:24",34.196976,-118.10208,6.10,18.00,32.75,0.00
"Jul 12 2009 19:42:28",34.196938,-118.1021,6.10,18.00,32.75,0.00
"Jul 12 2009 19:43:33",34.197083,-118.102165,6.14,19.00,32.75,0.00
"Jul 12 2009 19:44:37",34.196922,-118.10218,6.10,18.00,31.36,0.00
"Jul 12 2009 19:45:42",34.196884,-118.102165,6.06,57.00,32.75,0.00
"Jul 12 2009 19:46:46",34.196865,-118.10215,6.10,20.00,32.75,0.00
"Jul 12 2009 19:47:50",34.19671,-118.10221,6.10,35.00,32.75,0.00
"Jul 12 2009 19:48:55",34.196617,-118.10218,6.14,53.00,31.36,0.00
"Jul 12 2009 19:49:59",34.19681,-118.102036,6.18,45.00,32.75,0.00
"Jul 12 2009 19:51:03",34.19673,-118.10247,6.14,5.00,31.36,0.00
"Jul 12 2009 19:52:08",34.19677,-118.10234,6.14,18.00,31.36,0.00
"Jul 12 2009 19:53:12",34.19675,-118.10241,6.10,19.00,31.36,0.00
"Jul 12 2009 19:54:17",34.196697,-118.102684,6.10,21.00,31.36,0.00
"Jul 12 2009 19:54:18",34.196693,-118.102684,6.18,20.00,31.36,13.00
"Jul 12 2009 19:55:12",34.196796,-118.10228,5.98,72.00,31.36,0.00
