time,latitude,longitude,acceleration,light,temperature,sound
0,,,0.86,120.71,25.40,7
1,42.787354,-71.10711,0.90,221.90,25.40,24
2,42.787354,-71.10709,0.86,130.65,25.40,3
3,,,0.82,154.33,25.40,6
4,,,0.98,376.83,25.40,3
5,42.78734,-71.10708,0.94,134.61,25.40,6
6,,,0.62,58.07,25.40,8
7,,,0.86,92.63,25.40,7
8,,,0.94,49.86,25.08,9
9,42.78734,-71.10706,1.05,58.07,25.08,4
10,42.787354,-71.10703,0.90,86.57,25.40,3
11,42.78731,-71.107,0.90,316.42,25.08,3
12,42.78731,-71.107,0.98,212.38,25.08,4
13,42.78731,-71.10698,0.78,41.62,25.08,2
14,,,0.86,51.91,25.08,6
15,42.787296,-71.106964,1.09,166.07,25.08,4
16,42.787296,-71.10698,1.05,253.93,25.08,5
17,42.787296,-71.10698,0.82,29.21,25.08,3
18,42.78734,-71.106964,1.17,18.82,25.08,5
19,42.787354,-71.10695,0.94,114.72,25.08,4
20,42.787354,-71.10695,0.94,191.28,25.08,4
21,42.787354,-71.10695,1.02,206.65,25.08,3
22,42.78731,-71.10695,0.86,183.56,25.08,2
23,42.78734,-71.106964,0.94,148.43,25.08,2
24,42.78731,-71.106964,1.33,106.71,25.08,10
25,,,1.02,82.52,25.08,24
26,,,0.98,84.55,25.08,47
27,42.787354,-71.10698,0.98,92.63,24.76,46
28,42.787403,-71.107,1.02,82.52,24.76,47
29,42.787388,-71.10698,1.02,82.52,24.76,45
30,42.78737,-71.106964,1.05,88.59,24.43,45
31,42.78737,-71.1069,1.02,98.68,24.43,45
32,42.78737,-71.10689,0.98,100.69,24.43,47
33,42.787403,-71.10692,0.98,100.69,24.43,46
34,42.78742,-71.10693,1.02,100.69,24.43,46
35,42.787403,-71.106964,0.86,237.04,24.43,37
36,,,0.94,94.65,24.43,27
37,42.78737,-71.10698,0.90,130.65,24.43,7
38,42.787388,-71.107,1.05,158.25,24.43,4
39,42.78737,-71.10698,1.02,189.35,24.43,3
40,42.78737,-71.10698,0.90,268.82,24.43,9
41,42.787388,-71.10698,0.94,253.93,24.43,4
42,42.787388,-71.10698,0.94,242.68,24.43,2
43,42.787403,-71.10698,0.90,185.49,24.43,3
44,42.78742,-71.106964,0.94,179.68,24.43,3
45,42.787434,-71.106964,1.09,74.40,24.43,4
46,42.787453,-71.106964,0.94,88.59,24.43,3
47,,,1.02,33.35,24.43,3
48,,,0.90,25.06,24.43,41
49,42.78742,-71.10693,1.13,96.66,24.76,25
50,42.787403,-71.10692,0.86,168.02,24.43,4
51,,,0.86,53.97,24.43,1
52,42.787403,-71.10692,0.70,37.49,24.43,2
53,,,0.98,47.80,24.43,2
54,,,0.86,31.28,24.43,2
55,42.787403,-71.10695,0.86,39.56,24.43,2
56,42.78734,-71.10695,1.05,82.52,24.43,2
57,42.78734,-71.10698,0.90,210.47,24.43,2
58,42.78734,-71.107,0.86,31.28,24.43,2
59,42.78731,-71.107,0.82,35.42,24.43,4
60,42.78731,-71.10698,0.70,64.20,24.43,20
61,42.78731,-71.107,1.09,56.02,24.43,14
62,42.787296,-71.107,1.25,53.97,24.43,4
63,42.78728,-71.10702,1.05,72.36,24.43,4
64,42.787266,-71.10702,0.98,210.47,24.43,3
65,42.787266,-71.10702,1.02,206.65,24.43,7
66,42.787266,-71.10702,0.90,14.65,24.43,11
67,42.787266,-71.10703,0.94,16.73,24.43,6
68,42.787266,-71.10705,0.94,14.65,24.43,2
69,42.787247,-71.10705,1.02,41.62,24.11,23
70,42.787247,-71.10706,0.78,136.59,24.43,6
71,42.787247,-71.10708,0.98,90.61,24.11,22
72,42.787266,-71.10708,0.98,10.47,24.11,13
73,42.787266,-71.10708,0.82,14.65,24.11,20
74,42.78728,-71.10708,0.98,62.16,24.11,6
75,42.78728,-71.10708,1.09,150.40,24.11,4
76,42.78728,-71.10709,0.94,29.21,24.11,3
77,42.787296,-71.10709,1.05,53.97,24.11,3
78,42.78734,-71.10709,0.94,31.28,24.11,4
79,42.787354,-71.10709,0.78,16.73,24.11,5
80,42.787354,-71.10711,0.94,10.47,24.11,8
81,42.78737,-71.10711,0.86,78.46,24.11,5
82,42.787388,-71.10714,1.02,171.91,24.11,3
83,42.78737,-71.10714,1.09,22.98,24.11,4
84,42.78737,-71.107155,1.17,128.66,24.11,8
85,42.78737,-71.107155,1.05,394.20,24.11,7
86,42.78737,-71.107155,1.02,726.84,24.11,3
87,42.78734,-71.107155,0.86,666.24,24.11,2
88,,,0.86,35.42,24.11,2
89,42.78734,-71.10714,1.02,41.62,24.11,2
90,42.78734,-71.10714,0.98,14.65,24.11,6
91,42.787354,-71.107155,0.90,18.82,24.11,5
92,42.787354,-71.10717,0.86,41.62,24.11,11
93,42.787354,-71.10717,1.29,350.43,23.79,6
