time,latitude,longitude,acceleration,light,temperature,sound
174,,,1.13,4.19,18.96,11
175,,,0.94,2.10,18.96,29
176,,,1.02,4.19,18.96,6
177,,,1.02,2.10,18.96,3
178,,,0.94,8.38,18.96,22
179,,,1.48,20.90,18.96,23
180,,,1.33,2.10,18.96,4
181,,,1.60,2.10,18.96,8
182,,,0.94,227.59,18.96,20
183,,,0.94,114.72,18.96,23
184,,,0.98,39.56,18.96,9
185,,,0.70,51.91,18.96,20
186,,,0.94,88.59,18.96,8
187,,,0.51,64.20,18.96,7
188,,,1.09,397.65,18.96,5
189,,,1.05,287.27,18.96,12
190,,,0.86,60.11,19.28,3
191,,,1.09,78.46,18.96,4
192,,,0.82,31.28,18.96,4
193,,,1.17,49.86,18.96,2
194,,,0.78,305.54,19.28,7
195,,,0.98,512.37,19.28,7
196,,,2.93,128.66,19.28,3
197,,,1.64,148.43,19.28,16
198,,,2.46,130.65,19.28,16
199,,,1.17,357.51,19.28,3
200,,,0.78,27.13,19.28,4
201,,,0.74,25.06,19.28,7
202,,,0.90,10.47,19.28,5
203,,,0.94,60.11,19.28,11
204,,,1.17,10.47,19.28,12
205,,,3.44,2.10,19.28,45
206,,,4.06,4.19,19.28,30
207,,,2.93,6.29,19.28,31
208,,,4.22,0.00,19.28,12
209,,,3.55,6.29,19.28,39
210,,,1.41,78.46,19.28,44
211,,,1.41,18.82,19.28,10
212,,,1.25,14.65,19.28,10
213,,,1.05,10.47,19.60,10
214,,,0.94,6.29,19.28,6
215,,,1.21,12.56,19.28,8
216,,,0.78,14.65,19.60,8
217,,,0.78,16.73,19.60,6
218,,,0.82,45.74,19.60,4
219,,,0.35,102.70,19.60,32
220,,,0.82,138.57,19.60,25
221,,,0.66,102.70,19.60,23
222,,,1.13,10.47,19.60,18
223,,,0.74,14.65,19.60,37
224,,,0.74,14.65,19.60,39
225,,,0.86,35.42,19.60,8
226,,,1.02,16.73,19.60,8
227,,,1.13,29.21,19.60,31
228,,,0.86,29.21,19.60,38
229,,,0.78,58.07,19.60,38
230,,,1.05,84.55,19.60,13
231,,,1.21,90.61,19.60,16
232,,,1.25,70.33,19.60,4
233,,,1.13,62.16,19.60,3
234,,,0.98,39.56,19.60,23
235,,,2.19,56.02,19.60,28
236,,,0.98,64.20,19.60,16
237,,,0.82,56.02,19.60,24
238,,,1.25,56.02,19.60,37
239,,,1.21,100.69,19.60,5
240,,,0.86,120.71,19.60,4
241,,,0.74,329.03,19.60,10
242,,,1.02,92.63,19.60,11
243,,,0.86,45.74,19.92,6
244,,,1.33,212.38,19.92,13
245,,,0.94,90.61,19.60,11
246,,,0.98,31.28,19.92,8
247,,,1.29,14.65,19.92,30
248,,,1.13,25.06,19.92,41
249,,,1.33,106.71,19.92,18
250,,,0.82,18.82,19.92,12
251,,,0.90,94.65,19.92,7
252,,,1.05,4.19,20.57,43
253,,,0.90,12.56,20.57,15
254,,,1.02,4.19,22.18,37
255,,,1.02,2.10,21.53,38
256,,,1.09,0.00,20.24,30
257,,,1.05,16.73,19.92,2
258,,,1.13,70.33,19.92,42
259,,,1.41,169.97,19.92,4
260,,,0.86,138.57,19.92,4
261,,,0.86,110.72,19.92,16
262,,,1.13,37.49,19.92,10
263,,,0.94,25.06,19.92,27
264,,,1.80,22.98,19.92,23
265,,,1.13,88.59,19.92,17
266,,,1.37,421.62,19.92,41
267,,,1.09,43.68,20.24,14
268,,,0.82,80.49,19.92,11
269,,,1.17,74.40,19.92,7
270,,,1.41,0.00,19.92,19
271,,,1.05,0.00,19.92,5
272,,,1.25,4.19,19.92,19
273,,,1.13,2.10,19.92,13
274,,,1.13,20.90,19.92,25
275,,,1.09,2.10,19.92,10
276,,,1.29,4.19,19.92,12
277,,,1.17,10.47,19.92,22
278,,,1.29,4.19,19.92,6
279,,,1.64,8.38,19.92,14
280,,,1.21,20.90,19.92,13
281,,,1.29,4.19,19.92,8
282,,,1.21,2.10,19.92,25
283,,,1.02,31.28,19.92,14
284,,,1.09,2.10,19.92,12
285,,,1.05,4.19,19.92,17
286,,,1.13,47.80,19.92,19
287,,,1.25,2.10,19.60,40
288,,,0.86,0.00,19.60,9
289,,,0.74,25.06,19.60,22
290,,,0.98,12.56,19.92,11
291,,,0.86,35.42,19.60,20
292,,,0.86,102.70,19.60,10
293,,,0.98,169.97,19.60,7
294,,,0.94,84.55,19.60,29
295,,,1.05,231.37,19.60,24
296,,,1.09,114.72,19.60,15
297,,,0.90,86.57,19.60,4
298,,,1.21,72.36,19.60,21
299,,,1.13,499.51,19.60,3
300,,,1.13,348.66,19.60,31
301,,,1.17,221.90,19.60,3
302,,,1.09,343.33,19.60,5
303,,,1.02,14.65,19.60,8
304,,,1.05,4.19,19.60,4
305,,,1.13,4.19,19.60,3
306,,,1.13,8.38,19.60,4
307,,,1.13,8.38,19.60,3
308,,,1.13,6.29,19.60,4
309,,,1.13,8.38,19.60,12
310,,,1.13,6.29,19.92,2
311,,,1.13,6.29,19.60,1
312,,,1.13,6.29,19.92,3
313,,,1.13,8.38,19.60,3
314,,,1.13,31.28,19.92,4
315,,,1.02,120.71,19.92,3
316,,,1.17,533.02,19.92,3
317,,,1.21,565.74,19.92,13
318,,,1.13,544.01,19.92,5
319,,,1.05,406.25,19.92,3
320,,,1.09,357.51,19.92,3
321,,,1.17,250.19,19.92,22
322,,,1.33,173.86,19.92,8
323,,,0.94,681.72,19.92,14
324,,,1.25,1058.11,19.92,16
325,,,0.98,1060.42,19.92,15
326,,,1.02,1060.42,19.92,15
327,,,0.98,1059.65,19.92,26
328,,,1.02,1060.42,19.92,5
329,,,0.98,1060.42,19.92,17
330,,,0.98,1060.42,19.92,5
331,,,0.98,1059.65,19.92,14
332,,,0.98,1059.65,19.92,27
333,,,0.98,1060.42,19.92,38
334,,,0.98,1060.42,19.92,45
335,,,1.72,683.12,19.92,8
336,,,1.17,307.36,19.92,4
337,,,1.21,35.42,19.92,12
338,,,1.02,37.49,19.92,14
339,,,1.09,35.42,19.92,3
340,,,1.13,25.06,19.92,5
