time,latitude,longitude,acel,light,temperature,sound
"Sep 26 2009 21:10:42",200.0,200.0,1.015625,246.4376,19.27734375,0
"Sep 26 2009 21:10:43",200.0,200.0,1.09375,257.66,19.27734375,0
"Sep 26 2009 21:10:44",200.0,200.0,1.5234375,413.1029,19.599609375,5
"Sep 26 2009 21:10:46",200.0,200.0,1.015625,413.1029,19.27734375,0
"Sep 26 2009 21:10:47",200.0,200.0,1.015625,413.1029,19.599609375,0
"Sep 26 2009 21:10:48",200.0,200.0,1.015625,413.1029,19.27734375,0
"Sep 26 2009 21:10:49",200.0,200.0,1.0546875,411.3936,19.27734375,0
"Sep 26 2009 21:10:50",200.0,200.0,1.0546875,413.1029,19.599609375,0
"Sep 26 2009 21:10:51",200.0,200.0,1.015625,402.8201,19.599609375,0
"Sep 26 2009 21:10:52",200.0,200.0,0.9375,385.5381,19.27734375,0
"Sep 26 2009 21:10:53",200.0,200.0,1.015625,385.5381,19.599609375,0
"Sep 26 2009 21:10:54",200.0,200.0,1.015625,380.3184,19.27734375,0
"Sep 26 2009 21:10:55",200.0,200.0,1.015625,373.3336,19.599609375,0
"Sep 26 2009 21:10:56",200.0,200.0,1.0546875,357.5125,19.599609375,0
"Sep 26 2009 21:10:57",200.0,200.0,0.9375,337.9776,19.27734375,0
"Sep 26 2009 21:10:59",200.0,200.0,1.0546875,332.6121,19.599609375,0
"Sep 26 2009 21:11:00",200.0,200.0,0.9765625,321.8325,19.599609375,0
"Sep 26 2009 21:11:01",200.0,200.0,0.9765625,310.9881,19.599609375,0
"Sep 26 2009 21:11:02",200.0,200.0,1.0546875,307.3589,19.599609375,0
"Sep 26 2009 21:11:03",200.0,200.0,1.0546875,276.22,19.599609375,0
"Sep 26 2009 21:11:04",200.0,200.0,1.015625,259.5241,19.599609375,0
"Sep 26 2009 21:11:05",200.0,200.0,0.9765625,274.3721,19.599609375,0
"Sep 26 2009 21:11:06",200.0,200.0,1.0546875,461.8896,19.599609375,0
"Sep 26 2009 21:11:07",200.0,200.0,1.015625,274.3721,19.599609375,0
"Sep 26 2009 21:11:08",200.0,200.0,1.0546875,392.4725,19.599609375,0
"Sep 26 2009 21:11:09",200.0,200.0,1.0546875,456.9129,19.599609375,0
"Sep 26 2009 21:11:10",200.0,200.0,0.9765625,274.3721,19.599609375,0
"Sep 26 2009 21:11:11",200.0,200.0,1.015625,233.2629,19.599609375,0
"Sep 26 2009 21:11:13",200.0,200.0,1.09375,329.0261,19.599609375,0
"Sep 26 2009 21:11:14",200.0,200.0,1.015625,198.9801,19.599609375,0
"Sep 26 2009 21:11:15",200.0,200.0,1.0546875,298.2544,19.599609375,0
"Sep 26 2009 21:11:16",200.0,200.0,0.9765625,233.2629,19.599609375,0
"Sep 26 2009 21:11:17",200.0,200.0,0.9375,150.3976,19.599609375,0
"Sep 26 2009 21:11:18",200.0,200.0,1.015625,110.7216,19.27734375,0
"Sep 26 2009 21:11:19",200.0,200.0,0.9375,110.7216,19.27734375,0
"Sep 26 2009 21:11:20",200.0,200.0,0.9765625,134.6136,19.599609375,0
"Sep 26 2009 21:11:21",200.0,200.0,1.0546875,138.5704,19.599609375,0
"Sep 26 2009 21:11:22",200.0,200.0,1.0546875,122.7,19.599609375,0
"Sep 26 2009 21:11:23",200.0,200.0,1.0546875,106.7144,19.599609375,0
"Sep 26 2009 21:11:24",200.0,200.0,0.9765625,138.5704,19.599609375,0
"Sep 26 2009 21:11:26",200.0,200.0,0.703125,296.4281,19.27734375,0
"Sep 26 2009 21:11:27",200.0,200.0,0.9765625,223.7984,19.599609375,0
"Sep 26 2009 21:11:28",200.0,200.0,1.09375,303.7225,19.27734375,0
"Sep 26 2009 21:11:29",200.0,200.0,1.09375,200.9,19.27734375,0
"Sep 26 2009 21:11:30",200.0,200.0,0.9375,375.0825,19.27734375,0
