time,lat,long,accel,light,temp,sound
"Jul 22 2009 10:45:42",42.76945,-71.10263,6.02,74.00,24.44,0.00
"Jul 22 2009 10:45:43",42.76945,-71.10264,5.55,74.00,24.44,0.00
"Jul 22 2009 10:45:44",42.76945,-71.102646,6.14,74.00,24.44,0.00
"Jul 22 2009 10:45:45",42.76945,-71.10266,6.22,75.00,24.44,0.00
"Jul 22 2009 10:45:46",42.769444,-71.10267,5.75,75.00,24.44,0.00
"Jul 22 2009 10:45:47",42.769424,-71.10267,5.75,75.00,24.44,0.00
"Jul 22 2009 10:45:48",42.769417,-71.102684,5.59,75.00,24.44,0.00
"Jul 22 2009 10:45:49",42.769417,-71.10269,5.91,75.00,24.44,0.00
"Jul 22 2009 10:45:50",42.7694,-71.10271,5.43,75.00,24.44,0.00
"Jul 22 2009 10:45:51",42.769394,-71.102715,5.98,75.00,24.44,0.00
"Jul 22 2009 10:45:52",42.769386,-71.10273,6.34,75.00,24.44,0.00
"Jul 22 2009 10:45:53",42.769375,-71.10274,6.06,75.00,24.44,0.00
"Jul 22 2009 10:45:54",42.769367,-71.10274,6.10,75.00,24.44,27.00
"Jul 22 2009 10:45:56",42.769367,-71.10275,6.02,75.00,24.44,0.00
"Jul 22 2009 10:45:57",42.769367,-71.10275,6.02,74.00,24.44,0.00
"Jul 22 2009 10:45:58",42.76936,-71.10275,5.98,75.00,24.44,0.00
"Jul 22 2009 10:45:59",42.769352,-71.10276,5.98,75.00,24.44,0.00
"Jul 22 2009 10:46:00",42.769352,-71.10276,5.98,75.00,24.44,0.00
"Jul 22 2009 10:46:01",42.76936,-71.10276,5.98,75.00,24.44,0.00
"Jul 22 2009 10:46:02",42.76936,-71.10275,5.98,75.00,24.44,0.00
"Jul 22 2009 10:46:03",42.76936,-71.10276,5.98,75.00,24.44,29.00
"Jul 22 2009 10:46:04",42.76936,-71.10275,5.98,75.00,24.44,0.00
"Jul 22 2009 10:46:05",42.76936,-71.10275,5.98,75.00,24.44,0.00
"Jul 22 2009 10:46:06",42.76936,-71.102745,6.02,74.00,24.44,0.00
"Jul 22 2009 10:46:07",42.769367,-71.10275,6.02,74.00,24.44,0.00
"Jul 22 2009 10:46:08",42.769375,-71.10275,6.02,75.00,24.44,0.00
"Jul 22 2009 10:46:09",42.769375,-71.102745,5.98,74.00,24.44,0.00
"Jul 22 2009 10:46:10",42.769394,-71.10274,5.98,74.00,24.44,4.00
"Jul 22 2009 10:46:11",42.769394,-71.10274,5.98,74.00,24.44,0.00
"Jul 22 2009 10:46:12",42.769394,-71.10273,5.98,74.00,24.44,0.00
"Jul 22 2009 10:46:13",42.769394,-71.10273,6.06,74.00,24.44,0.00
"Jul 22 2009 10:46:14",42.769386,-71.10273,5.98,74.00,24.44,0.00
"Jul 22 2009 10:46:14",42.769386,-71.10273,5.98,74.00,24.44,0.00
"Jul 22 2009 10:46:16",42.769394,-71.10274,6.02,75.00,24.44,0.00
"Jul 22 2009 10:46:18",42.769375,-71.10275,5.98,75.00,24.44,37.00
"Jul 22 2009 10:46:19",42.769367,-71.102745,6.02,75.00,24.44,0.00
"Jul 22 2009 10:46:20",42.769375,-71.10275,6.02,75.00,24.44,0.00
"Jul 22 2009 10:46:21",42.769367,-71.10275,5.98,74.00,24.44,0.00
"Jul 22 2009 10:46:22",42.769375,-71.102745,5.83,74.00,24.44,0.00
"Jul 22 2009 10:46:23",42.769386,-71.10274,6.42,74.00,24.44,0.00
"Jul 22 2009 10:46:24",42.769386,-71.102745,6.22,74.00,24.44,9.00
"Jul 22 2009 10:46:25",42.769386,-71.102745,6.22,74.00,24.44,0.00
"Jul 22 2009 10:46:26",42.769394,-71.10275,6.10,74.00,24.44,0.00
"Jul 22 2009 10:46:27",42.769386,-71.10275,5.98,74.00,24.44,0.00
"Jul 22 2009 10:46:28",42.769394,-71.10275,6.14,75.00,25.83,0.00
"Jul 22 2009 10:46:29",42.769394,-71.10275,6.02,75.00,24.44,0.00
"Jul 22 2009 10:46:30",42.7694,-71.10275,5.95,74.00,24.44,0.00
"Jul 22 2009 10:46:31",42.769394,-71.10275,6.02,74.00,24.44,0.00
"Jul 22 2009 10:46:32",42.769394,-71.10276,6.02,74.00,24.44,0.00
"Jul 22 2009 10:46:33",42.769394,-71.10276,6.02,74.00,24.44,0.00
"Jul 22 2009 10:46:34",42.769394,-71.10276,5.98,75.00,25.83,0.00
"Jul 22 2009 10:46:35",42.769394,-71.10276,5.98,74.00,24.44,0.00
"Jul 22 2009 10:46:36",42.769394,-71.10276,6.02,74.00,24.44,0.00
"Jul 22 2009 10:46:36",42.769394,-71.10276,5.98,75.00,24.44,0.00
"Jul 22 2009 10:46:38",42.769394,-71.10275,6.02,74.00,25.83,0.00
"Jul 22 2009 10:46:40",42.7694,-71.10276,6.02,74.00,24.44,0.00
"Jul 22 2009 10:46:41",42.7694,-71.10276,6.02,74.00,25.83,0.00
"Jul 22 2009 10:46:42",42.76941,-71.10275,5.98,75.00,24.44,11.00
"Jul 22 2009 10:46:43",42.76941,-71.10276,5.98,75.00,25.83,14.00
"Jul 22 2009 10:46:44",42.7694,-71.10276,5.98,75.00,24.44,0.00
"Jul 22 2009 10:46:45",42.7694,-71.10275,6.02,75.00,25.83,0.00
"Jul 22 2009 10:46:46",42.7694,-71.10276,6.02,75.00,25.83,23.00
"Jul 22 2009 10:46:47",42.769394,-71.10276,5.98,75.00,24.44,24.00
"Jul 22 2009 10:46:48",42.769394,-71.10276,6.02,75.00,24.44,0.00
"Jul 22 2009 10:46:49",42.769394,-71.10276,5.98,75.00,25.83,0.00
"Jul 22 2009 10:46:50",42.769394,-71.10276,6.02,76.00,25.83,2.00
"Jul 22 2009 10:46:51",42.769386,-71.10276,6.02,75.00,25.83,0.00
"Jul 22 2009 10:46:52",42.769386,-71.10276,6.02,75.00,24.44,87.00
"Jul 22 2009 10:46:53",42.769386,-71.10276,6.02,75.00,24.44,0.00
"Jul 22 2009 10:46:54",42.769386,-71.10275,6.02,76.00,25.83,0.00
"Jul 22 2009 10:46:55",42.769386,-71.10275,6.02,76.00,25.83,0.00
"Jul 22 2009 10:46:56",42.769386,-71.10275,5.98,75.00,25.83,0.00
"Jul 22 2009 10:46:57",42.769386,-71.10275,6.02,75.00,24.44,0.00
"Jul 22 2009 10:46:58",42.769386,-71.10275,5.98,75.00,24.44,0.00
"Jul 22 2009 10:46:58",42.769386,-71.10275,6.02,76.00,24.44,0.00
"Jul 22 2009 10:47:00",42.769386,-71.10275,6.02,75.00,25.83,0.00
"Jul 22 2009 10:47:02",42.769375,-71.10275,6.02,76.00,25.83,0.00
"Jul 22 2009 10:47:03",42.769367,-71.10275,5.98,75.00,25.83,14.00
"Jul 22 2009 10:47:04",42.769367,-71.10275,6.02,75.00,25.83,25.00
"Jul 22 2009 10:47:05",42.769367,-71.102745,5.98,75.00,25.83,0.00
"Jul 22 2009 10:47:06",42.769367,-71.102745,6.02,75.00,25.83,0.00
"Jul 22 2009 10:47:07",42.769367,-71.102745,6.02,75.00,25.83,0.00
"Jul 22 2009 10:47:08",42.769367,-71.102745,5.98,75.00,25.83,0.00
"Jul 22 2009 10:47:09",42.769367,-71.102745,6.02,75.00,25.83,0.00
"Jul 22 2009 10:47:10",42.769367,-71.10275,6.02,75.00,25.83,0.00
"Jul 22 2009 10:47:11",42.769367,-71.10275,6.02,75.00,25.83,0.00
"Jul 22 2009 10:47:12",42.769367,-71.10275,5.98,75.00,24.44,0.00
"Jul 22 2009 10:47:13",42.769367,-71.10275,6.02,75.00,25.83,0.00
"Jul 22 2009 10:47:14",42.769367,-71.10275,6.02,74.00,25.83,0.00
"Jul 22 2009 10:47:15",42.769367,-71.102745,6.02,75.00,25.83,2.00
"Jul 22 2009 10:47:16",42.769367,-71.102745,6.02,75.00,25.83,0.00
"Jul 22 2009 10:47:17",42.769367,-71.10275,6.02,75.00,25.83,0.00
"Jul 22 2009 10:47:18",42.769375,-71.10275,5.98,75.00,25.83,0.00
"Jul 22 2009 10:47:19",42.769375,-71.10275,6.06,74.00,25.83,100.00
"Jul 22 2009 10:47:20",42.769386,-71.10275,5.83,75.00,25.83,0.00
"Jul 22 2009 10:47:21",42.769386,-71.10275,5.98,75.00,24.44,0.00
"Jul 22 2009 10:47:22",42.769386,-71.10275,6.14,75.00,25.83,0.00
"Jul 22 2009 10:47:24",42.769394,-71.10276,5.91,75.00,24.44,0.00
"Jul 22 2009 10:47:25",42.769394,-71.10276,5.71,74.00,24.44,11.00
"Jul 22 2009 10:47:26",42.7694,-71.10276,6.18,74.00,24.44,0.00
"Jul 22 2009 10:47:27",42.769417,-71.10276,5.91,74.00,24.44,0.00
"Jul 22 2009 10:47:28",42.769432,-71.10276,5.83,74.00,24.44,0.00
"Jul 22 2009 10:47:29",42.769444,-71.10275,5.98,74.00,24.44,7.00
"Jul 22 2009 10:47:30",42.76945,-71.10275,6.42,74.00,24.44,0.00
"Jul 22 2009 10:47:31",42.76946,-71.102745,5.83,74.00,24.44,0.00
