time,latitude,longitude,acceleration,light,temperature,sound
0,42.78737,-71.107155,0.94,220.00,24.76,11
1,42.78737,-71.107155,0.74,210.47,25.08,10
2,42.787354,-71.107155,0.90,140.55,25.08,24
3,42.787354,-71.107155,0.82,64.20,24.76,5
4,42.787354,-71.107155,1.09,122.70,25.08,3
5,42.78734,-71.10717,0.82,138.57,24.76,1
6,42.787354,-71.107155,1.09,146.46,25.08,9
7,42.78734,-71.107155,1.09,378.57,25.08,5
8,42.78734,-71.107155,0.94,132.63,25.08,12
9,42.787354,-71.10714,0.98,112.72,24.76,27
10,42.787354,-71.10711,1.13,244.56,25.08,23
11,42.787354,-71.10709,1.09,53.97,25.08,24
12,,,1.05,47.80,25.08,5
13,,,1.33,12.56,25.08,2
14,42.787354,-71.10709,1.29,41.62,24.76,6
15,,,1.29,22.98,24.76,25
16,,,1.33,10.47,24.76,18
17,42.78737,-71.10708,1.52,86.57,24.76,23
18,42.787388,-71.10706,1.21,49.86,24.76,1
19,,,1.05,41.62,24.76,3
20,,,1.25,58.07,24.76,2
21,42.78742,-71.10708,1.25,369.83,24.76,6
22,42.787434,-71.10711,1.09,41.62,24.76,2
23,42.787434,-71.10714,1.02,53.97,24.76,15
24,42.787434,-71.107155,1.37,146.46,24.76,32
25,42.787453,-71.10714,0.94,51.91,24.76,46
26,42.787453,-71.10711,1.02,2.10,24.76,45
27,42.787468,-71.10714,1.09,60.11,24.76,14
28,42.787483,-71.10711,1.05,327.23,24.76,47
29,,,1.02,112.72,24.76,0
30,,,1.13,146.46,24.76,2
31,42.7875,-71.10709,1.02,292.77,24.76,3
32,42.787533,-71.10709,0.98,84.55,24.76,2
33,,,0.86,88.59,24.76,21
34,,,0.98,962.26,24.43,12
35,42.787548,-71.10708,1.02,1027.46,24.11,25
36,42.787533,-71.10708,1.02,1049.51,24.11,7
37,42.787533,-71.10708,0.94,1055.79,24.11,5
38,42.787548,-71.10708,0.94,1057.34,24.11,5
39,42.787563,-71.10705,0.98,1056.56,24.11,1
40,42.787582,-71.10703,0.90,1057.34,24.11,1
41,42.787598,-71.10703,1.02,1057.34,24.11,1
42,42.787598,-71.10705,1.09,1056.56,24.11,1
43,42.787598,-71.10703,0.78,1058.11,24.11,5
44,42.787582,-71.10703,1.25,1060.42,24.11,2
45,42.787582,-71.10703,0.98,1060.42,23.79,30
46,42.787582,-71.10705,0.78,1059.65,23.47,1
47,42.787598,-71.10705,0.66,1060.42,23.79,13
48,42.787598,-71.10703,0.98,1061.19,23.47,14
49,42.787582,-71.10703,1.05,1058.11,23.14,3
50,42.787582,-71.10703,0.82,1055.79,23.14,4
51,42.787563,-71.10703,1.05,1058.11,23.14,1
52,42.787563,-71.10703,1.02,1059.65,22.82,1
53,42.787548,-71.10703,1.05,1059.65,23.14,45
