time,latitude,longitude,acceleration,light,temperature,sound
0,,,0.90,237.04,24.76,1
1,,,0.90,323.63,24.76,0
2,,,0.82,179.68,24.76,0
3,42.78734,-71.10698,1.09,294.60,24.76,1
4,42.78734,-71.10698,0.98,238.92,24.76,0
5,42.787354,-71.10698,0.98,179.68,24.76,3
6,42.78737,-71.10698,1.05,110.72,24.76,0
7,42.78737,-71.107,1.09,112.72,24.76,0
8,42.787388,-71.107,0.98,229.48,24.76,0
9,42.787388,-71.10702,0.94,401.10,24.76,0
10,42.787403,-71.10702,0.94,368.08,24.76,0
11,42.787388,-71.10702,0.98,320.03,24.76,1
12,42.787388,-71.107,0.94,375.08,24.76,0
13,42.787388,-71.107,0.90,383.80,24.76,0
14,42.787388,-71.10702,0.90,283.59,24.76,17
15,42.78737,-71.10703,0.90,397.65,24.76,23
16,,,0.98,303.72,24.76,0
17,42.78737,-71.10698,1.05,294.60,24.76,8
18,42.78737,-71.107,0.98,116.72,24.76,0
19,42.78737,-71.107,0.86,152.36,24.76,0
20,42.787354,-71.10702,0.90,200.90,24.76,0
21,42.787354,-71.10702,0.78,250.19,24.76,0
22,42.787354,-71.10702,0.86,189.35,24.76,0
23,42.78734,-71.107,1.09,292.77,24.76,0
24,42.78731,-71.107,1.09,378.57,24.76,19
25,42.78731,-71.107,1.05,195.13,24.76,0
26,42.787296,-71.107,1.13,60.11,24.76,0
27,42.78731,-71.10702,1.02,223.80,24.76,0
28,42.78731,-71.10702,0.98,156.29,24.76,0
29,42.78731,-71.107,0.82,66.25,24.76,0
30,42.78734,-71.10702,0.94,33.35,24.76,0
31,42.787354,-71.107,1.05,25.06,24.76,0
32,42.787354,-71.107,1.02,25.06,24.76,0
33,42.787354,-71.10698,1.05,35.42,24.76,0
34,42.78734,-71.106964,0.90,16.73,24.76,19
35,42.787354,-71.107,0.94,33.35,24.76,13
36,42.787354,-71.107,0.86,359.28,24.76,0
37,42.78734,-71.10698,1.02,191.28,24.76,0
