time,latitude,longitude,acceleration,light,temperature,sound
0,42.787533,-71.10709,0.86,1034.13,22.82,1
1,42.787548,-71.10709,0.94,1054.23,22.82,24
2,42.787563,-71.10709,1.25,1054.23,22.50,14
3,42.787563,-71.10709,1.21,1038.24,22.50,8
4,42.787563,-71.10708,1.09,1048.71,22.18,12
5,42.787563,-71.10706,1.13,1041.49,22.18,7
6,42.787563,-71.10705,3.40,1024.93,21.86,0
7,42.787582,-71.10703,1.13,914.66,21.86,12
8,42.787563,-71.10702,5.12,984.10,21.53,17
9,42.787582,-71.107,3.12,1048.71,21.53,9
10,42.787582,-71.107,6.17,998.73,21.21,16
11,,,5.86,981.30,21.21,26
12,,,1.25,856.22,20.89,0
13,,,1.17,361.04,20.89,21
14,42.787598,-71.107,5.51,416.52,20.57,23
15,42.787563,-71.10698,5.78,593.15,20.57,10
16,42.787533,-71.106964,5.51,561.11,20.24,23
17,42.7875,-71.106964,3.20,287.27,20.24,28
18,42.7875,-71.10698,3.24,650.55,20.24,8
19,,,4.77,852.76,19.92,23
20,42.787483,-71.106964,2.81,568.81,19.92,22
21,42.787468,-71.10698,1.29,371.58,19.60,23
22,42.787483,-71.107,1.68,806.31,19.60,5
23,42.787483,-71.10698,4.65,943.49,19.60,19
24,42.787483,-71.106964,1.45,156.29,19.28,39
25,42.787483,-71.106964,0.74,66.25,19.28,23
26,42.787468,-71.10698,1.60,175.80,19.28,42
27,42.787483,-71.10702,1.09,14.65,18.96,5
28,42.787483,-71.10703,0.86,68.29,18.96,4
29,42.787483,-71.10705,1.13,22.98,18.96,11
30,,,1.60,8.38,18.63,5
31,,,1.17,0.00,18.96,14
32,42.787468,-71.10708,1.17,0.00,18.96,0
33,42.787468,-71.107155,1.17,0.00,18.96,15
34,42.787468,-71.107185,1.41,142.52,18.96,8
35,42.787483,-71.107185,0.82,122.70,18.96,16
36,42.7875,-71.1072,1.21,51.91,18.96,14
37,,,0.78,0.00,18.96,15
38,,,0.94,92.63,18.96,19
39,,,0.78,0.00,18.96,20
40,42.787483,-71.107216,1.56,0.00,18.96,23
41,42.7875,-71.107216,0.90,0.00,19.28,30
42,42.787483,-71.10723,1.02,0.00,19.28,6
43,42.7875,-71.107254,0.94,0.00,19.28,2
44,42.787518,-71.10727,0.98,0.00,19.28,3
45,42.787518,-71.107254,0.90,0.00,19.28,12
46,42.787518,-71.10723,1.17,0.00,19.28,28
47,42.787518,-71.107216,0.94,0.00,19.28,13
48,42.7875,-71.107216,0.86,0.00,19.28,24
49,,,1.25,0.00,19.28,13
50,,,1.09,0.00,19.28,15
51,42.787483,-71.10723,1.17,0.00,19.28,5
52,,,0.94,195.13,19.28,12
53,,,1.17,166.07,19.28,18
54,42.787483,-71.10723,0.98,128.66,19.60,12
55,42.787468,-71.10723,1.02,108.72,19.60,4
56,,,1.09,177.74,19.60,2
57,,,1.25,35.42,19.60,0
58,42.787483,-71.107216,1.05,8.38,19.60,0
59,42.7875,-71.1072,1.02,47.80,19.60,2
60,42.787518,-71.107185,1.02,20.90,19.60,4
61,42.787533,-71.107185,0.94,31.28,19.60,4
62,42.787533,-71.1072,0.86,6.29,19.92,6
63,42.787533,-71.107185,0.98,6.29,19.60,7
64,42.787533,-71.107185,0.98,2.10,19.92,12
65,42.787518,-71.1072,0.98,2.10,19.92,16
66,42.787518,-71.107185,1.05,2.10,19.92,19
67,42.787518,-71.107185,1.02,2.10,19.92,17
68,42.787518,-71.107185,1.02,2.10,19.92,10
69,42.787518,-71.1072,1.02,2.10,19.92,19
70,42.787518,-71.1072,1.02,2.10,19.92,22
71,42.787518,-71.1072,0.98,2.10,19.92,10
72,42.787533,-71.1072,0.82,2.10,19.92,6
73,42.787533,-71.1072,0.94,4.19,20.24,13
74,42.787533,-71.107216,0.94,4.19,20.24,39
75,42.787518,-71.1072,1.21,10.47,20.24,5
76,42.7875,-71.1072,1.02,195.13,20.24,0
77,42.787518,-71.1072,0.78,35.42,20.24,0
78,42.787518,-71.1072,1.25,138.57,20.24,2
