time,latitude,longitude,acceleration,light,temperature,sound
0,,,0.98,242.68,25.40,2
1,,,0.98,325.43,25.40,2
2,,,1.09,329.03,25.40,14
3,,,1.02,343.33,25.40,3
4,,,1.02,325.43,25.40,3
5,,,1.02,321.83,25.40,1
6,,,1.09,225.69,25.40,4
7,,,1.02,404.54,25.40,3
8,,,1.29,296.43,25.40,2
9,,,1.17,375.08,25.40,4
10,,,0.86,531.44,25.40,6
11,,,0.94,272.52,25.40,24
12,,,0.98,411.39,25.40,6
13,,,1.02,152.36,25.40,5
14,,,1.05,128.66,25.40,3
15,,,1.21,206.65,25.40,3
16,,,1.02,140.55,25.40,8
17,,,0.86,138.57,25.40,4
18,,,0.70,66.25,25.40,2
19,,,0.86,152.36,25.40,3
20,,,0.98,35.42,25.40,12
21,,,0.82,114.72,25.40,8
22,,,0.90,298.25,25.40,3
23,,,0.94,47.80,25.40,3
24,,,0.86,25.06,25.40,8
25,,,0.98,51.91,25.40,2
26,,,0.94,185.49,25.40,3
27,,,0.94,33.35,25.40,2
28,,,0.94,6.29,25.08,3
29,,,0.94,10.47,25.40,5
30,,,1.02,16.73,25.08,4
31,,,0.86,397.65,25.08,4
32,,,0.90,114.72,25.08,8
33,,,0.94,6.29,25.08,4
34,,,1.13,14.65,25.08,6
35,,,1.02,116.72,25.08,13
36,,,0.94,233.26,25.08,3
37,,,0.86,14.65,25.08,3
38,,,0.82,43.68,25.08,4
39,,,1.13,18.82,25.08,6
40,,,1.05,10.47,25.08,6
41,,,0.94,10.47,25.08,8
42,,,1.09,64.20,24.76,6
43,,,0.98,252.06,24.43,13
44,,,0.94,80.49,24.43,4
45,,,0.94,49.86,24.43,8
46,,,1.02,208.56,24.11,11
47,,,0.94,885.52,24.11,28
48,,,0.90,529.86,23.47,23
49,,,0.90,414.81,23.47,6
50,,,0.82,397.65,23.14,31
51,,,0.98,768.72,23.14,41
52,,,0.90,1034.95,23.14,6
53,,,0.98,1053.44,22.82,4
54,,,0.94,1055.79,22.82,18
55,,,0.90,1053.44,22.82,5
56,,,0.86,1051.87,22.82,4
57,,,0.86,1050.30,22.82,39
58,,,0.90,1055.01,22.82,14
59,,,0.98,1048.71,22.50,8
60,,,0.82,1046.32,22.50,3
61,,,0.74,1047.92,22.50,25
62,,,0.90,1039.87,22.50,15
63,,,1.09,1050.30,22.18,16
64,,,0.82,1052.66,22.18,31
65,,,0.78,1021.53,22.18,13
66,,,1.02,1050.30,22.18,25
67,,,0.86,1058.11,21.86,25
68,,,0.86,1057.34,21.53,14
69,,,0.86,1056.56,21.53,9
70,,,0.82,1054.23,21.21,18
71,,,1.21,1054.23,21.21,36
