time,lat,long,accel,light,temp,sound
"Jul 22 2009 10:41:27",0.0,0.0,6.18,22.00,34.13,0.00
"Jul 22 2009 10:41:28",0.0,0.0,6.10,52.00,34.13,0.00
"Jul 22 2009 10:41:29",0.0,0.0,6.78,71.00,34.13,0.00
"Jul 22 2009 10:41:30",0.0,0.0,7.66,71.00,34.13,0.00
"Jul 22 2009 10:41:31",0.0,0.0,6.82,71.00,34.13,0.00
"Jul 22 2009 10:41:32",0.0,0.0,7.22,71.00,34.13,0.00
"Jul 22 2009 10:41:33",0.0,0.0,6.78,72.00,34.13,0.00
"Jul 22 2009 10:41:34",0.0,0.0,5.83,72.00,34.13,0.00
"Jul 22 2009 10:41:35",0.0,0.0,7.10,73.00,34.13,0.00
"Jul 22 2009 10:41:36",0.0,0.0,6.18,73.00,34.13,0.00
"Jul 22 2009 10:41:37",0.0,0.0,5.71,72.00,34.13,15.00
"Jul 22 2009 10:41:39",0.0,0.0,6.62,72.00,34.13,0.00
"Jul 22 2009 10:41:40",0.0,0.0,9.10,73.00,34.13,0.00
"Jul 22 2009 10:41:41",0.0,0.0,9.14,73.00,34.13,0.00
"Jul 22 2009 10:41:42",0.0,0.0,8.34,73.00,34.13,0.00
"Jul 22 2009 10:41:43",0.0,0.0,5.91,73.00,34.13,0.00
"Jul 22 2009 10:41:44",0.0,0.0,9.26,72.00,34.13,0.00
"Jul 22 2009 10:41:45",0.0,0.0,9.50,72.00,34.13,0.00
"Jul 22 2009 10:41:46",0.0,0.0,6.02,73.00,34.13,3.00
"Jul 22 2009 10:41:47",0.0,0.0,6.10,72.00,34.13,1.00
"Jul 22 2009 10:41:48",0.0,0.0,6.10,73.00,34.13,0.00
"Jul 22 2009 10:41:49",0.0,0.0,6.22,72.00,34.13,0.00
"Jul 22 2009 10:41:50",0.0,0.0,6.02,73.00,34.13,0.00
"Jul 22 2009 10:41:52",0.0,0.0,6.22,73.00,34.13,0.00
"Jul 22 2009 10:41:53",0.0,0.0,6.22,73.00,32.75,0.00
"Jul 22 2009 10:41:54",0.0,0.0,5.91,73.00,32.75,0.00
"Jul 22 2009 10:41:55",0.0,0.0,5.98,73.00,32.75,0.00
"Jul 22 2009 10:41:56",0.0,0.0,6.42,73.00,32.75,0.00
"Jul 22 2009 10:41:57",0.0,0.0,6.66,73.00,32.75,0.00
"Jul 22 2009 10:41:58",0.0,0.0,5.95,73.00,32.75,0.00
"Jul 22 2009 10:41:59",0.0,0.0,6.22,72.00,32.75,0.00
"Jul 22 2009 10:42:00",0.0,0.0,6.34,73.00,32.75,0.00
"Jul 22 2009 10:42:01",0.0,0.0,5.55,72.00,32.75,0.00
"Jul 22 2009 10:42:02",0.0,0.0,6.22,73.00,32.75,3.00
"Jul 22 2009 10:42:03",0.0,0.0,5.51,72.00,32.75,0.00
"Jul 22 2009 10:42:05",0.0,0.0,6.62,72.00,32.75,0.00
