time,latitude,longitude,acceleration,light,temperature,sound
0,,,1.02,62.16,25.08,10
1,,,0.86,116.72,25.08,4
2,42.787354,-71.10705,0.90,134.61,25.08,5
3,42.78737,-71.10706,1.09,171.91,25.08,13
4,,,1.05,128.66,25.08,10
5,42.78737,-71.10706,1.02,118.71,25.08,15
6,42.787354,-71.10706,0.90,173.86,25.08,11
7,42.787354,-71.10706,0.86,47.80,25.08,10
8,42.78734,-71.10705,0.94,16.73,25.08,5
9,42.78734,-71.10705,0.98,35.42,25.08,30
10,42.78731,-71.10705,1.09,35.42,25.08,3
11,42.78734,-71.10706,0.94,35.42,25.08,19
12,42.78731,-71.10705,1.25,43.68,25.08,18
13,42.78731,-71.10705,0.90,45.74,25.08,11
14,,,0.94,64.20,25.08,29
15,,,0.90,138.57,25.08,12
16,42.78731,-71.10703,1.33,12.56,25.08,26
17,42.78731,-71.10702,0.86,20.90,25.08,8
18,42.78734,-71.10703,0.74,6.29,25.08,24
19,42.78734,-71.10703,1.41,12.56,25.08,12
20,42.78734,-71.10702,1.21,6.29,25.08,8
21,42.78737,-71.10703,0.70,0.00,25.08,31
22,42.787388,-71.10703,0.74,2.10,25.08,28
23,42.787388,-71.10703,1.02,16.73,25.08,21
24,42.787388,-71.10703,0.70,18.82,24.76,44
25,,,1.02,8.38,24.76,6
26,42.787388,-71.10703,0.70,8.38,25.08,7
27,42.787403,-71.10705,0.94,10.47,24.76,0
28,42.787403,-71.10705,0.62,2.10,24.76,39
29,42.787403,-71.10706,0.78,2.10,24.76,7
30,42.78742,-71.10709,0.82,8.38,24.76,10
31,42.78742,-71.10709,1.05,212.38,24.76,13
32,42.787434,-71.10709,0.90,14.65,24.76,0
33,42.787434,-71.10709,0.94,14.65,24.76,0
34,42.787434,-71.10709,1.09,6.29,24.76,4
35,42.787434,-71.10708,1.21,2.10,24.76,18
36,42.787468,-71.10708,1.05,43.68,24.76,0
37,42.787468,-71.10708,1.13,6.29,24.76,16
38,42.787483,-71.10708,0.98,31.28,24.76,1
39,42.787483,-71.10708,1.05,244.56,24.76,0
40,42.787483,-71.10708,0.90,169.97,24.76,24
41,,,0.82,902.95,24.43,0
42,,,1.05,1053.44,24.43,12
43,,,0.98,1055.79,24.43,0
44,42.787533,-71.10709,1.13,1059.65,24.11,0
45,42.787533,-71.10706,0.94,1061.19,24.11,0
46,42.787533,-71.10705,1.02,1061.95,24.11,6
47,42.787518,-71.10705,0.94,1061.95,24.11,14
48,42.787518,-71.10703,0.98,1062.71,24.11,1
49,42.787518,-71.10705,1.02,1062.71,24.11,12
50,42.787518,-71.10705,0.94,1061.95,23.79,21
51,42.787518,-71.10705,1.05,1060.42,23.79,4
52,42.787518,-71.10703,1.05,1059.65,23.79,5
53,42.787533,-71.10703,0.98,1060.42,23.79,13
54,42.787518,-71.10705,0.98,1061.19,23.79,0
55,42.787518,-71.10703,1.05,1060.42,23.79,30
56,42.787518,-71.10702,1.91,1048.71,23.79,6
57,42.787518,-71.10702,1.64,1055.01,23.47,11
58,42.787533,-71.10702,0.62,1059.65,23.47,6
59,42.787533,-71.10702,1.02,1055.01,23.47,2
60,42.787533,-71.107,0.86,1051.09,23.14,4
61,42.787548,-71.10698,1.13,1058.11,23.14,27
62,42.787563,-71.106964,1.21,1050.30,23.14,9
63,,,1.09,1044.72,23.14,3
64,42.787582,-71.106964,0.94,1055.01,22.82,5
65,42.787582,-71.106964,0.78,1054.23,23.14,7
66,42.787582,-71.10698,0.90,1056.56,22.82,8
67,42.787582,-71.10698,0.94,1056.56,22.82,7
68,42.787563,-71.10698,0.86,1057.34,22.82,4
69,42.787563,-71.107,1.21,1055.79,22.50,2
70,42.787563,-71.107,1.02,1055.01,22.50,5
71,42.787548,-71.10702,0.86,1051.87,22.50,27
72,42.787548,-71.10702,1.09,1057.34,22.50,2
73,42.787548,-71.10702,1.33,1061.19,22.50,2
74,42.787548,-71.10703,0.86,1058.11,22.50,1
75,42.787548,-71.10703,0.82,1056.56,22.18,2
76,42.787548,-71.10703,1.09,1057.34,22.18,8
77,42.787548,-71.10703,1.13,1057.34,21.86,8
78,42.787563,-71.10705,1.13,1057.34,22.18,12
79,42.787563,-71.10703,1.21,1058.88,21.86,8
80,42.787563,-71.10703,2.34,1054.23,21.86,25
81,42.787563,-71.107,3.95,1045.52,21.53,35
82,42.787563,-71.107,5.43,1041.49,20.89,21
83,42.787563,-71.10698,5.43,1039.05,20.89,12
84,42.787563,-71.10698,4.37,1040.68,20.57,29
