time,latitude,longitude,acel,light,temperature,sound
"Sep 26 2009 17:44:59",42.3189833333,-71.6238,1.09375,253.9264,-17.138671875,0
"Sep 26 2009 17:45:00",42.3191,-71.6238666667,0.859375,114.7216,-17.138671875,0
"Sep 26 2009 17:45:01",42.3192333333,-71.6239333333,1.015625,436.8441,-17.138671875,0
"Sep 26 2009 17:45:02",42.3193666667,-71.6239833333,1.015625,376.8296,-17.138671875,0
"Sep 26 2009 17:45:03",42.3195,-71.6240333333,1.0546875,171.9125,-17.138671875,0
"Sep 26 2009 17:45:04",42.3196333333,-71.6240666667,1.015625,150.3976,-17.138671875,0
"Sep 26 2009 17:45:05",42.31975,-71.6241,1.015625,373.3336,-17.138671875,0
"Sep 26 2009 17:45:06",42.3198666667,-71.6241333333,0.9765625,327.2304,-17.138671875,0
"Sep 26 2009 17:45:07",42.32,-71.6241666667,1.09375,156.2869,-17.138671875,0
"Sep 26 2009 17:45:08",42.32,-71.6241666667,1.015625,223.7984,-17.138671875,0
"Sep 26 2009 17:45:08",42.3203666667,-71.62425,1.09375,321.8325,-17.138671875,0
"Sep 26 2009 17:45:10",42.3204833333,-71.6242833333,0.9765625,493.0325,-17.138671875,0
"Sep 26 2009 17:45:11",42.3205833333,-71.6243166667,1.015625,248.3125,-17.138671875,0
"Sep 26 2009 17:45:13",42.3206833333,-71.62435,1.015625,491.4096,-16.81640625,0
"Sep 26 2009 17:45:14",42.3207666667,-71.6244,0.9765625,343.3269,-17.138671875,0
"Sep 26 2009 17:45:15",42.3208333333,-71.62445,0.9765625,353.9769,-17.138671875,0
"Sep 26 2009 17:45:16",42.3209,-71.6244833333,1.0546875,368.0761,-16.81640625,0
"Sep 26 2009 17:45:17",42.3209166667,-71.6245,1.015625,364.5621,-16.81640625,0
"Sep 26 2009 17:45:18",42.32095,-71.6245166667,1.015625,390.7416,-16.81640625,0
"Sep 26 2009 17:45:19",42.32095,-71.6245333333,1.015625,497.8904,-16.81640625,0
"Sep 26 2009 17:45:20",42.3209666667,-71.62455,1.015625,547.1401,-16.81640625,0
"Sep 26 2009 17:45:21",42.3209833333,-71.6245666667,0.8984375,476.7225,-16.81640625,0
"Sep 26 2009 17:45:22",42.32105,-71.6245833333,1.015625,173.8576,-16.81640625,0
"Sep 26 2009 17:45:23",42.3210833333,-71.6245666667,0.9765625,582.5624,-16.81640625,0
"Sep 26 2009 17:45:24",42.3211333333,-71.6245166667,1.015625,481.6344,-16.81640625,0
"Sep 26 2009 17:45:25",42.3212,-71.6244166667,0.9375,494.6536,-16.81640625,0
"Sep 26 2009 17:45:27",42.3213,-71.6242666667,0.9375,312.8,-16.81640625,0
"Sep 26 2009 17:45:28",42.3213833333,-71.6241166667,0.9765625,233.2629,-16.81640625,0
"Sep 26 2009 17:45:29",42.3214666667,-71.62395,0.9375,419.9221,-16.81640625,0
"Sep 26 2009 17:45:30",42.3215666667,-71.6238166667,1.015625,343.3269,-16.81640625,1
"Sep 26 2009 17:45:31",42.32165,-71.6237,0.9765625,285.4325,-16.81640625,0
