time,latitude,longitude,acceleration,light,temperature,sound
0,42.78737,-71.10702,0.94,4.19,25.72,9
1,42.787354,-71.10702,0.90,4.19,25.72,10
2,42.787354,-71.107,0.82,10.47,25.72,10
3,42.787354,-71.107,0.86,10.47,25.72,4
4,42.787354,-71.10702,0.94,6.29,25.72,7
5,42.78734,-71.107,0.94,0.00,25.72,6
6,42.787354,-71.107,0.86,0.00,25.72,7
7,42.787354,-71.106964,0.90,12.56,25.72,4
8,42.787354,-71.10695,0.90,18.82,25.72,3
9,,,0.90,20.90,25.72,4
10,42.78734,-71.10692,0.82,68.29,25.72,8
11,42.78734,-71.10692,0.78,259.52,25.72,5
12,42.787354,-71.10693,0.90,74.40,25.72,3
13,42.78737,-71.106964,0.98,20.90,25.40,1
14,42.787388,-71.107,0.82,195.13,25.40,8
15,42.787388,-71.10703,0.86,104.71,25.40,2
16,42.787403,-71.10705,0.62,70.33,25.40,7
17,,,0.94,74.40,25.40,1
18,,,1.05,112.72,25.40,5
19,42.787388,-71.10705,0.98,8.38,25.40,9
20,42.787403,-71.10705,0.98,8.38,25.40,9
21,42.78742,-71.10705,0.94,4.19,25.40,4
22,42.787453,-71.10703,0.90,90.61,25.40,1
23,42.787453,-71.10703,0.90,43.68,25.40,1
24,42.787453,-71.10705,0.94,158.25,25.40,8
25,42.787468,-71.10703,2.03,1026.62,25.08,8
26,42.787468,-71.10703,0.82,1025.77,25.08,21
27,42.787483,-71.10705,0.90,1031.64,25.08,38
28,42.787483,-71.10705,0.94,1042.30,25.08,15
29,42.787483,-71.10705,0.86,1043.92,25.08,17
30,42.787483,-71.10706,0.90,867.63,24.76,40
31,42.7875,-71.10706,0.90,574.94,24.43,42
32,42.787518,-71.10706,1.33,872.15,24.43,33
33,42.787533,-71.10706,0.82,1058.11,24.11,15
34,42.787533,-71.10706,0.98,1061.19,24.11,5
35,42.787563,-71.10706,1.09,1061.95,24.11,16
36,42.787582,-71.10708,1.13,1062.71,24.11,6
37,42.787598,-71.10708,1.13,1061.19,24.11,13
38,42.787613,-71.10709,1.09,1061.19,24.11,21
39,42.787613,-71.10708,1.02,1061.19,23.79,12
40,42.787613,-71.10706,1.09,1061.19,23.79,27
41,42.787613,-71.10706,1.02,1054.23,23.79,21
42,42.787598,-71.10705,0.78,878.86,23.47,5
43,42.787563,-71.10702,0.82,463.54,23.47,4
44,42.787548,-71.10703,1.17,41.62,23.14,5
45,42.787548,-71.10705,0.98,27.13,23.47,3
