time,latitude,longitude,acceleration,light,temperature,sound
0,,,0.94,252.06,17.99,0
1,,,0.90,212.38,17.99,0
2,,,0.94,156.29,17.99,0
3,,,0.94,140.55,17.99,0
4,,,0.94,158.25,17.99,0
5,,,0.94,168.02,17.99,1
6,,,0.94,220.00,17.99,1
7,,,0.94,248.31,17.99,0
8,,,0.98,221.90,17.99,0
9,,,0.94,252.06,17.99,4
10,,,0.94,279.91,17.99,0
11,,,0.98,285.43,17.99,3
12,,,0.94,281.75,17.99,0
13,,,0.94,250.19,17.99,0
14,,,0.98,283.59,17.99,0
15,,,0.98,309.17,17.99,0
16,42.786354,-71.10657,0.98,314.61,18.31,0
17,42.786354,-71.10657,0.98,309.17,18.31,0
18,42.786354,-71.10657,0.90,90.61,18.31,0
19,42.787086,-71.10693,0.94,116.72,18.31,2
20,42.78793,-71.107285,0.86,104.71,18.31,0
21,42.786766,-71.10673,0.90,169.97,18.31,0
22,42.787117,-71.10698,0.86,114.72,18.31,9
23,42.7875,-71.107185,1.05,76.43,18.31,0
24,42.787037,-71.106964,0.94,150.40,18.31,0
25,42.786964,-71.10692,0.90,162.16,18.31,0
26,42.787132,-71.107,0.94,148.43,18.31,0
27,42.787132,-71.107,1.02,179.68,18.63,0
28,42.787247,-71.10702,0.82,389.01,18.63,2
29,42.786987,-71.10693,1.05,323.63,18.63,0
30,42.78715,-71.10698,0.98,389.01,18.63,0
31,42.787354,-71.10714,1.02,134.61,18.63,0
32,42.787197,-71.10703,0.98,197.06,18.63,0
33,,,0.98,183.56,18.63,0
34,,,0.98,177.74,18.63,0
35,,,1.02,181.62,18.63,0
36,42.786915,-71.10692,1.02,68.29,18.63,4
37,42.787117,-71.107,1.21,68.29,18.63,5
38,42.78723,-71.10711,1.05,90.61,18.63,0
39,42.787266,-71.10714,1.02,102.70,18.63,0
40,42.78728,-71.10714,0.98,96.66,18.63,0
41,42.787296,-71.10714,0.98,92.63,18.63,0
42,42.787388,-71.1072,0.98,88.59,18.63,0
43,42.787403,-71.107254,0.98,84.55,18.63,0
44,42.78742,-71.10727,1.09,80.49,18.63,0
45,42.787403,-71.10727,1.17,152.36,18.96,0
46,42.787388,-71.10727,0.98,112.72,18.96,0
47,42.78734,-71.107185,0.94,171.91,18.63,0
48,42.78731,-71.107155,0.82,253.93,18.63,0
49,,,0.90,49.86,18.63,0
50,,,1.29,162.16,18.96,0
51,,,0.66,336.19,18.96,0
52,,,1.13,33.35,18.63,0
53,42.787266,-71.10708,0.94,27.13,18.63,0
54,42.787266,-71.10708,0.62,60.11,18.63,0
55,42.787266,-71.10705,0.86,82.52,18.63,0
56,42.787247,-71.10703,0.90,112.72,18.63,0
57,42.787247,-71.10702,0.86,175.80,18.63,0
58,42.787216,-71.107,0.98,37.49,18.96,0
59,42.787216,-71.10702,0.94,27.13,18.63,0
60,42.78723,-71.10703,0.94,25.06,18.63,0
61,42.78723,-71.10702,0.98,25.06,18.63,0
62,42.78723,-71.10702,0.90,27.13,18.63,0
63,42.78723,-71.10702,1.02,33.35,18.63,0
64,42.787247,-71.10706,1.17,35.42,18.63,0
65,42.787266,-71.10706,0.98,132.63,18.63,0
66,42.787247,-71.10706,0.94,53.97,18.63,0
67,42.78723,-71.10706,0.94,120.71,18.63,0
68,42.787197,-71.10706,0.47,746.70,18.63,0
69,42.787197,-71.10708,1.17,504.34,18.63,0
70,42.787197,-71.10709,1.02,504.34,18.63,0
71,42.78718,-71.10714,1.17,528.28,18.63,0
72,42.787167,-71.107155,1.17,453.59,18.63,0
73,42.787167,-71.107216,0.86,617.03,18.63,0
74,42.78715,-71.107254,1.09,852.76,18.63,0
75,42.787132,-71.107254,0.82,846.96,18.63,0
76,42.787117,-71.107254,0.90,960.31,18.63,0
77,42.7871,-71.107254,0.90,927.19,18.63,13
78,42.787067,-71.107254,0.94,608.13,18.63,20
79,42.787067,-71.107254,1.21,279.91,18.63,16
80,42.787067,-71.10723,0.78,922.00,18.63,0
81,42.787067,-71.10723,0.98,1052.66,18.31,4
82,42.787067,-71.107216,0.98,1061.19,17.99,0
83,42.787067,-71.10723,1.05,1061.19,17.99,0
84,42.787067,-71.10723,1.13,1060.42,17.67,1
85,42.787067,-71.10723,0.70,802.63,17.67,0
86,42.787067,-71.107216,0.82,362.80,17.34,6
87,42.787086,-71.107216,0.70,244.56,17.34,1
88,42.787067,-71.107216,0.98,281.75,17.34,0
89,42.787052,-71.107216,0.82,96.66,17.34,0
90,42.787052,-71.107216,0.82,45.74,17.02,0
91,42.787052,-71.10723,1.05,10.47,17.02,0
92,42.787037,-71.107216,0.98,12.56,17.02,0
93,42.787037,-71.107216,1.29,58.07,17.02,0
94,42.78702,-71.107216,1.33,88.59,17.02,0
95,42.787037,-71.107216,1.25,64.20,17.02,0
96,42.787037,-71.107216,0.70,56.02,17.02,0
97,42.787037,-71.1072,1.25,4.19,17.02,0
98,42.787037,-71.10723,0.82,2.10,17.02,0
99,42.78702,-71.107254,1.02,0.00,17.02,0
100,42.78702,-71.107254,1.09,0.00,17.02,0
101,42.78702,-71.107254,0.94,0.00,17.02,0
102,42.787003,-71.107254,0.98,0.00,17.02,0
103,42.787052,-71.1073,0.98,0.00,17.02,0
104,42.787086,-71.10733,0.98,0.00,17.02,0
105,42.787117,-71.10737,0.94,0.00,17.02,0
106,42.787132,-71.10738,0.94,0.00,17.02,0
107,42.78715,-71.107414,0.94,0.00,17.02,0
108,,,0.94,0.00,17.02,0
109,42.78728,-71.10749,0.94,2.10,17.02,0
110,42.787296,-71.107506,0.98,8.38,17.02,0
111,42.787296,-71.10749,1.02,12.56,17.02,0
112,42.78728,-71.10749,0.98,25.06,17.02,0
113,42.787266,-71.10747,1.05,193.21,17.02,0
114,42.78723,-71.107414,0.90,100.69,17.34,0
115,42.787197,-71.10738,0.82,8.38,17.02,0
116,42.78718,-71.107346,1.17,661.99,17.34,0
117,42.78715,-71.107315,0.94,1048.71,17.34,0
118,42.787117,-71.107285,1.05,1051.09,17.34,0
119,42.7871,-71.10727,1.02,1050.30,17.34,2
120,42.7871,-71.107254,1.02,1051.87,17.34,0
121,42.7871,-71.107254,1.02,1050.30,17.34,0
122,42.7871,-71.107254,1.72,536.17,17.34,0
123,42.787117,-71.10723,0.94,321.83,17.34,0
124,42.7871,-71.10723,0.98,80.49,17.34,0
125,42.7871,-71.10723,1.33,56.02,17.34,0
