time,latitude,longitude,acceleration,light,temperature,sound
0,42.78731,-71.107155,0.94,270.67,23.79,6
1,42.78731,-71.107155,0.90,314.61,23.79,6
2,42.78731,-71.107155,0.82,248.31,23.47,10
3,,,0.98,310.99,23.79,6
4,42.78731,-71.10714,1.25,118.71,23.79,9
5,,,1.29,88.59,23.79,4
6,,,1.13,263.25,23.79,5
7,42.78731,-71.10714,0.90,375.08,23.79,7
8,42.78731,-71.10711,1.05,49.86,23.47,7
9,42.78734,-71.10714,1.02,92.63,23.47,4
10,42.78731,-71.10714,1.21,187.42,23.47,26
11,42.78731,-71.10714,1.41,138.57,23.47,19
12,42.787296,-71.107155,1.21,47.80,23.47,21
13,42.787296,-71.107155,0.86,41.62,23.47,22
14,42.787296,-71.107155,0.66,14.65,23.47,14
15,42.78728,-71.107155,0.86,12.56,23.47,21
16,42.78728,-71.107155,0.94,43.68,23.47,14
17,42.78728,-71.10714,0.90,218.10,23.47,31
18,42.78728,-71.10714,0.86,74.40,23.47,13
19,42.78728,-71.10711,0.94,4.19,23.47,7
20,42.787266,-71.10709,1.02,6.29,23.47,18
21,42.787266,-71.10709,0.94,20.90,23.47,12
22,42.787266,-71.10709,0.90,47.80,23.47,8
23,42.787266,-71.10708,1.17,62.16,23.47,4
24,42.787247,-71.10708,1.02,10.47,23.47,16
25,42.787247,-71.10709,0.90,12.56,23.47,5
26,42.787247,-71.10709,0.98,12.56,23.47,12
27,42.78723,-71.10709,1.21,10.47,23.47,4
28,42.78723,-71.10709,1.09,14.65,23.47,7
29,42.787216,-71.10709,1.02,6.29,23.47,31
30,42.787216,-71.10709,1.21,4.19,23.47,6
31,42.787216,-71.10709,1.21,6.29,23.47,26
32,42.787197,-71.10711,1.02,22.98,23.47,9
33,,,1.09,72.36,23.47,18
34,,,1.13,578.00,23.47,8
35,42.787197,-71.10714,1.05,96.66,23.47,17
36,42.78718,-71.10717,1.05,240.80,23.47,7
37,42.78715,-71.1072,0.94,812.42,23.47,6
38,42.787132,-71.10723,0.82,1049.51,23.14,16
39,,,1.05,1055.79,23.14,28
40,42.787132,-71.107254,0.94,1061.19,22.82,12
41,42.78715,-71.107254,0.94,1058.88,22.82,5
42,42.787167,-71.10723,0.86,1052.66,22.82,6
43,42.78718,-71.10723,0.82,1053.44,22.82,12
44,42.78718,-71.10723,0.82,1058.11,22.82,6
45,42.787197,-71.10723,0.78,1057.34,22.82,5
46,42.787197,-71.10723,0.90,1056.56,22.82,6
47,42.787197,-71.10723,0.98,969.96,22.50,6
48,42.787197,-71.107216,1.13,1061.95,22.50,7
49,42.787197,-71.10723,1.02,1061.19,22.50,6
50,42.78718,-71.107216,0.90,1052.66,22.50,5
51,42.787167,-71.10723,0.98,1039.05,22.50,6
52,42.787167,-71.10723,0.86,982.24,22.50,4
53,42.787167,-71.10723,0.86,1029.97,22.18,5
54,42.78715,-71.10723,0.90,1024.93,22.18,7
55,42.787167,-71.107216,0.90,1027.46,22.18,5
56,42.78718,-71.1072,0.86,1032.47,21.86,6
57,42.78718,-71.107216,0.90,1034.95,21.53,5
58,42.78718,-71.1072,0.90,1035.78,21.86,5
59,42.78718,-71.1072,0.86,1035.78,21.53,9
60,42.787216,-71.1072,0.86,1036.60,21.53,20
61,42.787197,-71.1072,0.82,1036.60,21.53,8
62,42.787197,-71.107185,0.86,1034.95,21.53,8
63,42.787197,-71.1072,0.78,1038.24,21.21,5
64,42.787197,-71.1072,1.05,1039.05,21.21,6
65,42.787167,-71.107216,0.86,1039.87,21.21,9
66,42.787167,-71.107216,1.05,836.40,20.89,9
67,42.78715,-71.107216,1.13,154.33,20.89,4
68,42.78715,-71.1072,0.98,51.91,20.89,5
69,42.78715,-71.10717,0.78,60.11,20.89,7
70,42.787132,-71.107185,0.82,70.33,20.89,7
71,42.787132,-71.107185,0.70,56.02,20.89,9
72,42.787132,-71.107185,0.78,198.98,20.57,16
73,42.787132,-71.107185,0.74,60.11,20.57,8
74,42.787132,-71.1072,1.13,37.49,20.57,4
75,,,0.98,37.49,20.57,5
76,42.7871,-71.10723,1.21,37.49,20.57,6
77,42.7871,-71.10723,0.86,27.13,20.57,6
78,42.7871,-71.107216,0.86,20.90,20.57,8
79,42.7871,-71.107216,0.78,14.65,20.89,6
80,42.7871,-71.107216,0.82,4.19,20.57,3
81,42.7871,-71.107216,0.74,12.56,20.89,5
82,42.787086,-71.107216,0.78,25.06,20.89,7
83,42.787086,-71.107216,0.86,16.73,20.57,8
84,42.787067,-71.1072,0.82,6.29,20.57,3
85,42.787067,-71.1072,0.74,2.10,20.89,18
