time,latitude,longitude,light,temperature,sound,temperature probe,altitude
06/03/2010 10:40:54,,,1074.67,28.62,25,28.835045742171503006012024048096192, 
06/03/2010 10:40:55,,,1081.19,28.62,26,28.74804900000, 
06/03/2010 10:40:56,,,1081.19,28.62,25,28.74804900000, 
06/03/2010 10:40:57,,,1081.19,28.95,34,28.835045742171503006012024048096192, 
06/03/2010 10:40:58,,,1081.19,28.95,6,28.835045742171503006012024048096192, 
06/03/2010 10:40:59,,,1081.19,28.95,20,28.921906614916947791164658634538153, 
06/03/2010 10:41:01,,,1081.91,28.95,15,28.921906614916947791164658634538153, 
06/03/2010 10:41:02,,,1080.47,28.95,29,28.921906614916947791164658634538153, 
06/03/2010 10:41:03,42.670116,-71.42627,1080.47,28.95,27,28.921906614916947791164658634538153,56
06/03/2010 10:41:04,42.670116,-71.42627,1079.03,28.95,24,28.921906614916947791164658634538153,51
06/03/2010 10:41:05,42.670116,-71.426254,1080.47,28.95,28,28.921906614916947791164658634538153,51
06/03/2010 10:41:06,42.670116,-71.426254,1081.19,28.95,20,29.008631772508370221327967806841046,51
06/03/2010 10:41:07,42.670116,-71.426254,1081.19,28.95,8,29.008631772508370221327967806841046,51
06/03/2010 10:41:08,42.670116,-71.426254,1081.19,29.27,10,29.095221370461935483870967741935484,51
06/03/2010 10:41:09,42.670116,-71.426254,1081.19,29.27,8,29.008631772508370221327967806841046,51
06/03/2010 10:41:10,42.670116,-71.426254,1081.91,28.95,7,29.095221370461935483870967741935484,51
06/03/2010 10:41:12,42.670116,-71.42627,1081.19,29.27,7,29.095221370461935483870967741935484,51
06/03/2010 10:41:13,42.670116,-71.42627,1077.58,29.27,0,29.095221370461935483870967741935484,51
06/03/2010 10:41:14,42.670116,-71.42627,1072.46,29.27,0,29.095221370461935483870967741935484,51
06/03/2010 10:41:15,42.670116,-71.42627,1079.75,28.95,5,29.095221370461935483870967741935484,51
06/03/2010 10:41:16,42.670116,-71.426285,1076.86,28.95,14,29.095221370461935483870967741935484,51
06/03/2010 10:41:17,42.670116,-71.426285,1081.19,28.95,2,29.095221370461935483870967741935484,51
06/03/2010 10:41:18,42.6701,-71.426285,1081.19,29.27,0,29.095221370461935483870967741935484,51
