time,latitude,longitude,acceleration,altitude
08/09/2010 18:03:57,42.337612,-71.1037,0.94,8
08/09/2010 18:04:08,42.337547,-71.08968,0.78,7
08/09/2010 18:04:18,42.337337,-71.09012,1.09,17
08/09/2010 18:04:29,42.337246,-71.09063,0.98,13
08/09/2010 18:04:40,42.33715,-71.090904,0.78,11
08/09/2010 18:04:50,42.33688,-71.09111,0.98,14
08/09/2010 18:05:01,42.336468,-71.09113,0.94,27
08/09/2010 18:05:12,42.33632,-71.09168,0.70,18
08/09/2010 18:05:23,42.336548,-71.092354,0.78,12
08/09/2010 18:05:33,42.336784,-71.09295,1.17,9
08/09/2010 18:05:44,42.3369,-71.093254,0.94,9
08/09/2010 18:05:55,42.337036,-71.09359,0.86,11
08/09/2010 18:06:05,42.33707,-71.093636,0.51,9
08/09/2010 18:06:16,42.336704,-71.09385,0.98,12
08/09/2010 18:06:27,42.33623,-71.09412,1.33,14
08/09/2010 18:06:37,42.335735,-71.09441,1.52,17
08/09/2010 18:06:48,42.335255,-71.09472,1.05,17
08/09/2010 18:06:59,42.348167,-71.09502,0.98,16
08/09/2010 18:07:09,42.34367,-71.09535,0.78,17
08/09/2010 18:07:20,42.33917,-71.09565,0.94,18
08/09/2010 18:07:31,42.335003,-71.09593,0.86,21
08/09/2010 18:07:41,42.33305,-71.096245,1.41,24
08/09/2010 18:07:52,42.3326,-71.09658,1.02,24
08/09/2010 18:08:03,42.33222,-71.09685,1.02,25
08/09/2010 18:08:13,42.331802,-71.09721,0.98,31
08/09/2010 18:08:24,42.3319,-71.09787,0.98,32
08/09/2010 18:08:35,42.332047,-71.09849,0.98,34
08/09/2010 18:08:45,42.33222,-71.0991,1.13,36
08/09/2010 18:08:56,42.332096,-71.099396,0.98,38
08/09/2010 18:09:07,42.331997,-71.09949,1.05,43
08/09/2010 18:09:18,42.33195,-71.09953,0.86,49
08/09/2010 18:09:28,42.3319,-71.09959,0.82,50
08/09/2010 18:09:39,42.331837,-71.09966,0.70,45
08/09/2010 18:09:50,42.331837,-71.0997,1.05,49
08/09/2010 18:10:00,42.33182,-71.0997,1.05,46
08/09/2010 18:10:11,42.331787,-71.09972,0.98,46
08/09/2010 18:10:22,42.3317,-71.099686,1.05,50
08/09/2010 18:10:32,42.331665,-71.0997,1.05,52
08/09/2010 18:10:43,42.3317,-71.09975,1.09,48
08/09/2010 18:10:54,42.331715,-71.09976,0.74,44
08/09/2010 18:11:05,42.331665,-71.09965,1.02,41
08/09/2010 18:11:15,,,1.05, 
08/09/2010 18:11:26,,,1.05, 
08/09/2010 18:11:37,,,1.02, 
08/09/2010 18:11:47,,,1.09, 
08/09/2010 18:11:58,42.33163,-71.0996,1.05,27
08/09/2010 18:12:09,42.33173,-71.09953,1.09,42
08/09/2010 18:12:19,42.331837,-71.099464,1.09,33
08/09/2010 18:12:30,,,1.05, 
08/09/2010 18:12:41,42.33135,-71.09959,1.02,30
08/09/2010 18:12:51,,,1.05, 
08/09/2010 18:13:02,,,1.09, 
08/09/2010 18:13:13,,,1.09, 
08/09/2010 18:13:23,,,1.09, 
08/09/2010 18:13:34,,,1.09, 
08/09/2010 18:13:45,,,1.09, 
08/09/2010 18:13:55,,,1.09, 
08/09/2010 18:14:06,,,1.09, 
08/09/2010 18:14:17,,,1.09, 
08/09/2010 18:14:27,,,1.09, 
08/09/2010 18:14:38,,,1.09, 
08/09/2010 18:14:49,,,1.09, 
08/09/2010 18:14:59,,,1.09, 
08/09/2010 18:15:10,,,1.09, 
08/09/2010 18:15:21,,,1.09, 
08/09/2010 18:15:31,,,1.09, 
08/09/2010 18:15:42,,,1.09, 
08/09/2010 18:15:53,,,1.05, 
08/09/2010 18:16:04,,,1.09, 
08/09/2010 18:16:14,,,1.09, 
08/09/2010 18:16:25,,,1.09, 
08/09/2010 18:16:36,,,1.09, 
08/09/2010 18:16:46,,,1.09, 
08/09/2010 18:16:57,,,1.05, 
08/09/2010 18:17:08,,,1.09, 
08/09/2010 18:17:18,,,1.05, 
08/09/2010 18:17:29,,,1.09, 
08/09/2010 18:17:40,,,1.05, 
08/09/2010 18:17:50,,,1.09, 
08/09/2010 18:18:01,,,1.05, 
08/09/2010 18:18:12,42.332348,-71.099556,1.09,56
08/09/2010 18:18:23,42.3317,-71.09953,1.05,42
08/09/2010 18:18:33,42.331867,-71.09957,1.05,30
08/09/2010 18:18:44,42.33163,-71.099464,1.05,24
08/09/2010 18:18:55,42.331787,-71.09941,1.09,36
08/09/2010 18:19:05,42.33217,-71.099365,1.05,45
08/09/2010 18:19:16,,,1.05, 
08/09/2010 18:19:27,42.331398,-71.099335,1.05,58
08/09/2010 18:19:37,42.331917,-71.09938,1.05,63
08/09/2010 18:19:48,42.332798,-71.09957,1.05,62
08/09/2010 18:19:59,,,1.05, 
08/09/2010 18:20:10,,,1.05, 
08/09/2010 18:20:20,,,1.05, 
08/09/2010 18:20:31,,,1.05, 
08/09/2010 18:20:42,,,1.05, 
08/09/2010 18:20:52,,,1.05, 
08/09/2010 18:21:03,,,1.05, 
08/09/2010 18:21:14,,,1.05, 
08/09/2010 18:21:25,,,1.05, 
08/09/2010 18:21:35,,,1.05, 
08/09/2010 18:21:46,,,1.05, 
