Temperature,Time
0.0,1253246095
30.0,1253246096
30.0,1253246097
30.0,1253246098
30.0,1253246099
30.0,1253246100
30.0,1253246101
30.0,1253246102
30.0,1253246103
30.0,1253246104
30.0,1253246105
30.0,1253246106
30.0,1253246107
30.0,1253246109
30.0,1253246110
30.0,1253246111
30.0,1253246112
30.0,1253246113
30.0,1253246114
30.0,1253246115
30.0,1253246116
30.0,1253246117
30.0,1253246118
30.0,1253246119
30.0,1253246120
30.0,1253246121
30.0,1253246122
30.0,1253246123
30.0,1253246124
30.0,1253246125
30.0,1253246126
30.0,1253246127
30.0,1253246128
30.0,1253246129
30.0,1253246130
30.0,1253246131
30.0,1253246132
31.0,1253246133
30.0,1253246134
31.0,1253246135
31.0,1253246136
31.0,1253246137
