Temperature,Time
0.0,2009/09/17 23:41:08
31.0,2009/09/17 23:41:09
31.0,2009/09/17 23:41:10
31.0,2009/09/17 23:41:11
31.0,2009/09/17 23:41:12
31.0,2009/09/17 23:41:13
31.0,2009/09/17 23:41:14
31.0,2009/09/17 23:41:16
31.0,2009/09/17 23:41:17
31.0,2009/09/17 23:41:18
31.0,2009/09/17 23:41:19
31.0,2009/09/17 23:41:20
31.0,2009/09/17 23:41:21
31.0,2009/09/17 23:41:22
31.0,2009/09/17 23:41:23
31.0,2009/09/17 23:41:24
31.0,2009/09/17 23:41:25
31.0,2009/09/17 23:41:26
31.0,2009/09/17 23:41:27
31.0,2009/09/17 23:41:28
31.0,2009/09/17 23:41:29
31.0,2009/09/17 23:41:31
31.0,2009/09/17 23:41:32
31.0,2009/09/17 23:41:33
31.0,2009/09/17 23:41:34
31.0,2009/09/17 23:41:35
31.0,2009/09/17 23:41:36
31.0,2009/09/17 23:41:37
31.0,2009/09/17 23:41:38
31.0,2009/09/17 23:41:39
31.0,2009/09/17 23:41:40
31.0,2009/09/17 23:41:41
31.0,2009/09/17 23:41:42
31.0,2009/09/17 23:41:43
31.0,2009/09/17 23:41:44
31.0,2009/09/17 23:41:45
31.0,2009/09/17 23:41:46
31.0,2009/09/17 23:41:47
