Temperature,Time
0.0,1253247500
24.0,1253247501
24.0,1253247502
24.0,1253247503
25.0,1253247504
25.0,1253247505
25.0,1253247506
25.0,1253247507
25.0,1253247508
25.0,1253247509
25.0,1253247510
25.0,1253247511
25.0,1253247512
25.0,1253247513
25.0,1253247514
25.0,1253247515
25.0,1253247516
25.0,1253247517
25.0,1253247518
25.0,1253247519
25.0,1253247520
25.0,1253247521
25.0,1253247522
25.0,1253247523
25.0,1253247524
25.0,1253247525
25.0,1253247526
25.0,1253247527
25.0,1253247528
25.0,1253247529
25.0,1253247530
25.0,1253247531
25.0,1253247533
25.0,1253247534
25.0,1253247535
25.0,1253247536
25.0,1253247537
25.0,1253247538
25.0,1253247539
25.0,1253247540
25.0,1253247541
25.0,1253247542
25.0,1253247543
25.0,1253247544
25.0,1253247545
25.0,1253247546
25.0,1253247547
25.0,1253247548
25.0,1253247549
25.0,1253247550
25.0,1253247551
25.0,1253247552
25.0,1253247553
25.0,1253247554
25.0,1253247555
25.0,1253247556
25.0,1253247557
25.0,1253247558
25.0,1253247559
25.0,1253247560
25.0,1253247561
25.0,1253247562
25.0,1253247563
25.0,1253247564
25.0,1253247565
25.0,1253247566
25.0,1253247567
25.0,1253247568
25.0,1253247569
25.0,1253247570
25.0,1253247571
25.0,1253247572
25.0,1253247573
25.0,1253247574
25.0,1253247575
25.0,1253247576
25.0,1253247577
25.0,1253247578
25.0,1253247579
25.0,1253247580
25.0,1253247581
25.0,1253247582
25.0,1253247583
25.0,1253247584
25.0,1253247585
25.0,1253247586
25.0,1253247587
25.0,1253247588
25.0,1253247589
25.0,1253247590
25.0,1253247591
25.0,1253247592
25.0,1253247593
25.0,1253247594
25.0,1253247595
25.0,1253247596
25.0,1253247597
25.0,1253247598
25.0,1253247599
25.0,1253247600
25.0,1253247601
25.0,1253247602
25.0,1253247603
26.0,1253247604
26.0,1253247605
26.0,1253247606
26.0,1253247607
26.0,1253247608
26.0,1253247609
26.0,1253247610
26.0,1253247612
26.0,1253247613
26.0,1253247614
26.0,1253247615
26.0,1253247616
26.0,1253247617
26.0,1253247618
26.0,1253247619
26.0,1253247620
26.0,1253247621
26.0,1253247622
26.0,1253247623
26.0,1253247624
26.0,1253247625
26.0,1253247626
